page 1	悼吳佩孚將軍
page 2	桂省戰況
page 2	晉南戰況
page 2	滬華僑聯會電斥奸偽
page 2	政院議決吳國楨任重慶市長劉志陸為粵省府委員
page 2	程案四疑犯移平續審
page 2	粵北銀盞　北犯日軍敗退犯西樵山日軍遭我痛擊
page 2	日驅鮮民移居華北強佔我同胞土地
page 2	西線數地點發生砲戰
page 2	朱主席報告日力已衰
page 2	吳佩孚逝世死得離奇可疑晚節彌堅不受日人利用有提議請國府下令褒揚
page 2	皖北日軍圖犯無為
page 2	滬偽市府否認華籍巡捕判刑
page 2	岷尼拉颶風向南吹動此次風災損失甚鉅
page 2	聯軍開始實行封鎖德國貿易日政府向英表示反對日使光照會英外相
page 2	華北日軍反戰運動高漲
page 2	國府明令褒揚蟻光炎
page 2	英童三人發明炸彈軍需部研究亦認為可用
page 2	賀耀祖飛莫斯科以特使資格訪各領袖南寧東北進擾日軍攻勢已頓挫晉南又起激戰我空軍飛炸運城
page 3	英空軍襲擊德艦經過
page 3	滬租界中心區發生槍案
page 3	瑞典政府下令實行局部軍事動員蘇照會國聯拒絕參加大會柏三姆港間預料將有決戰
page 3	堅持反共主張意國同情芬蘭意學生千餘作反蘇巡行法西斯會議定十四開會
page 3	從湘北前線歸來三
page 3	芬蘭軍隊槍法準確
page 3	蘇聯堅決拒絕恢復蘇芬談判只承認芬蘭民主政府蘇已與該政府訂立協定
page 3	各國使館遷離芬京
page 3	日表示願賠償美國在華損失深懼美國停止對日貿易胡適在美演講日蘇關係
page 3	德將在波建猶太國區內約聚居猶人一十九萬內容恐慌等於一大集中營
page 3	英皇赴前線視察防線
page 5	中山五區香洲海面
page 5	江會方面偽軍略增
page 5	寶安戰事沉寂日軍紛紛調往增城深圳南頭之日偽近態
page 5	我機飛東增寶散發傳單
page 5	不替日人當兵各區設同盟會
page 5	新會捕獲兩女間諜又獲一私運軍火男子
page 5	大鵬灣附近日艦測探沿海日機又飛寶惠窺擾
page 5	日軍圖再犯大　不逞鶯哥嘴日艦發炮亂轟三日兩犯大　均被我擊退
page 5	明年一月一日開始各省市縣施行公庫法現金收支統一保管機關使全國財政集中於國庫
page 5	東西馬寧日偽截擄貨船
page 5	粵漢路戰事仍劇北犯日軍主力被擊潰我克新村三兜松圍剿日軍新街外圍收復大益埠鍾村從化方面我衝入神崗近郊
page 5	龍塘一帶血戰仍烈
page 5	日偽犯詔安潮澄被擊日軍防游擊隊襲擊昨一日將澄城封鎖
page 5	突擊潮安奏捷
page 5	新街西北又起激戰
page 5	澄海游擊四起
page 5	從化我軍再攻神岡
page 5	寶安縣府征本年度地稅
page 5	曲江將設關卡
page 5	江會偽軍略增日軍南移新開路連日有小接觸香洲海面日艦擾漁船
page 7	改建舊樓將採急進
page 7	住客過密亦屬危險
page 7	小販工商會九龍分會成立
page 7	華人文員會昨選出新職員
page 7	蔣夫人函謝港婦慰會並勗以繼續努力
page 7	上海街大火案警察嚴查起火原因受傷留醫院施治得尚有九人
page 7	孫夫人定期播音演講
page 7	銅鐵行捐助英戰時慰勞會
page 7	港中僑校響應募衣運動目的在募一萬件
page 7	廣東文物展覽將開始徵集出品與文獻史料有關者可參加
page 7	灣仔自衛團今日開始募捐
page 7	渣華著名糖商歸國考察商業
page 7	大幫華茶運港
page 7	中華救護隊派隊赴桂服務
page 7	改建舊式樓宇當局將採急進步驟因舊式樓宇易惹起火災政府或將嚴令業主改建
page 8	捐款多少一律歡迎
page 8	各國婦女均甚熱心
page 8	衛生局昨會議修正牛奶則例巴士度質問牛奶消毒問題
page 8	誤殺繡花婦案今日繼續審訊
page 8	少女服毒殞命
page 8	對海警探破獲藏軍火案
page 8	皇宮舞院院主控舞女欠款不還被告謂該款原是禮物此案押候今日再審訊
page 8	華南學校一週年紀念誌盛
page 8	敦梅學校募寒衣
page 8	國際杯足球賽阿隊陣容排定實力平平當非國軍敵手
page 8	本屆公開籃球冠軍決戰定週未舉行星島攻守平衡南南進取得力兩軍旗鼓相當預料當有激戰
page 8	籃球聯會今夕召開會議
page 8	學籃賽頒獎定十三日舉行屆時由冠軍對抗聯隊
page 8	港督夫人昨晚播音闡述英慰勞會宗旨希望各國留港婦女參加工作各界捐款不論多少一律歡迎
