page 1	日本與英美
page 2	晉東南日勢大挫盡失聯絡形成各自為戰
page 2	李宗仁率部通電討汪慶父不除魯難未已非伸天討曷儆奸邪
page 2	蓉記協會討汪電文
page 2	渝慰勞總會統籌春節勞軍辦法渝決搭送禮台五個收集禮品
page 2	傳南北偽領袖將再會議
page 2	吉安婦女勸夫從軍
page 2	海南日軍兩度受創
page 2	通許東南我日血戰
page 2	津租界被封鎖物品價漲
page 2	英法軍艦截查葡輪俘去德籍搭客
page 2	西線砲隊活躍
page 2	蘇報著論日本覬覦安南
page 2	立勸某數國收容波蘭難民蘇已願收容一千其他各國多未允
page 2	我外交部駁斥日方讕言謂我擬炸美大使赴漢坐艦說係日方做謠圖破壞中美情感
page 2	加勞工總會建議國營軍械
page 2	蘇定期對華廣播音樂每月廿九日舉行
page 2	汪方狡辯欲蓋彌彰
page 2	蕭山岳丈橋附近激戰反攻鎮南墟日受重創晉東我軍勢如破竹日潰退壺關
page 3	剌都牙湖東北蘇軍已陷泥淖加里利亞地峽方面尚有炮戰蘇軍又發炮猛攻曼治島炮台
page 3	英海相邱吉爾警告德國
page 3	德將向巴爾幹施行外交反攻反抗英國在巴爾幹之勢力迫　爾幹諸國中立而親德
page 3	德立將舉行經濟談判
page 3	美南　險家發現兩山
page 3	美國最老軍人北士比慶祝期頤壽辰發表談話謂日若真獨霸中國美決不願將全世界讓給日本
page 3	滬人接得關島廣播對日大施抨擊美人隱忍已大但並非無限制者和平主義並非欲招致他人挑撥
page 3	美械運華去年值二百餘萬
page 3	菲國防部長演講菲律濱獨立問題謂菲律濱在美國保護之下仍不能保征將來不被侵略
page 3	英法志願軍即將開芬
page 3	美正攷慮維護遠東利益美日商務關係仍照常進行美政府暫先採取靜觀態度
page 3	法軍使用放音喇叭向德軍作宣傳
page 3	蘇　　英日　係又趨緊張
page 3	德在西線開辦流動戲院備有人摩托車多輛化粧室等俱在車中
page 3	德廢皇壽辰各　獻花終日不絕
page 3	德比邊界賀薩路口開放
page 3	英希談判財政商務問題
page 3	英倫天氣寒冷全國各地結冰四十六年來所僅見
page 3	重慶各大學教授為闡明國是通電討奸
page 3	為淺間丸事件英日關係惡化日外相召集幹部會議討論此案日政府或將再向英方提出抗議
page 5	須拉伕一萬二千人
page 5	縮短各線固守江會
page 5	新會河道劫掠頻聞
page 5	兵力薄弱不敢出動
page 5	袁帶詳談順屬近況
page 5	財廳嚴密監督各縣稅收分區設督察專員並組巡迴稽核團
page 5	桂省整理戰區附近安全地帶鞏固治安計劃生產注意衛生調整糧食
page 5	中山運米救濟台開民食共五十萬擔七個月運完
page 5	我便衣隊襲河南娛樂村斃日隊長大沙頭機場日兵抽調赴南郊各地
page 5	我機隊轟炸潮安日陣我軍兩路攻澄海之巷戰城內大火日偽被殲甚眾黃大偉部偽軍紛紛反正
page 5	我機掃蕩潮安日陣
page 5	我軍衝入澄海巷戰
page 5	黃大偉部紛紛逃散
page 5	省府通令保障自治人員
page 5	桂南婦女組游擊隊戰時婦工隊出發
page 5	台山機關團體請發行地名券
page 5	十二集團軍奉命盡收戰區難童昨電各縣長知照
page 5	虎門沙太沿線我團隊襲沙角日機場燬電油庫焚貯油三百餘罐我隊亦略有犧牲
page 5	寶安偽軍已解決各鄉急辦善後日傷兵運太平安置
page 5	日擴編偽軍進行困難日偽大拉伕江會情況混亂袁帶昨談順屬近況林小亞部開駐陳村
page 7	我政府救濟難民辦法急賑與安撫分途並進
page 7	急賑安撫分途辦理
page 7	集中難民從事墾殖
page 7	開發西康實業家李華洲昨抵港
page 7	義演大封相何甘棠推車為英戰時慰勞會籌款
page 7	中山僑商捐金慰勞將士
page 7	英軍部舉辦加快電報利便各屬土軍人家屬
page 7	港府修正官員醫藥則例
page 7	英工黨議員克得利浦斯來港
page 7	淺閣丸德乘客已解港英日雙方現在東京談判中
page 7	蔡葵女士抵港
page 7	統一救濟辦法六項
page 7	救債勸募委員談僑胞銷債仍未足千萬三十個月成績如此何以對祖國希望殷富繼續努力勿作守錢虜
page 8	水雷觸石爆炸船艇幸無損傷
page 8	閩僑募衣運動募得國幣數萬元
page 8	國難中之華人跳舞場每夜收入竟超過千元
page 8	報失兩宗巨款
page 8	文物展覽會將開幕規模偉大為向所未有下月十五日停止收件
page 8	全港小朋友捐紅封包勞軍訂定多種獎勵辦法
page 8	麗華杯爭奪戰華聯獲決賽權四比二淘汰西文員澄滔梅開兩度球王德輝各建一功聯誼賽足球裁判淨勝老爺兵兩球
page 8	華南大酒家開幕
page 8	記者陸運會參加者甚踴躍足球義賽秩序豐富
page 8	華人游泳會同人大會選出下屆委員卅一名
page 8	大生杯排球賽保羅力克平山
page 8	獻劍團今出發假道海防赴渝
page 8	茶山海盜又劫貨艇價值數千元之年貨被掠一空三賊光顧新界農戶一被斫傷
