page 1	兒童節感言
page 2	強化華北緝私蚌埠組軍警稽查處由于學忠衛隊暨駐防軍負責
page 2	財部改組正式發表將原有鹽務署改為鹽政司將會計司改會計長辦公處
page 2	財部重要職員更調席德懋調任中央造幣廠廠長另派吳卓謨代理江漢關監督
page 2	某當局談粵暫免洋米稅原因處此青黃不接之際粵省糧價上漲將來新穀登場免稅辦法當告廢止
page 2	京滇週覽團團員昨日開始報到
page 2	時人行蹤抗敵將軍傅作義後日晉京韓復　今日赴青返濟王寵惠何應欽昨返京
page 2	民族掃墓中央致祭黃陵
page 2	田代晤宋哲元
page 2	招商局欠匯豐債款在千萬元以上決定利息減低分期攤還舊欠
page 2	經建川分會舉行成立典禮吳鼎昌定六日返京
page 2	陝全省降甘霖全省官民額手稱慶
page 2	蔣赴奉化休養定十五日為兄營葬
page 2	佐籐謀打開中日僵局調石射任東亞局長佐籐並認冀東現狀務須加以變更惟採取何種方式此問題極堪注意
page 3	地政學會四屆年會開幕電蔣委長表示擁護
page 3	南國反對黨反對政內意經協定
page 3	王教長籌商改進全國藝教
page 3	三月十四至廿日我國物價指數
page 3	中央重定總理遺囑句讀
page 3	日海軍派員來華檢閱海軍
page 3	津滬日海軍武官在津舉行重要會議議決加強黃海沿岸警備趕緊進行塘沽築港工事
page 3	滬市民反對租界加捐
page 3	中國銀行昨開股東總會
page 3	台維斯赴歐並無其他任務羅斯福發表宣言
page 3	察北偽匪近又秘密調動
page 3	興中公司投資開發鹽田
page 3	爪哇華僑組回國攷察團
page 3	沙王明日赴京昨招待平新聞界
page 3	滬絲廠工潮解決工人紛紛復工
page 3	津浦路舉辦泰山旅行團參加者七十九人
page 3	美將派員來華調查財政狀況
page 3	中和庚款水利董事會開第六次會議
page 3	墨國提議調解西內戰
page 3	西政府軍轟炸貝那洛亞該城居民現已開始撤退
page 3	奎松與美商議改善美菲商務
page 3	史丹法尼電孔特使祝賀
page 3	甘省庫不敷三十餘萬元
page 3	蕭松琴任鎮江關監督
page 3	德國積極備戰實施鋼鐵新例軍備工業優先供給房屋建築限制使用
page 3	羅斯福設法救濟失業工人聯邦政府將設法遏止原料品價漲
page 3	居正宋哲元祭段
page 3	義軍領袖王鳳克夫婦被捕
page 3	陳儀昨返抵福州
page 3	滬法商定足球隊獲史考托杯錦標
page 3	海亨輪由廈開菲
page 3	葉琢堂調任農行總經理
page 3	中央儲　行七月　可望成立官商股本將微募峻事
page 3	墨首任駐華公使奧格拉氏昨抵滬
page 3	陝行營提倡造林
page 3	小協商國政治會議結果聲明決不參加反共協定對國聯法國等繼續抱忠實之態度望速訂新洛約奠定中歐和平基礎
page 4	汕商組商業攷察團分赴各商埠攷察
page 4	蕉嶺通訊徐溪暗殺案續訊
page 4	獲煙犯罰金釋放
page 4	縣府遷禪暫難實現
page 4	石灣善院籌款施藥
page 4	雲浮教界舉行清潔比賽
page 4	汕頭統一檢查歸僑行李定本月十一日起施行
page 4	官民參加春季造林
page 4	召集各鄉鎮長訓練
page 4	禪酒樓罷業未解決
page 4	父子入山採礦失蹤
page 4	老翁做壽一醉不起
page 4	登記煙民共五千人
page 4	食鹽加稅後大漲價
page 4	銅湖水閘定期　築
page 4	南海九江兩龍聯合行車
page 4	劫殺案捕獲兩疑犯
page 4	汕經建會委提議請豁免外國物料入口稅籍以發展經濟建設事業
page 5	岑學侶晉京將在軍委會服務
page 5	鹽商罷業私鹽充斥運署令各艦嚴緝
page 5	林主席到江門時各店戶之恭迎新會縣府之佈告
page 5	桂省籌備迎林程潛昨已返京
page 5	軍政當局派員赴港送孔
page 5	余總司令召民食會委員商調節民食之辦法在免稅洋穀米未實行進口前國米須按市面情勢放出以平米價管理及監督洋米進口辦法俟吳鐵城就任後核定粵省最近運到國米之調查
page 5	李江就旅長職訊王定華調任參事
page 5	潮汕人民對汕南北港會之憤慨竟請財部收回免米稅令各縣旅汕同鄉聯名通電駁斥汕市人民之制裁辦法
page 5	劉為章赴歐考察
page 5	陳誠昨偕羅卓英等赴韶巡視粵路警備在韶召集各軍官訓話今晨返省
page 6	李基鴻改期來粵就職日前抵粵者　其秘書楊某原定一日接事　須謁蔣請示改期十日可抵粵售　所管理　裁撤發還保證金　其　對記者談
page 6	鹽業風潮有轉變勢工商擬定五辦法謁孔代表昨分批赴　請願請華商總會海員工會援助
page 6	二日開會結果
page 6	呈唐運使原文
page 6	呈省黨部
page 6	存倉蕪米有水漬調節會責令民船工會賠償工會請省黨部主持公道並力追運載欠款及請願
page 6	運載合約
page 6	調節會令
page 6	菸葉專賣撤銷訊汪宗珠赴港謁孔官商意見已接近減低專賣償佈告
page 6	代表赴港謁孔
page 6	鹽船反對抽佣
page 6	印菸局增加稽征所征稅限額
page 6	柴油稅案請免補稅不准報關行再議應付
page 6	民廳昨三日通令
page 6	市長會養
page 6	四省　研會電告定期四月十六日
page 6	廣　市提倡國貨會
page 6	粵漢浙贛兩路
page 6	湘鄂實業攷察團
page 6	東莞明倫堂委員會
page 6	　江省政府　書長黃華表
page 6	　南海　長省黨部委員李海雲
page 6	陸文瀾電告展期
page 6	某方野心不息閩南漢奸浪人又活動
page 7	巴度苗力勸旅港英在加入義軍義勇軍實為防衛本港之前哨高射炮防空隊將由義軍充任
page 7	孫璞李大超今晨已抵港吳鐵城六日離滬南下
page 7	清明節舟車乘客擠擁火車開六班搭客約萬人各地輪渡亦有人滿之患
page 7	足以當之
page 7	救傷隊防毒訓練
page 7	長庚艦血案押候
page 7	少數英人
page 7	港政府之委任令
page 7	庫務司催繳差餉
page 7	集團婚籌備會議
page 7	孔特使等今晨過港各界歡送秩序昨已編定
page 7	　酢秩序
page 7	歡送大會
page 7	歡送代表
page 7	立刻應戰
page 7	入伍人數
page 7	洋米免稅令頒佈後本港洋米仍未運粵因未向糧食會領證明書昨日廣州米價已略低跌
page 8	分區舉行
page 8	大會宣言
page 8	主席致詞
page 8	預視紀盛
page 8	首飾商會致華人代表函請轉陳港府緝匪起賊保護營業
page 8	港僑教會
page 8	陳　棠尚未返國留歐考察各國建設
page 8	各界餞送郝督期
page 8	施利民離港返英
page 8	通濟艦昨日抵港
page 8	市內將無火油倉三年後盡遷出郊外
page 8	食紅丸屎幾喪命
page 8	朱轟回國調查商務
page 8	昨日足球成績表
page 8	培正籃球隊征本港
page 8	廣州培正對華僑隊
page 8	倫敦銀價無變動炒家及印度買入
page 8	港外匯市仍呆滯銀行沾申電廿一萬
page 8	桂幣中紙價微降順德成績出廿餘萬
page 8	省法幣市極沉寂
page 8	八九金　昨趨跌市道　靜渣家清盤
page 8	英對美匯兌轉縮美對　則　漲
page 8	滬外匯市情穩靜
page 8	省西紙價仍趨升行商大量購進
page 8	港商歡迎活人藥房茄楠氣痛散來港
page 8	燦爛的春光裡小朋友慶祝兒童節從今後要加倍努力求學長大時替國家復仇雪恥
page 10	慶蔣會準備結束
page 10	柏嘉道劫案過堂
page 10	港府新訂護照費
page 10	三強盜夜劫茅舍
page 10	油麻地小輪公司昨日開股東年會
page 10	曹善允首途赴英
page 10	寶蓮寺組織佛學院
page 10	法蘭江尼亞輪明晨抵港載歐美遊客三百三十五人有詩人有畫家有著名學者
page 11	足球對社會與倜人之關係二李惠堂在播音台作星球講座第四講
page 11	南華南昨日一敗否定蟬聯三屆冠軍曲克一彈就此致命敗北原因在於輕敵
page 11	普通界籃球賽信華僅勝華南乙組青泳團勝紅星
page 11	今日麗華杯決賽文員戰陸軍聯隊雙方實力均等勝負至難預測
page 11	今日尋常杯甲組祇比一場新敗之南華南重逢東方會即使勢均力敵重要性已消失
page 11	南華華三對二勝西警上場表演未佳西警佔先下場最後衝刺反敗為勝
page 11	西強足球隊對青年下午四時在加路連山
page 11	澳門鱆魚乒乓隊在港比賽總成績計十五戰九勝六負
page 11	華大中級乒乓賽皇仁隊榮獲亞軍淩風昨晚失敗退居第四位
page 11	昨日二十一項決賽後港大運會功德圓滿奧利威刺獲個人冠軍羅文錦夫人主持頒獎
page 14	皖贛邊區剿匪告捷殘餘匪共逐漸肅清贛西方步舟匪潰不成股皖南匪首熊才輝已被擒
page 14	　青的途徑
page 14	廣惠寺歷史
page 14	　待開發的青海牲口木材皮毛極豐國貨不振日貨權威最大我不開發他人先我而至黃建中考察後返滬之談話
page 14	開始進剿
page 14	回途時種種
page 14	方匪橫行
page 14	移兵迎擊
page 14	清剿會議
page 14	德重分原料要求目的在壯國家聲威不在獲取遼遠之殖民地日本外交記者觀察如此
page 15	最要的問題
page 15	金融的近況
page 15	承銀主命貴重物業當眾出投
page 15	雲南民族種類調查共有漢回蒙藏苗夷六種苗夷兩族現均退居邊荒
