page 1	張川六會後　中　交涉
page 2	廿九軍少壯幹部通知日軍秋操演習勿逾所批明界線日軍在軍糧城舉行攻防演習各特別部隊參加演習化學戰
page 2	蔣委長壽辰將屆京鄂機舉行命名禮黨史陳列館特闢蔣勛績陳列室中央攝影場攝製蔣公宣傳影片
page 2	李思浩昨由平抵滬談話華北首要擁護中央華北情形複雜吾人惟有妥善應付
page 2	林蔣孔等電唁楊氏家屬楊氏四女昨日由滬乘機抵漢楊夫人李武珍女士因病留滬未能偕行劉鎮華昨抵漢祭楊見楊遺體痛哭失聲楊永泰遺體昨日大殮
page 2	行政院例會議決孟廣澎暫兼鄂主席發給楊氏治喪費一萬元粵橋務局改組為僑務處
page 2	日謀掩蔽鄰國耳目對於國內言論將實行統制
page 2	討論事項
page 2	任免事項
page 2	日軍部與外務省聯席會議一致議決繼續堅持華北防共兩提案對華方針並無變更此後更努力邁進須磨攜重要新調令定今日離日返任日方極注意蘇俄大使在華行動
page 3	河南江北月來亢旱原因冬季季風盛行期移早大陸高氣奪異常發達
page 3	桂省決定下月改用法幣
page 3	樂衡段撞車案鐵部極為重視對肇事負責人員決依法從嚴懲治
page 3	阿王離平赴京
page 3	財部電魯省府保護緝私關員
page 3	刺汪案要犯余立奎連日詳加鞫訊
page 3	海關總稽查處明日遷津工作
page 3	馬麟昨啟程前赴麥加朝聖
page 3	章士釗改期今日視事
page 3	法部令各院採用檢驗血痕新法
page 3	川產枕木豐富足供成渝全路之需
page 3	歐洲赤白兩　線鬥爭白熱化國際兩大工團要求英法當局許西政府向外購買軍火並要求世界工團設法制止以軍用品供給叛軍俄輪運大量軍用品接濟西國俄將擴充空軍使其戰鬥力超過德日兩國總和意德極力拉攏小協約國加入反俄陣線南斯拉夫將承認意國兼併亞比西尼亞
page 3	俄使電俄報告馬德勒恐難久持西政府不勢頭納英國交釋俘虜提議失英同情英將來必承認叛軍政府西國內有六個獨立政府
page 3	日謀在南太平洋設立航空線網
page 3	飛機四十架飛太平洋演習操演詳情保守秘密
page 3	監察院昨開會
page 3	美國競選劇烈藍敦詬責羅氏
page 3	奎松展期來華
page 3	巴布沙氏續任澳門總督
page 3	日南進政策下馬來英貨銷場受打擊馬來政府組織委會調查日貨競銷情形星督對現行商務政策希望　商界合作
page 3	蘇俄獨裁領袖史太林病勢甚重現在莫斯科附近之別墅療養俄最高當局已討論史氏繼任人選
page 3	希特拉考慮復辟問題欲實現恢復君政鞏固國社黨政權
page 3	蘇偽邊境附近蘇偽軍隊發生衝突目下仍在　峙中蘇軍續增援
page 4	九龍高級學界籃球賽今日開幕初級卅一日舉行
page 4	高級學界籃球華仁僅勝保羅今日高初級各有兩場比賽
page 5	閩粵兩方軍隊分四區清剿匪公路銜接以利軍運
page 5	閩西南剿匪劃分四區舉行
page 5	謝莽抵粵接收德造鉅型轟炸機
page 5	一五八師調一團返防粵邊
page 5	完成各公路銜接利便軍運
page 5	汕南北港公會請暫免征洋米稅
page 5	筵捐風潮已告解決酒樓商人請願昨被扣留工人一致擁護政府昨日酒樓照常營業
page 5	更換十四屬縣長汕市長調長揭陽揭陽縣長調汕市
page 5	南海西樵之匪患墟艇被劫傷斃人
page 5	舊洋文報紙減稅後走私者仍猖獗奸勾結浪人在市內設貨倉
page 5	祭胡大員行蹤記孫科返中山立法院院長孫
page 5	立委赴桂省
page 5	留粵中央軍又有一師奉令調湘霍揆章部調衡州黃維部接防樂昌一帶粵路南段由張瑞貴部接防
page 6	中大附中畢業生請設大學補習班
page 6	捐款購機之獎勵
page 6	合浦葯引店火警慘狀傷斃人命五名口
page 6	起火原因
page 6	焚燒情形
page 6	省營糖廠經理昨日補後就職情形在市頭總廠舉行劉給熾派呂秘書監誓遍請軍政長官觀禮當地農發搭牌樓歡迎定今日開農民大會司徒錫就職後之重要布告
page 6	焦院長易堂視察粵國醫學院粵科學改良國醫
page 6	入口貨蓋嘜編號實行期已允展緩報關行請願之結果市商會定期討論
page 6	三甘蔗蕃殖之改進
page 6	航商請撤年季饋昨訊決定作最後之請求仍無要領即北上請願航業銀行組織之討論
page 6	偽造國幣串騙案拘獲兩人解辦
page 6	兩個大漢飲霸王茶之示眾因餓騙食之可憐
page 6	近因上海米市飛
page 6	統稅局新局長　其英
page 6	范其　昨廿七日派代理秘書鄧國楨庶務主任黃靜坤等赴　區綏署接收一切案卷公物
page 6	地政局長吳德芳
page 6	財廳令各縣將原有之征收處
page 6	粵湘鄂贛特產展覽定期在粵舉行
page 6	中大文學院社會系三年後以同學馮道先月前參加救國運動會
page 6	河南第三區公所與駐　之番禺
page 6	銓敘部長石瑛
page 6	奧中會老革命黨朱少穆
page 6	廣東國民經濟建設運動分會
page 6	廈門米商請聯同防範私運漢奸搜辦糧食運某國
page 7	總所電示三項辦法
page 7	擬定下月一日開票
page 7	團體名冊審核結果
page 7	匈牙利女預言家預測二次大戰明春爆發將有幾個君主國產生亞洲祗有我國能存在
page 7	其所談如下二次大戰
page 7	意亞問題
page 7	東華萬善緣法會明日在名園開審
page 7	各界組歡迎黃主席聯合會定廿九日開籌備會議
page 7	華機會再函僑教會
page 7	廬榮傑談
page 7	少婦服毒幸獲救
