page 1	戰區經委會之工作
page 2	我游擊隊襲佛山衝入日司令部增城日軍北犯未逞
page 2	滬又發生一剌殺案兩男子被剌斃命被剌者為誰未悉
page 2	日機昨午又襲重慶
page 2	汾城日軍西犯受創
page 2	日汪之條約只待正式簽字已由日軍當局呈交東京但尚未得汪精衛之畫押
page 2	晉我軍迭有斬獲
page 2	為日機濫炸後渝各團體通電全國不畏日閥濫施恐怖政策擁護抗戰國策爭取最後勝利
page 2	荊宜一帶日軍迭受重創仙桃鎮附近日軍受創尤重
page 2	孔祥熙患　氣病遵醫囑暫休養只閱重要公文
page 2	東北農民罷工謁力避免購買日貨
page 2	陳嘉庚等抵桂各界會熱烈歡迎
page 2	海外僑胞踴躍捐款購機
page 2	英德兩軍隔海炮戰英機飛炸德軍炮位
page 2	德機襲擊倫敦近郊
page 2	湘贛民眾自動運儲糧米不願以糧資日有被迫焚燬者
page 2	松岡流底改組外務省各局長恐將完全更換親英美份子決予肅清
page 2	一等兵李榮德捐款救濟難民
page 2	越泰邊界形勢嚴重泰軍或將侵東蒲寨俾日藉口護僑派兵在海防登陸泰國五百萬華僑
page 3	日新體制籌委會委員業已選出其中多係右派及軍部領袖定廿八日舉行第一次會議
page 3	菲將開始向美購買工業用品
page 3	英國國會休會僅兩星期張伯倫如因病退休內閣必須重加調整
page 3	美租西半球英屬地將來戰爭結束後問題軍事根據地可改為民用機場
page 3	須磨對記者談日更動大批使節係屬尋常更動性質欲改選較有朝氣者充任且與刷新政治體制有關
page 3	美國新墨西哥州發現錳礦礦質甚優良
page 3	哥爾謂貝當努力諂媚德國迫法屬海外人民以向希特勒投降
page 3	法外長廣播反駁邱吉爾之演說詞謂法國之投降實非得已
page 3	岷渣航空線美尚在考慮中短期內難決定
page 3	日要求德國保證日輪安全德國久未答覆
page 3	英向美機廠定大批追逐機價值六千萬金元
page 3	美國巨型機創新紀錄機上裝砲數門
page 3	美法籍人組織團體在以精神金錢援助哥爾將軍
page 3	美加聯防局美委定六委員將於下星期在奧太華舉行第一次聯席會議
page 3	羅保成立邊界協定
page 3	英供應部大臣談軍需工業進行甚迅速出產能力遠超過三個月前但工作僅屬開端不容稍懈
page 3	教部救濟專科學校學生
page 3	羅內閣將有更動羅王召集內閣會議
page 3	每夜十時前德國停止廣播
page 3	桂省提倡節約
page 3	檀香山僑胞推行傷兵之友運動
page 3	銓聚部制定人事管理暫行條例以健全人事行政機構
page 3	英國加緊封鎖德意對美貿易
page 3	不必驚怪
page 3	能不愧死
page 3	滬英駐軍第二批昨離境
page 3	亞力山大港發出空襲警報
page 3	委座令撥巨款救濟衡陽災黎
page 3	傳意向希下哀的美敦書要求希放棄英保證但希外部尚加否認
page 5	呂部援兵幾全覆沒
page 5	克復九區包圍小欖
page 5	石岐日軍勢已動搖
page 5	日犯泥灣圖援白蕉
page 5	廣海一帶現無戰事
page 5	江會各線連日戰情
page 5	南路禁煙成績良好各縣均於七月底完成禁政
page 5	中山游擊襲擊港口
page 5	呂春榮施緩兵狡計
page 5	順德團隊夜襲日營日軍二十餘人被殲殺
page 5	留澳義民不願返鄉
page 5	某客商談清遠貨運情形
page 5	強迫疏散後韶市各方動態機關改變辦公時間消防設備積極改善
page 5	機關辦公
page 5	水陸交通
page 5	消防設備
page 5	深圳日軍北竄將展開劇戰日艦十餘艘竄集大亞灣海面淡水惠陽等地連日又遭空襲
page 5	韶市難民概計救濟不易
page 5	粵籌募寒衣金三十萬各界開會商募集辦法上年度成績分予獎懲
page 5	清劇籌款
page 5	上年成績
