page 1	羅馬尼亞政潮與德蘇關係
page 2	決不承認汪組織美續貸我一億金元半供購軍需半供維持中美匯率基金赫爾聲明只認重慶為中國合法政府
page 2	日本每次打擊我國美即增我一次援助
page 2	赫爾重申美國立場對華政策仍不改變
page 2	希軍已奪得寶格拉特又再開始猛攻
page 2	德機炸擊修森頓城
page 2	中美的新借款
page 2	英機炸擊法意軍事目標
page 2	印回同盟會主席發表演說不相信印國民會議盼回教民族勿參加
page 2	印度政府購買軍需物資供應英印度國防軍
page 2	德宣佈併羅蘭劃入薩爾區域百年爭執之歷史結束
page 2	羅斯福召見稅務專家會商稅務問題
page 2	英經濟作戰部大臣向美呼籲援助強化封鎖英國敵人且及助德之中立國
page 2	美輪運貨赴英考慮由美護航但至大西洋半途為止
page 2	前港督金文泰悲喜交集一方面　向平一方面痛失掌珠
page 2	高考展期舉行
page 2	蘇州炸車案經過詳情日方已容許發表傷斃共一七六人
page 2	汪輩派人收買異已報紙
page 2	滬一日憲兵被刺傷重斃命出事地點被包圍
page 2	英美正式表示
page 3	羅幼主米加爾已被德軍保護
page 3	王外長鄭重聲明任何國家承認汪組織我決即斷絕邦交日汪所訂私約完全無效中國決心戰至獲得勝利
page 3	一二兩條附加解釋
page 3	附議定書共計五項
page 3	陶希聖氏再有談話
page 3	中央日報發表批評
page 3	中大服務團由柳抵邕
page 3	越邊仍互有轟炸泰令全國動員法仍進行外交解決
page 3	許崇智由港抵渝
page 3	滬愛國青年極為活動張貼愛國標語喚起市民覺悟
page 3	襄河西岸我軍續克栗溪鹽池廟等地由當陽北犯日軍被我包圍山谷大洪山西麓日軍遺屍二千餘具
page 3	絳縣附近激戰甚烈
page 3	鄂南日軍一部中伏
page 3	贛北我軍極為活躍
page 3	豫北我軍迭挫日軍
page 3	河津東北日軍受創
page 3	日機十八架襲擊重慶向重慶下游炸擊市區內未有落彈
page 3	黏貼印花必須端正不得顛倒黏貼
page 3	川駐渝辦事處決定裁撤
page 3	桂省義民遣送回籍共達三千餘人
page 3	襄陽兩小學節食購機
page 3	羅政潮勢將擴大蘇機飛羅投散傳單攻擊親納粹政權蘇主廣演說蘇聯四面皆敵土耳其廣播決不參加軸心
page 5	江會日軍縮短防線
page 5	日軍五千開抵中山
page 5	徵集國民兵抽籤定期實施征兵年次以壯丁多寡為準得由軍管區核減徵集年次
page 5	汕頭日軍糧食恐慌禁止輸入渝陷區
page 5	粵境日軍劃設守備區無力出擾改取守勢
page 5	增城日軍勒令鄉民繳械紳耆十餘被扣留
page 5	粵省公庫法分期實施各縣省公庫本月起實行各縣市公庫明年起實行
page 5	旅美台僑救濟民食匯回國幣廿萬元
page 5	桂省派員考察浙紡織業
page 5	桂省嚴禁賭博
page 5	海豐海盜私梟猖獗假冒漁船四出截劫武裝保護偷運鎢礦
page 5	寶安日軍一部準備撤退深圳日械移運南頭附日份子秘密會議
page 5	台山民眾舉行反轟炸會
page 5	粵獎懲公務員
page 5	運湘貨品中途散失湘貿局已交涉取贖空襲下之運貨難
page 5	粵留桂精銳部隊返防四邑古鼎華赴各線視察部署反攻江會日軍空虛那伏獨洲安謐
page 6	封鎖區之規定
page 6	人民救濟辦法
page 6	粵加緊改進水利工程一築山塘修溝洫浚圳井建堤壩抽水蓄水灌溉
page 6	粵漢路日軍圖犯花縣廣州日軍二千下艦返台
page 6	河源撤除雜捐
page 6	中大派員赴桂調查農作害虫
page 6	幹訓團遷曲江
page 6	西江各縣冬令聯防師管區訂定辦法飭各縣實施
page 6	聯防區域
page 6	執行辦法
page 6	貸款
page 6	粵停募志願兵
page 6	松本撤職原因
page 6	粵積極施行新縣制新縣制應辦事項酌量提前
page 6	封鎖區人民救濟辦法申政府撥款舉辦平糶及散賑土產　　仍准輸出以維生活
page 7	廚中起火
page 7	兩屋被焚
page 7	漁協換物會籌得五千餘元
page 7	輔政司謝教聯會捐款
page 7	文協會舉辦學生繪畫比賽繪畫專校學生不得參加
page 7	四屆貨展攤位僅餘六個未租出
page 7	港府增強消防力量增募義勇隊員百名二百餘青年已報名待攷
page 7	僑立小學校組教育研究會
page 7	陳濟棠昨返渝
page 7	聖雲仙會賣花
page 7	登徒子路遇村女誘至山邊逼姦白相向女寧死不辱極力掙扎被刺傷頭顱
page 7	法僑三人參加自由法軍
page 7	臨時醫院人滿病者均屬華人
page 7	油麻地長生店火警數十具棺木變為巨炭損失凡數千元幸未殃及鄰戶深水　鄭屋村亦有兩屋被焚
page 8	開張五日即被賊劫
page 8	損失金飾值千餘元
page 8	店中未有防盜設備
page 8	印刷業商會拒絕勞方九項要求僅增膳費一項留待討論舉劉富文等再謁勞工司
page 8	香港東方小學紀念會徵詩鐘
page 8	全國攝影展覽本月十一日開幕
page 8	領移民證困難尚多保證一項最感棘手何種商店乃為合格希望當局詳加指示
page 8	保證二項最國棘手
page 8	　申請書通融辦法
page 8	九龍商業總會二次會員大會新董事已即席選出
page 8	露救會宿舍昨晚開放兩善院今晚派棉衣露宿貧民皆大歡喜
page 8	吳鐵城南行抵星洲沿途備受當地政府歡迎僑胞踴躍獻金成績甚佳
page 8	所負使命至為重大
page 8	菲島當局熱烈歡迎
page 8	談話演詞紀不勝紀
page 8	星督瓊斯奉命招待
page 8	酬酢宴會幾無暇晷
page 8	僑胞節約捐獻政府
