page 1	美國財政援英問題
page 2	北非意軍繼續崩潰英軍進抵里比亞邊境意國內部將有劇變法西斯黨謀推翻軍界領袖意軍潰敗為軸心瓦解朕兆
page 2	英報一致頌揚此勝關係重大
page 2	英軍勝利主因為海陸空合作
page 2	意軍北非喪師遠亦受影響
page 2	英軍續陷蘇林意認傷亡重大
page 2	美名銀行家著論贊成財政援英美財長摩根韜發表談話現未有人提出借款問題
page 2	南匈友好協定經已簽字維持兩　和平關係軸心分子另　宣傳
page 2	美政治評論家痛駁松岡對美談話空言恫嚇適足益堅援助中英政策他國若以戰事威脅將遇行動答覆
page 2	捷國務員在英開會
page 2	土國經濟力量足左右世界大戰土總理塞丹之豪語
page 2	德蘇勘界工作經已完成現正振　詳細使邊界穫得總解決
page 2	英航業界購買美輪
page 2	對丹吉爾情勢英極注視
page 2	美紅會撥鉅款救濟希臘難民
page 2	攻反援增軍意仍無法挽回頹勢希軍續佔波多巴拉溜冰隊初次使用結果仍慘敗華倫納港被控制已無法使用
page 2	希軍冒雪進攻華倫納　被鎖
page 2	葡人同情英希當局力誡中立
page 2	合眾社每年選文今年十篇選定其中一篇最足注意為蘇聯之政策　向
page 2	蘇報評論日本危機經濟奇窘國債日增實難支持長　戰
page 3	豫北我軍襲溫縣日據點沁陽日軍竄擾被挫通城以西日軍敗潰
page 3	倫敦泰晤十報評本多任駐寧將盡力摧毀反東亞新秩序之力量
page 3	日施小惠將華艦九艘交回汪組織
page 3	美船員義舉反對連軍用品赴日向羅斯福總統請願不許三輪助日
page 3	中國工程師學會九屆年會開幕
page 3	淪陷區美傳教士遵從撤退勸告百餘名乘輪返美
page 3	滬字林西報華籍職員罷工要求加薪及加米津
page 3	日炸湄公河橋並無損害
page 3	營養缺乏七項補救辦法衛生署擬草
page 3	黃安素抵渝
page 3	越南當局禁運米赴粵徇日人之請
page 3	新任美大使野村將到南京視察考慮長江開放問題企圖改善日美關係
page 3	維士政府內閣將有更動哥里自由運動勢力潛佈法國
page 3	勞司安遺體運送返英問題美提議由美艦運送但因戰事極須考慮
page 3	泰傳越南軍事當局準備作大規模攻勢越泰邊境仍有衝突事件雙方廣播台又作宣傳戰
page 3	英皇鐵工伯明罕巡視被炸災區德機又炸英倫各地
page 3	溫莎公爵突乘飛機離境傳將往晤羅斯福
page 3	新任全國憲兵司令賀國光
page 3	特種有獎儲券自發行以來
page 3	莫斯科聯遠東研究會
page 3	據新加坡外市
page 3	國府十三日令
page 3	宋子文在美事畢將赴英商借款進行英報望我注意統制外匯防上外流駐華英大使現續留重慶與我商洽
page 5	日機分批狂炸惠陽淡水深圳增加日兵數百佈置封鎖邊界交通
page 5	日積極南進聲中擬在台設海軍辦事處華南海軍官佐多被撤換
page 5	台山開平開始冬耕各鄉組墾荒會
page 5	鄧龍光朱暉日告別游擊隊將士書本疇昔　之精神毅力而致力後方之生產建設
page 5	臥薪嘗膽
page 5	釋戈解甲
page 5	身經百戰
page 5	解甲回歸
page 5	良好隊伍
page 5	桑梓福利
page 5	膽肝仍照
page 5	委座昭示粵省行今後加緊吸收僑匯本省農貸達千一百萬省行增設臘戍辦事處
page 5	三水日兵患病死者甚眾　沉默凱旋
page 5	仁化廢除苛雜
page 5	順德游擊隊潘部自請解散近訊
page 5	南路各縣免征洋米稅不限數量地點及免簽證手續南路米價高漲實因奸商造成
page 5	粵南各縣積極實施聯防訂定維持治安辦法通令各縣辦理中振會撥款五萬振濟欽防之義民
page 6	韶關建設新住宅區訂定招致市民建屋辦法
page 6	粵漢鐵路韶站貨倉大火
page 6	桂省舉辦農業施肥貸款四行撥二百萬元
page 6	農民銀行韶關分行成立
page 6	粵省毫券兌現問題解決後敢支不平衡現象掃除明年財政支出預算六千萬元財廳積極整頓稅收廢除苛雜
page 6	整頓稅收廢除苛雜
page 6	警費筵捐分別裁留
page 6	四會農民之冬耕談
page 6	湘省來客談湖南鹽價高漲情形每擔竟達百元以上積極調整運輸補救
page 6	粵財政廳整理寶安稅務陳萬　任局長
page 6	廣州灣日人要求檢查新片對孤島天堂表示不滿
page 6	粵振濟會救濟港澳僑胞
page 6	江會日軍拉伕增築工事馬少屏巡視古井授示機宜中山八區沿岸團隊積極備戰禺南我團隊一度攻進魚蝦窩
page 7	耶誕與新年延長營業時間港府已批准商人請求
page 7	皮佛斯
page 7	屈映光
page 7	梅禮
page 7	嘉脫
page 7	富勵士再解釋領移民證辦法姓名職業商號均須填報清楚出生紙未足證明係本港居
page 7	姓名職業
page 7	保證意義
page 7	過境證書
page 7	領證費用
page 7	商會會議
page 7	施柏堅談港防空壕可與英媲美全部工程十二個月內可完成利用大水渠避空襲在試驗中
page 7	省救護會港分會應注意本港僑胞疾苦總會主任提供兩項意見全體委員一致贊成通過
page 7	捐米賑濟難民廣恒興米店之善舉
page 8	勒馬洲寮博村劫匪開槍拒捕警探還擊一賊中彈就擒深水　歹徒拒捕亦被執
page 8	大道中保衛團正副隊長選出
page 8	九針島海盜劫艇擄人貨艇司舵員中彈慘死財物損失值四千餘元
page 8	難民工業社賣物會昨開幕蔣　兩夫人均到場參觀
page 8	九龍城侵信會新禮拜堂落成今日下午行開幕禮
page 8	警官夫人遇盜被搶手袋一個
page 8	飛虎黨歹徒橫行迫人入會事敗入獄
page 8	聯美機今到港即日離港返美
page 8	今日賽馬成績蠡測兩項冠軍賽將有劇烈競爭
page 8	失業男子跳樓饑寒交迫無以為生
page 8	南洋各埠嚴禁華文書籍進口港書局請通融　理
page 8	書畫文學社十五週年紀念　開書畫展覽大會
page 8	兵災會賣物會勸募成績續誌
page 8	強制服役上訴委會會議
page 8	永樂輪未到港
page 8	濫索手貫費找換店被重罰
page 8	臬庭開審刑案私藏郵件郵差入獄
page 8	港渝貨運之利便
page 8	米價規定後奸商改以暗盤交易抬高價格先銀後貨不發貨單若不嚴加取締統制當難收效
page 10	今日甲組足球兩場南華戰香港會下午四時會師愉園掃桿埔米軍迎光華
page 10	體育界踴躍參加政府消防訓練
page 10	本港體育界前輩組織中華業餘體育會準備參加下屆足球賽
page 10	昨日學界籃賽西南勝皇仁今日有三場
page 11	英國空軍組織
page 11	第四章麥旦之死
page 11	美國的艦隊下
page 11	愛爾蘭的領袖凡勒拉
