page 1	美財長赴英之重要性
page 2	但澤關員問題已獲和平解決軒然大波暫告平息德波局勢並未變化
page 2	渝郊尋獲Ｘ機殘翼已由保長運渝
page 2	Ｘ機六日晨轟炸宜昌詳情燬民房數間死傷平民八十餘英輪兩艘及亞細亞油機被炸
page 2	我郵局慶祝美憲法成立年發行紀念郵票以郭邦交
page 2	晉省淪陷區內發現抗日報紙該報名為抗戰係由游擊隊編印
page 2	粵省厲行禁煙
page 2	滬反英運動仍極激烈
page 2	滬形勢極緊張各交通要道均設鐵絲網
page 2	青海道士受訓
page 2	滬郊農民多成為遊擊隊日間照常耕作夜間即出襲Ｘ
page 2	德軍舉行大規模之演習詳情官方嚴守秘密軍事準備達最高峰
page 2	Ｘ進行製造偽代表大會
page 2	確山美教會被炸美向日提抗議
page 2	Ｘ反戰運動蔓延及於空軍北平Ｘ空軍大尉駕機圖遁為Ｘ發覺起機追擊被擊落
page 2	解決天津地方問題英日商得辦法惟東京談判仍未舉行
page 2	法方否認大雨前線並無淹浸
page 2	美國會昨閉幕
page 2	羊樓司以南我大捷晉南我軍反攻新絳Ｘ恐慌
page 3	英國海軍力量應付歐洲有餘儘可派遣一部開赴遠東英對遠東態度較前強硬
page 3	英報一致推讚首相
page 3	防止水陸空私運特種物品進出口辦法
page 3	戈林誇耀武力英已不能再封鎖德國德空軍已準備應付危機德國又已儲備大幫糧食
page 3	波陸軍統帥聲言決心抵抗侵略向德提出嚴重警告
page 3	古巴京城華僑居留區發生大火損失不下一百萬美元
page 3	德意外長將謀會晤因但澤問題已趨嚴重德欲確知意國之態度
page 3	意軍大演習繼續舉行
page 3	將來大戰之澳洲與英一致行動
page 3	反英委員會停止英僑教學佈道謂津游擊隊與英方有連絡
page 3	愛爾蘭共和軍將停擲彈動舉
page 3	意築路工人發現古墳墳為紀元前之物骷髏均完好無損
page 3	波蘭否認繼續動員
page 3	張伯倫赴蘇格蘭休假
page 3	保國會議員赴蘇參觀農展促進兩國邦交
page 3	日亟謀發展出口補救國內經濟
page 3	荷蘭公主女孩取意命名和平
page 3	平沼召集各重臣舉行緊急會議討論日本對歐洲新形勢政策阪垣將向內閣提出重要會議
page 4	半島農戶紛遷　界
page 4	難民群集新界耕植
page 4	新界農產運港激增
page 4	光華光中兩校昨舉行畢業禮
page 4	棍騙疑案押候
page 4	中青救護隊慰勞東江傷兵
page 4	牲口銷港日以千計
page 4	港政府鼓勵下新界農業發展甚速近領官荒耕種　千餘人菜蔬牲口源源運港推銷
page 5	我游擊隊偷渡白沙
page 5	江門之Ｘ虛張聲勢
page 5	中山一帶均無Ｘ蹤
page 5	偽綏靖軍增兵江會
page 5	劫後鄉村瘡痍滿目
page 5	我空軍飛江會偵察
page 5	粵南當局積極建立游擊根據地經指定有利地帶多處及預儲一切糧食子彈
page 5	江佛路上Ｘ兵被我截擊
page 5	Ｘ機昨又襲粵北
page 5	戰區司令部訂定防毒消毒辦法
page 5	番禺新村等鄉農民被逼割禾我游擊隊夜襲新村Ｘ營
page 5	強迫割禾
page 5	夜襲新村
page 5	寶安各地之平安報王若周昨巡視廣九路被炸災區並發出佈告禁止商場高抬物價
page 5	粵省限期速成戶口調查
page 5	順屬容良碧良公路游擊隊襲Ｘ記
page 5	粵府籌設各縣無線電台
page 5	白崇禧兼任桂綏靖副主任
page 5	李福林組軍近訊派員分設辦事處委定奏某等負責李氏同赴渝請示
page 5	江會間仍日有游擊戰我隊兵偷襲白沙燬Ｘ陣地江佛新鶴兩路我軍之誘Ｘ計我空軍窺江會團隊乘勢擊Ｘ中山安定當局向民眾報戰情會城北門坑鄉民糧食之缺乏
page 6	中山軍事穩定後容岐之水陸交通狀況桂岐與岐澳線祇有四輪渡復航搭客擠擁異常多循陸繞道步行
page 6	Ｘ機分批進窺東江
page 6	省振會再撥款救濟潮民
page 6	韶各路客貨車運費加價
page 6	新會五壯丁抗Ｘ殉國
page 6	東西馬寧Ｘ艦被炸死傷Ｘ軍十餘名
page 6	粵建廳調查各縣稻穀收成
page 6	新會軍警肅清奸究昨槍決劫匪五名
page 6	民廳擬禁煙獎勵辦法
page 6	雷城亦遭Ｘ機轟炸合浦　溪徐聞各縣均被窺伺
page 7	全港商販義賣辦法
page 7	中山商會發獻金封
page 7	酒店工會領獻金箱
page 7	疋頭公會告同業書
page 7	社團學校籌備紀念
page 7	義風社贈送建國燈
page 7	太古船澳職工捐薪
page 7	珠海封鎖昨已解除英艦海鷗今晨開赴廣州
page 7	彌敦酒店酒菜部飲客跳樓慘死淺斟細嚼吃菜凡數簋死後搜其身不名一錢
page 7	廣聯商會主席再謁醫務總監請改善領防疫證辦法
page 7	八一三紀念將屆富人獻金商販義賣實行有錢出錢有力出力各界人士響應如風起雲湧
page 8	國立各校院入學試本港投考學生千餘人
page 8	歐　航空公司重訂各線票價
page 8	全港藝術界籌賑會游藝秩序已定馬師曾薛覺先兩晚均出台拍演紫羅蘭李綺年張月兒等均參加
page 8	郵局書記被控用廢出票行騙
page 8	澳督今日到港
page 8	北圻足球隊下月與師犯港七日可抵　將作賽三場東方港聯華聯準備迎戰
page 8	長安街昨火警
page 8	五邑青年會明日招待報界
page 8	倫敦賣物會港徵募會會議
page 8	擦鞋童墮海死
page 8	又破獲字膽廠
page 8	被擄榜人脫險
page 8	夏令籃球賽今有兩場戰事補賽秩序亦經編妥
page 8	昨日單車決賽成績傑士榮獲三項冠軍
page 8	美　船均已配備武裝自衛力極強英艦更隨時護送本港選派機械人員赴星服務
