page 2	本報今後之貢獻於社會者四
page 3	吳景濂為副座選舉事將由津赴洛陽
page 3	孫洪伊抵津
page 3	吳毓麟赴寧聞與疆使會議事有關
page 3	彈劾王克敏案押票因票片不存無結果
page 3	張福來抵京
page 3	曹錕令鄧本殷黃志桓為將軍
page 3	方本仁電京稱滇軍北附共四團已商妥開赴南雄
page 3	沈鴻英派副官到湘接運軍用品
page 3	陳炯明代表黃強由蘇轉赴洛陽接洽辦粵事
page 3	孫傳芳部盧孟張三旅全部赴贛孫調督贛說暫難實行京政府商洛吳另予位置
page 3	軍事處已備平粵議案電齊燮元代邀林虎來京商議
page 3	孫傳芳保粵軍旅長張毅為
page 3	廈門鎮守使
page 3	黔軍袁祖銘部九日克成都熊克武遁　陽劉成勳遁新津賴心輝周西成潛襲重慶被劉湘袁祖銘擊敗仍退守資中
page 3	盧永祥覆吳佩孚電不願受推崇並謂武力政策莫如及時謀結束
page 3	溫樹德在青島擾民為日領事抗議海軍部令溫移駐龍口煙台
page 3	外部函使團希飭商勿承受粵省瓊礦借款
page 3	吳毓麟將奉曹錕命往寧協商海軍問題及孫傳芳北調事
page 3	荷使對金佛郎案有主提交海牙公斷說
page 3	赤俄選諳英日華語青年備派日印各地宣傳共產主義
page 3	張作霖擬以三百萬元擴充海軍
page 3	財部對捲煙稅率現與使團磋商增至值百抽五
page 3	王克敏對德債票問題備半年辦理
page 3	陳籙電稱法對俄有承認意
page 3	駐新疆俄代表請在新邊劃定華俄雜居區域經新督楊增新拒絕
page 3	英使以鄂開放團風一處行輪仍不滿意要求增放黃陂咸寧二處
page 3	日趨緊張之湘滇兩軍問題湘軍欲拒滇軍返省
page 3	省長問題與湘滇軍暗鬥
page 3	湘軍急設野戰病院之原因
page 3	江海防艦隊合併之阻力
page 5	梧州議禁　運牛出口
page 5	鍾鳴階圍攻賀　之被困
page 5	桂省各屬禁米出口之影響
page 5	派艦保護米商辦米之擬議
page 5	春雨沖壤粵漢車路
page 5	查拿敵人偵探之通告
page 5	廣州日岸輪渡附加軍費章程
page 5	市廳暫行制止抽收筵　捐
page 5	北江運商呈請統一保護
page 5	　梧至柳之包裹漸可通寄
page 5	澳督往江門游覽
page 5	胡漢民汪精衛赴滬
page 5	廣州貨車工人之聯合
page 5	商團不受勸銷手票獎金
page 8	蔡鉅猷離湘之經過
page 8	川戰中之議和聲
page 8	俄人攫取外蒙路權說
page 8	綏遠都統署失火之真相
page 8	蕭安國因飲酒斃命
page 8	四巡閱會議之醞釀
page 8	江浙戰事不致實現說
page 8	沈子良任鄂省交涉員
