page 1	英內閣改組
page 2	李長官參謀長暢談豫鄂我軍大捷經過
page 2	日機空襲貴陽中央醫院護士長蒙難住院病人二百餘均無死傷
page 2	日本郵船公司突令在歐洲各輪停航在行駛中者爭駛入港候命
page 2	晉南晉城殘日被擊紛向長治潰退我對安運之日軍猛攻豫北我軍向安陽猛擊
page 2	皖南我軍克復繁昌
page 2	渝各團體歡迎日反戰團到各界二千人由郭沫若主席
page 2	高峰　日軍又復蠢動
page 2	遠東各荷輸奉令報到持將照常恢複航期
page 2	于斌在築視察日內將抵桂林
page 2	墨索里尼接見意各殖民地回民領袖希望回民一致擁護意政府
page 2	瑞總司令勉勵軍人盡職保衛國土
page 2	羅內閣改組完成
page 2	孫總幹事談河北災振困難極多有地方特殊勢力時加掣肘辦賑人員時遭空前之迫害
page 2	荷屬西印度由同盟軍駐防以防德僑搗亂
page 2	衡山鄉人一胎三男榮獲省府獎金
page 2	豫鄂邊境日總崩潰我軍進至信陽近郊平漢線入我掌握日歸路已斷唐棗路上我軍奪獲輜重無算
page 3	侵入荷境德軍現正被荷軍極力圍攻
page 3	德軍之閃電戰術
page 3	英潛艇海狗號料已失蹤
page 3	英戰爭內閣成立邱吉爾任首相張伯倫改任樞密院院長西門賀爾未有被 邀入閣
page 3	美國已有準備對日取嚴密監視態度赫爾發表聲明重視維持荷印現狀近數星期來英日等亦有同樣聲明
page 3	英海軍航空隊襲擊挪威德軍有三彈中一德艦
page 3	意宣傳部長由德返意
page 3	荷將在美設緊急委員會管理在美荷國事業
page 3	美中立法適用於比荷盧法將用飛機由美運輸物品
page 3	英向意抗議意人反英運動
page 3	蘇南簽訂商務協定
page 3	德軍現向各線猛攻英法聯軍開到荷國荷比兩國第一線防軍向後退卻
page 5	我軍已推進佛子
page 5	石龍日偽竄擾下南目的在奪得糧食飽掠而去日機連日向東路各地偵察
page 5	東江北岸我軍出擊大獲勝利百花嶺殲擊日偽經過
page 5	百花嶺我出擊勝利
page 5	日軍報復到處蹂躪
page 5	日機連日偵察東路
page 5	南海游擊隊在金溪河面奪獲日糧船裏水偽軍擾沙涌被殲
page 5	日方經營瓊崖陰謀最近之動作情形
page 5	中山偽軍暗鬥加烈
page 5	財部派員抵韶設關對外貿易會函辦事處將成立
page 5	順德團隊抗戰梁中隊長忠勇殉職省府一次過卹一千元
page 5	日機又炸惠州沉兩電船惠城旅行特殊大疏散上午八時至下午四行人絕跡
page 5	再炸惠州焚兩電船
page 5	河源龍川警報頻仍
page 5	肇慶各界舉行鋤奸大會盛況
page 5	江會最近各線戰訊我軍推進至佛子　江門戒嚴日軍在中山擴編偽軍婆羅島偽軍暗鬥加烈
page 6	日犯大路墟遭鉅創
page 6	我兩襲河口獲戰果
page 6	欽邕路交通全告中斷那間以西之激戰平吉又呈緊張日機投彈轟炸桂南日軍仍謀再犯左右兩江
page 6	牛崗轉入混戰狀態
page 6	邕西日軍拚命亂竄
page 6	日艦砲轟防城黃竹
page 6	欖崗日軍窺擾馬房
page 6	粵充裕抗戰物資積極發展工業在安全區設小工廠設法扶助各手工業
page 6	切實封鎖西江走私路線查由沙扒港起至坪岡止
page 6	米糧運銷東江一週間廿五萬餘斤
page 6	東完米荒嚴重常平各地發生搶米潮當局召各鄉長會商調節辦法加緊封鎖日區嚴防糧米資日
page 6	羅致海外失業公務員香港已託人代辦
page 6	西江我軍兩襲河口衝入車站斃日軍幾百並將該站破壤日軍犯大路墟馬房被擊退
page 7	家庭狀況
page 7	妻妾爭鬥
page 7	學生賑濟會進行改選定十四日召開改選會議
page 7	警探捕兇
page 7	香港馬會今日繼續賽馬發售五元大搖彩票
page 7	淡水魚仍絕市昨僅到鹹水魚廿餘桶
page 7	文化協會續辦巡迴演講
page 7	節建儲運會各委員懇切挽留主委李星衢李以眾意所歸或可打銷辭意
page 7	東華醫院主席李耀祥擬請港當局增設醫院人口突增原有醫院不敷收容病人名醫數人又擬籌備組設私立醫院
page 7	漁船數艘被日擄劫男女數十人生死未卜
page 7	商會明日會議
page 7	港大定期頒獎
page 7	三區小販分會昨舉行成立禮
page 7	修理中之擺花街暫禁車輛行走
page 7	羲皇台趙宅家庭慘殺案利刃亂揮兩死兩傷妻妾爭門大婦奪刀殺妾所生子妾頭部被斬傷十餘刀腦漿流出家姑欲制止行兇亦被一刀斬斃
page 8	新例內容
page 8	限制輸入
page 8	禁入口貨
page 8	衛生當局預防時疫注意住的問題過額住客限期遷出加緊推行防疫宣傳
page 8	本港的照相業
page 8	防癆影片
page 8	防止霍亂
page 8	賑聯會防範善　作弊
page 8	中學生論文比賽參加學生二百餘人試卷今日開始評閱一個月內當可揭曉
page 8	兩文藝團體昨開音樂欣賞會紀念名音樂家黃自知音人士踴躍赴會
page 8	開會情形
page 8	黃氏生平
page 8	高淩伯昨返星
page 8	尖沙嘴浸信會禮拜堂獲准為結婚禮堂
page 8	港童軍領袖昨歡送張忠仁本港童軍總會舉辦之領袖
page 8	婦慰會募捐訊
page 8	九龍汽車全司派車走屯門線
page 8	從事著作
page 8	惠僑代表昨招待新聞界報告東江服務團事件
page 8	少婦投海獲救
page 8	港府華人職工聯愛會已立案昨開首次籌備會議
page 8	覆舟溺斃一人
page 8	一婦人路遇搶匪
page 8	偵探長陳森逝世
page 8	奮興會徵求揭曉
page 8	星洲政府修正禁限貨品入口法例又有多種貨物將完全禁止進口但得統制官許可仍得輸入推銷
page 10	昨日足球義賽東方再克海軍二比一澄滔文奎立功澳洲式足球頗有噱頭
page 10	九龍學籃決戰培正抗美爾頓
page 10	今日學排賽程
page 10	南華會新舊職員昨日舉行交代
