page 1	英國的外交
page 2	晉我攻入七寨南關
page 2	豫北我軍迭奏奇功
page 2	日軍車中途遭截擊
page 2	檳榔嶼支部電蔣致敬
page 2	行政院議決要案
page 2	徵募寒衣三項原則由財部統一經收轉由軍　部分配
page 2	渝市發出警報但始終未見日
page 2	國府明令褒揚邵虛白
page 2	贛省府編纂江西通誌
page 2	日特使小林首途赴八打威
page 2	鄱陽師範員生實行節約儲金
page 2	崛內干城將任駐滬日領
page 2	英擬在近東建通商中心區以利便貨物之流通
page 2	一台灣人劉三華被剌案係華中電影公司經理
page 2	一年來英國海軍損失
page 2	日侵越南前奏曲
page 2	希土談判
page 2	駐德大使陳介捐千元製寒衣
page 2	經濟枯謁日下年度預算緊縮除特別軍事預算外一律削減百份之六
page 2	紐約時報抨擊與日妥協
page 2	陝臨參會三次大會
page 2	英名記者論英外交
page 2	日向越南要求假道越南當局經已拒絕須磨否認向越南提哀的美頓書
page 2	粵北我軍圍攻神崗
page 2	平漢正太沿線我軍大舉進擊迭獲戰果平漢路各據點大部為我控制正太日軍被我屢攻交通中斷
page 3	美國新發明無線電真傳空軍機極利便于軍事偵察
page 3	英倫東南部展開劇烈空戰德機被擊落二十五架
page 3	埃及內閣潮經已解決各黨勢力仍無變動
page 3	英大使卡爾抵渝
page 3	駐非賓納英軍向南撤退
page 3	波蘭國會改稱民族委會該會昨在倫敦開會通過英波軍事協定
page 3	英帝國東方圓桌會議現積極籌備中定十月在新德爾希舉行由印度總督主持開會禮
page 3	美國報業大家侯活氏抵渝孔院長王外長設筵歡宴候定今日下午乘機來港
page 3	英政府將發表重要宣言
page 3	澳洲空防計劃極力擴充
page 3	英皇在空襲中賜封爵位三百名有功將士得英皇頒發勳章
page 3	英機飛過瑞境
page 3	芬蘭總理加里歐患心病不復職
page 3	新西蘭機師出發赴加拿大
page 3	英海軍部致書全體將士嘉許一年來英勇戰功
page 3	法國各屬地醞釀反叛運動脫離貝當擁護哥里
page 3	貝當電賀潘興八十壽辰
page 3	記者號機募款辦法
page 3	邱吉爾定明日出席眾院報告最近戰局
page 3	又傳英內閣局部改組
page 3	英倫東南海岸上空激戰甚烈
page 3	土希舉行談判目的抵抗意國侵略
page 3	史太陵主張售舊艦與英國倘英海軍失敗美亦受威脅售艦之舉因此更不容稍緩
page 3	租賃英屬島計劃英美商定要點尚有細節續待討論正式協定即將宣佈
page 3	羅民不甘割地反軸心運動擴大曼紐氏將赴京謁羅王實行反抗維也納裁判
page 5	日艦多艘集中北街
page 5	呂春榮圖再犯九區
page 5	岐關路再封鎖一天
page 5	花縣我軍繼續南進
page 5	粵北我軍向南挺進克兩龍平山殲日極眾連日我猛攻神岡殲日數百日增援犯中和里被我擊退
page 5	桂南連日劇戰寧明日軍圖犯隘店百包上思復江克復
page 5	桂省振會撥款救濟義民綏淥散賑隊脫險
page 5	容奇日艇觸水雷沉沒炸斃日兵兩人傷四人
page 5	粵省當局加緊禁酒在短期內舉行總登記嚴格執行禁釀運售飲
page 5	省新運會推行戒酒運動
page 5	民黨謝梅兩氏身後之卹金
page 5	已將竹林斬伐淨盡
page 5	之各村鄉分等解募
page 5	日軍繼續徵集第二批軍用青竹並通令各鄉區按額解募伕役如遇伕遇中途逃去須行補送
page 5	最近期內醞釀大戰
page 5	伕役剌殺日兵
page 5	粵府嚴防緝私人員舞弊商人可據實密告
page 5	神岡近郊戰事勝利
page 5	我大軍已開抵新開路準備重向江會採取攻勢中山日軍及艦艇多調返增援呂春榮部調岐企圖再犯九區
page 6	日艦已增五十餘艘
page 6	沿海灘到鹽田侵擾
page 6	蔣委員長關懷韶關被炸情況李主席已電覆並請示善後日機一架被我擊中墜花縣
page 6	東江護送歸僑近訊
page 6	韶海關解釋棉紗進口辦法
page 6	防禦步驟
page 6	限期復建
page 6	開平壯丁請纓
page 6	日軍回駐官窯在雲頭嶺築地窖
page 6	由泰回國僑胞多屬愛國份子政府通令保護
page 6	粵縣府組織規程從新修訂縣長為薦任職得以簡任待遇二縣政府下分設七科掌理各事
page 6	財政處理
page 6	警務人員
page 6	深圳增到日軍之動態大亞灣海面日艦增加我軍民合作加強防衛力量日馬隊昨擾鹽田旋即退去
page 7	港越商船停船原因
page 7	傳日海軍封鎖海防
page 7	防空探射燈站昨晚又演習
page 7	港府招商修建大欖涌橋
page 7	防空救傷班及格之女學員
page 7	又一騙匪入獄
page 7	喇沙集中營俘虜遷移港外
page 7	我政府招致失業青年返國
page 7	佛山輪船忽停止上省何時始開行尚未悉
page 7	美政府贊助我國工合運動我經濟地位若能穩固美對東亞可減少顧慮
page 7	一批僑胞將首途赴韶由農村福利會負責指導
page 7	某輪船員談越南局勢極為緊張盛傳日海軍已封鎖海防
page 8	兩躉船觸水雷沉沒案僱主被控疏忽未到庭答辯官判須賠償損失費十萬元
page 8	英籍婦孺疏散後四英童書院暫難復課其餘英文學校照常開課離港之教員已另聘補充
page 8	衛生局取締街邊食物小販嚴防霍亂疫症蔓延
page 8	商人租舖被騙騙匪一名入獄
page 8	賑聯會昨會議決助公益會白米五十包
page 8	取締街邊食物小販
page 8	住客聯會會議
page 8	美記者視察力今到港團長賀會德昨晨飛重慶
page 8	僑胞渴望政府從速指示回同會辦法百餘僑胞登記已久仍未能成行坐視民眾流入淪陷區實至可惜
page 10	夏令籃球戰訊
page 10	星島歸鴻十二
page 10	光華陣容動態
page 10	南華十五週年水運競賽項目修改後公佈
page 10	足球大戰前奏中西義演不成因軍聯已函覆推辭
