page 1	英日合作問題與中國
page 2	綏垣空氣日益緊張匪部積極向西開動王英部被解決後現復蠢動赴綏活動之日人日見增加
page 2	于學忠何柱國晉京謁何請示方略五一軍全部現已悉數開駐蚌埠至江蘇綏靖公署則決設清江浦
page 2	行政院議決甘省府局部改組上官雲相任豫鄂陝邊區主任楊虎城辭職呈國府明令發表
page 2	報告事項
page 2	討論事項
page 2	任免事項
page 2	龍雲派員拘留週覽團在滇多留二日褚民誼在滇出席擴大紀念週報告述到滇後感想及半年來幾件大事
page 2	在擴大紀念週報告
page 2	參觀滇省鐵路工程
page 2	廣州今日舉行三項盛典緊張空氣彌漫全市
page 2	國糖產銷協會建議加入食糖委會
page 2	孔特使抵倫敦重要談話極注意英旦兩國談判想念英日談判必先顧及中國權利擬向他國借資完成中國經濟建設參加加冕禮後將乘機在歐召開中國使命節會議
page 3	舊東北軍各師長聯合發表談話願在蔣委長領導下擔負禦侮救亡重任
page 3	賀耀組週內飛蘭履新中央撥甘補助費將交賀主席帶去
page 3	族京黔同鄉通電全國籲賑倉儲已空春耕無望來日大難不堪設想
page 3	匯豐行活期存款改訂週息一厘華商銀行將受壓迫
page 3	馬麟　陝飛蘭
page 3	安川雄之助抵津明日赴平考察
page 3	日阿部大將將來華南考察
page 3	日偽兵一隊入蘇境探測形勢為蘇哨兵發覺發生衝突日偽兵不敵率被迫退回
page 3	牛墨兩氏進行談話
page 3	比爾波港附近戰況
page 3	意德兩國對西局勢準備必要時措置柏林各報猛烈攻擊英國謂英不應　變對西態度
page 3	英報評論日內閣欲維持其命運須改變現行政策日人已覺龐大軍備案實非必要日英調協成功則日可稍息野心
page 3	朱慶瀾赴河西勘災川災振款分配已妥
page 3	正太車中檢獲大批毒品計重七十五公斤
page 3	閩省府取締機鬥惡習殺人者抵依法論罪
page 3	沙王赴滬轉杭
page 3	秦德純等抵津係為宋舟祝壽
page 3	財部重視災荒調查各省災況俾作分配振款標準
page 3	西艦沉沒　觸水雷
page 3	西國叛軍遭遇困難
page 3	骨科聖手牛惠生昨逝世遺囑喪葬悉從簡單賻儀捐助廣濟醫院
page 3	國民政府昨發表受勳令
page 3	西安破獲製毒販毒場所
page 3	德宣傳部職員分批入廠工作藉以俯察民隱
page 3	英遜王秘密離奧赴法將在法國舉行婚禮
page 3	航空一大進步英發明直昇飛機該機自上而下裝有三翼每分鐘可昇高二百公尺
page 3	哈埠商店被限僱用日籍司賬如有拒絕即被封閉
page 3	英日在數月以來已有互相接近跡象惟日謂關於中國問題無向英建議必要當僅由中日間直接舉行談判以解決之
page 4	十比八
page 4	演妙技
page 4	學界排球賽今日開幕高初小各有一場
page 4	華人體協會舉行游泳預選賽參加域多利遊藝會七時在華人游泳場
page 4	老芬渣
page 4	三比一
page 4	　四軍託陳鐵一在港聘體育教官本港體育界一條出路　聘者可向　君按洽
page 4	傑志　僑不成有分對無分練習四對三有分隊勝利
page 4	港外匯市情呆滯
page 4	舊中紙桂幣趨降
page 4	公開雙打網球賽林珍兄弟得冠軍洪渭釗表演絕佳合作非人失去可勝之機兩林珍　拍非常愈戰愈勇以三比一獲勝
page 5	赴瓊經過
page 5	生產討論
page 5	開發瓊崖
page 5	民教兩廳會同審查整理沙田方案沙田整理處未定期成立中山業佃請求免費補升
page 5	華南米業公司籌備員鄭某抵粵在市內設發行分處六月底開始營業訊
page 5	覃振巡司法關機在法院之訓話
page 5	孫宋中止來粵訊
page 5	財廳否認設立營稅整理處某秘書對記者談
page 5	四路總部各職員重施軍訓委楊幼敏為訓練總教官
page 5	借三千萬辦工業俟行政院決定
page 5	僑務委員會改進華僑事業大綱
page 5	河南各鄉聯請複評田畝之規劃
page 5	調節民食會議決之要案限制抬高洋米價嚴厲執行米商對限價請改善之理由五月份洋米穀登記之期限
page 5	程天固昨午乘機返省根本解決粵糧食及開發瓊各計劃日　冉召集各方會議宋子文派鄭孝調抵粵與程商瓊崖開發辦法
page 6	輪渡部兩幹事在江門失蹤案續訊三幹事同赴江門工作兩人因糾纏赴分局疑為失蹤江門民船工會與輪渡部糾紛未息
page 6	建廳與行營派員視各縣公路
page 6	粵蠶絲區研究曬莨防腐新法
