page 1	意大利之歧途
page 2	良口附近我軍連克據點百島湖一帶已無日蹤百鳥湖一帶已無日蹤五指山日軍被我包圍
page 2	察主席石友三通電討汪　國難未已　豈能安邦
page 2	晉南我軍佔優勢迫近晉城近郊克陽城以北仙翁鎮高平日軍大感威脅
page 2	六三禁煙紀念蔣委員長訓詞全文一　　與鴉片均為我民族大敵一面奮鬥抗戰一面禁絕煙毒
page 2	渝各界紀念六三
page 2	滬兩租界當局表示嚴守中立維持治安法租界治安問題決可無虞駐滬法軍警力量足以應付
page 2	駐滬英兵捕獲武裝華人二名搜出文件一束內容頗堪注意
page 2	羅馬教皇作左右袒既愛護　國子女亦愛聯合國子女
page 2	雷諾與貝當親赴前線勞軍
page 2	那森畢蘭公爵已在前線陣亡
page 2	熱那亞美僑奉勸返國
page 2	德機轟炸法工業中心區被炸斃四十六名被炸傷者百餘名
page 2	美許多名人公開主張盡力援助聯軍甚之有等主張美參戰美大批飛機運往歐洲
page 2	巴拿馬舉行總統選舉運動亞里斯博士獲得選票九萬
page 2	留倫敦意記者今仍照常執業
page 2	鄂北我軍再克址棗陽城內日軍全數殲滅我神勇機隊飛宜城以北炸日軍
page 3	比王之子尚在法國不知其父已降敵
page 3	吉利浦斯使蘇獲蘇政府同意
page 3	葡政府定月底舉行獨立紀念英將派大員慶賀
page 3	興西實業公司開發西康實業將以開發金礦第一步森林酒店醫院以次興辦三
page 3	美艦隊將繼續停留於夏威夷
page 3	英法聯軍撤退過半德軍攻丹刻克愈緊德空軍在海峽放水雷圖阻聯軍歸路
page 3	德機數架飛經瑞典北部被瑞典擊落兩架
page 3	法總理演說感謝友邦之正義援助站在最前線者係美紅十字會法人得紅十字會援助者極多
page 3	德機兩隊襲擊巴黎近郊引起火頭四個
page 3	英德空軍劇戰擊落德機多架英　協助北翼聯軍抵抗敵軍掩護退卻
page 3	國際風雲緊急土或被迫參戰土總理演說警告國人應隨時準備執起武器
page 3	法西斯黨最高會議今日將有重要決定料意國不免在此數日間參戰地中海東部聯軍艦隊再增加
page 5	江會戰況仍寂
page 5	我機飛到江會
page 5	禪炭線情勢漸緊炭步以南發現日騎兵竄進我軍事長官連日巡視西線
page 5	西線戰事劍拔弩張
page 5	日軍進駐金溪和順
page 5	炭步以南發現日蹤
page 5	四戰區長官令獎勵翻譯軍用圖書
page 5	北犯日軍敗後易將日北面掃蕩總隊長宮島作戰不力撤職我軍反掃蕩之戰績
page 5	西樵米荒慘狀搶米搶飯隨處可見
page 5	中振會撥百萬元救濟粵省災民
page 5	第四戰區設經濟建設會顧翊群兼主委
page 5	粵軍事當局設游擊訓練處
page 5	榮譽軍人管理處改善傷兵生活
page 5	粵去年出超千餘萬破歷年入超紀錄
page 5	日軍盲目亂竄不逞我軍襲擊欽邕路各地之激戰運用巧妙戰術殲日軍數百人日在沿線趕築堡壘防我襲擊
page 5	夜襲小董我軍奏捷
page 5	游擊隊在唐報血戰
page 5	日軍盲竄均被擊退
page 5	各方繼續挽留張炎
page 5	北路日軍潰敗乒屍源源運廣州市火花廣州日軍播音仍然諱敗為勝軍票暴跌市民已知日軍慘敗
page 5	日軍所謂開放中山僅造成偽軍之壟斷漁利機會運入糧食限額僅兩日即全數湧進真正商人無法染指刻已再行封鎖江會戰況仍沉寂我機飛到偵察
page 6	佛岡東南日軍慘敗
page 6	竄大水　日勢已挫
