page 2	兵禍歟錢禍歟
page 3	京政府宣傳金佛郎案經閣議駁覆不日照會法使
page 3	豫省長署決移洛陽
page 3	法使對交還廣州灣有先向粵省接洽說
page 3	英代京政府咨德國勸勿違約售飛機於張作霖德外部答稱德國不欲助長中國內亂與英國同但中國不自出頭轉請英干涉於主權究有礙
page 3	陳籙電稱越南關稅新章瓷　茶較優對各國皆一律非單獨對華商恐難修改
page 3	王克敏預提本月鹽餘未成決不再提留為舊歷年關用
page 3	風傳吳毓麟銜曹錕命邀王承斌邊守靖慰問吳景濂並勸吳回京
page 3	外訊法政府聲明廣州灣隸粵政府範圍交回該灣須先與粵政府接洽
page 3	吳景濂派與甘石派協商吳派主先恢復眾院警衛權甘石派主組行政委員會意見相距尚遠
page 3	使團電滬領事團密查江浙備戰實情並力籌護僑
page 3	廿六日憲政黨參議員對眾議院警衛問題決守中立
page 3	京外部駁金佛郎照會廿七晚送八國使署
page 3	廿七日孫傳芳代表見曹錕孫主先解決粵局次收廈門
page 3	王承斌託人向曹錕言對吳景濂絕不與關於政治上之援助且暫不來京
page 3	陸洪濤請編甘軍為國軍兩師
page 3	鄧錫侯已克復壁山永川
page 3	熊克武但懋辛向大足銅梁退
page 3	老洋人廿五日復犯浙川老河口吃緊
page 3	趙恒惕電吳佩孚稱湖南督理及兩湖副巡閱使請俟湘省善後就緒再發不遲
page 3	葉恭綽抵滬謂張作霖對孫中山主張一致
page 3	王正廷廿六日自馬關歸國
page 3	江浙備戰說雖經當局聲明不確但人心仍恐慌蘇人已紛逃滬租界
page 3	東北兩江最近戰事情形
page 3	如是我聞的孫陳調和說推李福林為代表與政系圖粵有關劃石龍為中立地
page 3	潮州輪船又被劫
page 3	李濟源逃回省城沈軍攻入連州廣寧
page 3	北江方面軍事之緊張
page 3	右翼聯軍戰情
page 3	江門西訊
page 3	新船試水
