page 1	武裝與和平
page 2	粵北日軍又復開始蠢動從化街口墟為我克復新會日軍圖偷渡茶坑
page 2	推進地方自治之基本義務總裁對川省地方行政幹訓班訓詞
page 2	陽城西南傷斃日軍二千翼沁路東側我軍活躍
page 2	紅軍師團長史泰恩來遠東
page 2	日機兩隊轟炸昆明貴陽
page 2	洛陽驟降冰雹
page 2	陳嘉庚拜會朱紹良
page 2	意國極力統制輿論羅馬觀察報被限制銷流
page 2	比國儲君現在倫敦在意之說不確
page 2	聯軍準備會戰源源開入荷比德軍前衛掩護主力集合荷蘭西部主力戰未開始
page 2	邱吉爾致書海軍將士
page 2	捷報頻傳滬市金融穩定
page 2	美水兵與俄人爭風慘案美兵舞女同被刺斃俄人旋亦開槍自殺
page 2	紐約前驅論壇報主張美國參戰因德軍事機構強大所作所為令人可畏
page 2	德軍閃電戰係舒利芬制定其主要原則在加強右翼
page 2	荷被侵略前不與聯軍聯絡以致處不利地位
page 2	鄂北戰線越過鍾祥棗陽殘日四面楚歌我克長台關後續向信陽挺進
page 3	那慕爾至色當展開肉搏劇戰德軍傾全力向全線進攻法軍改變陣容以為應付
page 3	一週戰況五月五日至十一日軍事委員會發表
page 3	瑞士受德威脅國聯會現正準備結束
page 3	英德空軍劇惡烈戰德機被擊落十七架
page 3	荷蘭外相宣稱繼續與德戰爭德機械化部隊開入海牙荷蘭女皇勗勉國人抗戰
page 3	比國南部聯軍竭力保護比京德空軍大舉轟炸盧宛鎮比政府宣言　抵抗到底
page 3	印馬塞特省土酋願率大軍防蘇
page 3	美向意要求置身歐戰事外羅斯福致電墨索里尼法意火車已暫停交通
page 3	日對荷　仍思染指對英法美態度極注意
page 3	日向秘魯抗議謂秘魯有反日暴動
page 3	希特勒通告德國軍人
page 3	挪威英援軍進攻德軍後路
page 3	西印度暫時解除防空戒備
page 3	那慕爾一帶有劇戰德軍以比京為目的聯軍多師與德軍在色當在會戰
page 5	日軍出擾又不獲逞
page 5	高欽海面日艦大增
page 5	日軍在廣州市東增建工事以圖固守拘捕民眾押往工作
page 5	加強全粵婦運限各地組婦女團體吸收婦女入黨入團
page 5	再接再厲襲擊日營
page 5	省府指導會解決新縣制難題
page 5	粵審計處派員抽查各縣財務
page 5	三灶睦洲日偽截劫船艇
page 5	米糧續運東江梅縣米價仍未回跌
page 5	粵北日軍又圖進猛犯青龍頭展開劇戰一股圖趨增北派潭遭痛擊佛子　門樓關日傷亡數百粵路日圖蠢動我突擊神岡
page 5	街口日軍犯青龍頭
page 5	我軍突擊神崗外圍
page 5	粵路日軍又圖蠢動
page 5	日擾官山民樂遭我痛擊
page 5	縣長兼書記長南路各縣黨部先行試辦
page 5	中新兩地戰事短簡
page 5	日機四次襲惠州城
page 5	粵建廳加緊維持後方軍運商車遇征不得藉故規避
page 5	廣州米荒達嚴重階段市內搶米案層出不窮日軍分赴各淪陷區搜米運市
page 5	省行派員辦理寶安農貸
page 5	欽東我軍節節反攻各重要地點俱無日蹤前線大搜漢奸嚴密檢查戶口
page 6	官民墾耕
page 6	桂省民眾從軍勞軍熱獄囚請准服兵役壯丁爭先入伍籌募傷兵蚊帳並普遍獻金勞軍
page 6	粵教廳再救濟失業教員內地失業教員對此事之談話
page 6	隨時隨地盡量救濟
page 6	戰時之鐵路員工獎懲辦法被迫從日悔　者得復職
page 6	切實督導
page 6	墾耕學識
page 6	內地登記未聞提及
page 6	禺北游擊隊襲龍歸市痛殲日偽
page 6	廣西省府懲獎各縣縣長
page 6	養自己一人且不足
page 6	石龍日軍強征民船
page 6	第四戰區長官通令官兵須協助民眾墾耕駐軍應視墾耕為戰時切要工作
page 7	廣東救濟委員會駐港辦事處昨開大會選出常委司庫總幹事
page 7	賈乃錫夫人乘帝航機返英
page 7	九龍塘會所開跳舞會籌賑
page 7	傷兵之友運動定本月底結束各團體將款匯總會數目登報以昭大信
page 7	港督將赴錫蘭離港時不採官式酬酢
page 7	澳門來貨仍少僅鹹水魚卅餘桶
page 7	荷蘭銀行實施應變步驟阿姆士達丹總行遷巴達維亞港荷貨運停頓荷煤價格暴漲
page 7	防癆會免費檢驗肺癆地點在九龍美國嬰堂亟盼慈善家捐贈藥品
page 7	六婦女團體開憲政座談會
page 7	留營難民將增至一萬名去週增加二百餘人
page 7	徐繼莊兼任農行協理
page 7	粵教廳重令僑校遵行導師制度學生畢業時須組與訓導證書困環境關係教育界認難遵辦
page 8	賑委王曉籟昨飛渝將轉黔滇視察救傷工作
page 8	淡水平糶會財務委員選出
page 8	各國工業節省銅鐵原料罐頭食品改用紙盒
page 8	日人高田忠誠假冒華僑投寓旅店罰款一千元或入獄五月
page 8	銅鐵價漲匪徒作怪
page 8	罐頭糧食改用紙裝
page 8	痢症仍未減少去星期又死十人
page 8	利威行劫案疑犯四人在士丹利街被捕
page 8	大坑將設義學紅　字會捐贈開辦費
page 8	難民自助社將舉行展賣會籌建社址以謀發展王立明女士之談話
page 8	力求改進
page 8	創辦經過
page 8	社員生活
page 8	中央電影場新片長空萬里在趕製中女明星白楊在昆明工作傳赴上海拍戲絕非事實
page 8	住客聯會會議
page 8	西婦路遇搶匪
page 8	大風週刊改由文協出版
page 8	車輛失事統計去週死三人傷三十人
page 8	誤殺疑匪案昨日續審兩被告證據不足獲釋首被告下星期一再審
page 8	破獲紅丸機關兩疑犯昨提堂
page 8	防空監理處最近一週工作
page 8	歐洲至港星各國商船保險費激增聯軍國較中立國輪約高百份廿五新訂價目表昨公布現已開始實行
page 10	昨日學排戰績
page 10	征越大軍歸期
page 10	南華會倡辦體育界工作團昨召開理事會議撥款捐助各社團
page 10	九龍學籃戰訊
page 10	東方征澳日期尚須待決
page 10	籃球隊征澳捷報
page 10	賽跑術已出版
page 10	公開棒球賽全部秩序排定開鑼戲明日上演港啤出戰岷甸奴
