page 1	美國表示援助希臘
page 2	美積極政策再進一步
page 2	羅斯福致電希王美決盡力援助希臘德托土誘和已被希相拒絕美考慮貸款助西將有成議
page 2	德聳土出任調停希首相無意接納
page 2	南線意軍再崩潰希軍達阿列特湖
page 2	英空軍轟炸機隊炸德法各機場德施行轟炸英倫計劃定每夜炸擊一個城鎮
page 2	紅軍增加作戰力量改革政治組織取銷紅軍中政治委員準備擊破任何一敵人
page 2	意軍易帥事件顯示法西斯政權動搖意局不久將起巨變英軍評家主張乘時予意以打擊意局改變影響德日及世界政局
page 2	余之觀察
page 2	今日意國
page 2	時機已到
page 2	我當局下令封鎖中越邊界越星海底電線被截斷泰勸在越境泰僑撤退
page 2	德伊簽訂商約
page 2	傳法政府即將改組
page 2	痛駁日汪私約
page 2	蘇與斯洛伐克訂約通商通航
page 2	英艦加納溫堡號作戰經過雙方交戰九十分鐘敵艦開足馬力逃脫
page 3	紅軍冬操開赴蒙邊日本陰謀被蘇粉碎
page 3	哈佛教授提出主張美艦巡航有三目的
page 3	野村赴美遲遲其行前發談話引起痛駁
page 3	軍委會發表一週戰況十二月一日至七日
page 3	破壞軍紀不聽調遣石友三兄弟被槍決中央令衛官長先後執行
page 3	緬民族節廣播預祝我國勝利
page 3	滬西區仍被封鎖局面沉悶　回日得解除區未知
page 3	鄂中捷報頻傳荊當間我克九花寨贛東鳳凰花一帶日軍崩潰杭嘉湖各地我軍極為活躍
page 3	加總理否認運鎳資日麥克樂爾所說全與事實不符
page 3	新任甘主席谷正倫視事
page 3	意潛艇一隊在大西洋活動擊　　商船多艘
page 3	羅政府將接收外國煤油產業以　款補償　主
page 3	朝鮮革命軍在渝設司令部在　線參戰者三萬人係受李宗仁將軍指揮
page 3	太古輪由津抵滬搜獲大批黃金計值三十二萬元
page 3	對英外交活躍郭大使連日訪英當局信貸談判有結果日報傳我與英商訂軍事協定蘇對日示威紅軍赴蒙邊演習
page 5	鶴山情勢現已鬆弛
page 5	中山綠林擊沉日艇
page 5	廣三路日車又被炸
page 5	鶴山砲兵擊毀日艦
page 5	中山日軍又有調動
page 5	省府檢查冬耕
page 5	粵三十年度施政計劃釐定分縣局部份及省府部份俟提省務會議通過實施
page 5	南路籌設糧食調節站每鄉鎮設立一個限年底成立出售糧食價格不得超過成本
page 5	曲江節省警費裁減警察局派出所
page 5	公路處訂定徵用商車辦法
page 5	軍區政治部舉辦巡迴畫展
page 5	自治戶捐征收辦法每月每戶一角起至一元止現任鄉鎮保長及赤貧免征
page 5	中央派員檢閱國民兵團粵省府飭令各縣準備
page 5	高欽師管區組在鄉軍官會
page 5	省府所屬機關設公耕農業示範區農林局區已成立成績優良
page 5	增城日軍　買鄉民穀石
page 5	我軍分路進迫石龍廣州日軍千餘增援東增後宮在石牌開軍事會議
page 5	粵省府發動民力推行公共造產鄉鎮保為單位准人民投資造產收益撥充地方自治費
page 5	我大軍開抵鶴山後江佛路日軍一部昨忽撤退九江河清日軍亦減少惟日艇時來騷擾周郡我軍向潮蓮推進附日份子已肅清
page 6	汕頭日軍開始反美日商繼續自動收盆百餘日兵乘艦離汕
page 6	惠陽各界籌備歡迎歸僑馬來亞僑胞千餘歸國
page 6	毫券兌現辦法即實施省際匯兌通行無阻收支存款折合收受
page 6	中山大學研究院之近況招考新生決嚴格取錄
page 6	日機犯陸海豐
page 6	南區公路專員奉省府令裁撤
page 6	三水舉行祝捷慰勞大會縣府救濟災民
page 6	中央撥款發展粵省航運
page 6	粵省政府公佈征收縣稅捐通則以經財廳核定者為限滯納處分照規定辦法
page 6	統一辦理
page 6	滯納處分
page 6	投變充獎
page 6	瓊崖我軍圍攻嘉積戰事激烈日軍開始向瓊東縣城退劫我正追擊中克復邁號斷絕文呂城馬加港日軍聯絡
page 7	存米尚多
page 7	將貨就價
page 7	統制專員嚴禁操縱柴價連日已派員分途密查現每元僅得柴卅餘斤
page 7	米商倔強
page 7	索回米單
page 7	獎勵港僑運米回粵省府李主席已訂定辦法並請港僑組購糧委員會
page 7	我教部獎勵長期服務教員令各僑校填報候獎
