page 1	遠東局勢之現在與將來
page 2	蔣議長開幕詞
page 2	先說軍事
page 2	講到外交
page 2	政治設施
page 2	經濟方面
page 2	財政金融
page 2	敵人情形
page 2	敵國外交
page 2	自取滅亡
page 2	傀儡政府
page 2	晉南日軍調動頻繁又將展開大戰我先發制人已分頭出擊晉西日軍又作渡河企圖
page 2	邕欽路兩側已展開山地戰扶南東北龍頭墟已無日蹤
page 2	綏西我軍繼續掃蕩殘日斃日五原特務機關長
page 2	滬米商宋士鍾被剌斃命
page 2	北歐四國會議討論經濟合作並曾討論一般政局問題
page 2	國參會五次大會開幕全場情緒極熱烈緊張蔣議長報告半年來軍事外交政治
page 3	奎松有意再檢討菲島獨立問題奎松已知民族自由其實質重於其形式
page 3	英上下兩院今日將再開會張伯倫定今日出席國會報告聯軍委會會議結果
page 3	財部組織法修正公佈
page 3	米內內閣前途阻力仍多下年度預算案必使內閣困難
page 3	捷克一學生斃德政治密探
page 3	美民主共和兩黨領袖讚美赫爾聲明同情否認汪精衛偽政權但對日禁案仍主張審慎
page 3	日政府努力企圖緩和日美關係須磨謂南京偽新政府與滿洲國完全分立
page 3	英將仍承認重慶國民政府而不承認汪精衛政府
page 3	美大使詹森捐款建防空洞
page 3	芬蘭加里利亞地區今成蘇聯共和國之一此新共和國有自治之權但經濟國防仍歸蘇負責
page 3	日在滬工部局要求佔五董事日居留　選舉委會選舉出五個候補人
page 3	馬來聯邦立法院討論一特稅案預料可年籌百萬金協助英帝國之戰費
page 3	蔣經國在紐約參加反汪大會到會華僑三千餘人
page 3	天津發現傳單對汪極力攻擊
page 3	宋氏三姊妹同機飛抵重慶宋三姊妹一同旅行實係多年來所僅見
page 3	蘇北我軍攻克耿墟
page 3	林主席對汪憤慨痛斥還都謬說在日軍佔領區豈能行使治權勝利凱旋之日始乃還都之時
page 3	各方通電討汪
page 3	主力戰前奏西線戰事漸烈德軍向窩士者士區發砲猛攻法德雙方空軍作劇烈之空戰
page 5	游擊隊又再呈活躍
page 5	袁帶部隊轉抵新會
page 5	中山日兵退而復來
page 5	中山陷後各地交通
page 5	犯南頭被擊潰之偽軍匿馬鞍山等地寶安團隊進行圍剿私梟被偵緝隊拿獲南頭赤灣日艦來去
page 5	三埠澳門交通情形續誌航商請當局保護
page 5	粵路樂同三華戰事激烈神岡日軍擾龜嘴
page 5	瓊崖守備司令電告戰情克復富文反攻定安
page 5	克復富文
page 5	迫攻定安
page 5	統一管理車船建廳訂定　法
page 5	桂戰區各縣設縣府辦事處省府制定組織規程
page 5	欽邕公路兩側鏖戰欽東欽西我軍奮力向沿線推進日增援部隊現分佈於小董等地犯扶南日軍已為我分段包圍殲擊
page 5	再克大寺迫攻大峒
page 5	欽邕線北段之激戰
page 5	南路最近肅奸運動
page 5	廣州日軍將開赴外圍線江門中山又增到日軍袁帶部近已轉抵新會向江門挺進中山陷後澳門與內地交通之調查
page 6	慘痛的回憶
page 6	當前的問題
page 6	粵廿八年冬耕成績優良給獎辦法評定時期本年四月底止促進會已擬定給獎辦法
page 6	給獎種類
page 6	抗戰人員之家屬保障法之規定其不能生活者政府予以救濟
page 6	學校軍事教官教廳規定職權
page 6	前山賭館林立
page 6	教廳長黃麟書報告粵省教育設施方針
page 6	實施方針
page 6	初等教育
page 6	中等教育
page 6	社會教育
page 6	教育行政
page 6	粵北會戰後北江船業漸凋零船員們爭待組訓和領導一頁興衰史
page 7	殘舊毫券可向省行況換新幣連日轉換者頗見擁擠傳向美印新幣未證實
page 7	劉慶萱等賑濟深圳難民
page 7	王正廷昨返港
page 7	被日拘留之澳洲牧師獲釋前日抵港轉輪返澳
page 7	市民希望不致增加電費
page 7	學界戶內贈旗昨日已開始
page 7	英戰時慰勞會又募得數千元
page 7	粵省府調查粵僑團體學校華商總會代發調查表
page 7	魚菜源源到港澳輪昨又運來甚多
page 7	派員赴海外從事救國工作須緊密聯絡統一行動海外部昨通告各機關
page 7	射擊比賽結束港督頒發獎品
page 7	鄭和帆船火警損失雖重幸無傷人
page 7	僑胞南渡難若登天赴星船票價格暴漲現每票竟售至三百二十五元新客更須帶有舊客始能購票
page 8	開會理由
page 8	組織大綱
page 8	徵求標準
page 8	徵求競賽
page 8	大會職員
page 8	僑團響應
page 8	非法墮胎案詳臬定讞被告繳保金四千元出外候審
page 8	騙徒入獄六月
page 8	導娘仰藥自　
page 8	女郎投海獲救
page 8	紅磡謀殺疑案押候下月複審因證供涉及被告積案與陪審員以不良印象
page 8	永祥金舖劫案兇犯曾生請減刑不准維持原則終身監禁
page 8	佐頓道大打架兩人受傷入院
page 8	九龍關新稅費
page 8	去月本港氣候忽晴忽雨一度降雹共得雨水十二寸餘
page 8	旅客服毒自殺
page 8	竊匪三人入獄接贓犯亦受徒刑
page 8	本港各婦女團體昨成立傷兵之友會決函請各女校校長為徵求隊長華商籌振會明日討論推動辦法
page 10	乘勝南南之餘威東方大破九龍五比零渡江客全軍盡墨亞輝寶刀未老獨進三球
page 10	一比零
page 10	二比零
page 10	三比零
page 10	五比零
page 10	前日東南大戰收入竟逾四千總會重訂本週賽程
page 10	運動消息彙誌
page 10	南華體育會主辦全港學校運動籌賑會下四月一日開始報名十五日止截希望各學校踴躍參加共襄善舉
