page 1	泰國對越提領土要求說
page 2	美國加緊禁油日本極感徬徨
page 2	晉南繼續傳報捷音我軍奮勇殺入晉城
page 2	蘇皖邊境激戰
page 2	我軍襲擊大塘
page 2	日機屢次擾渝市民仍甚奮發若干機關法團在警報中仍在防空洞內照常工作
page 2	滬槍殺案連續發生
page 2	閩教廳發表各項考試成績
page 2	委座特許組設韓光復軍定本月底成立
page 2	古桂勳在韶病逝
page 2	六學術團體聯合在昆舉行年會到會員二百餘人
page 2	青省舉行祭海大典
page 2	法西斯黨人評論德國攻英準備春李發動
page 2	法租界我孤軍要求恢復自由與看守法軍發生衝突法軍開槍傷孤軍數人
page 2	西中政委會主席宣拿爾抵柏林倫敦當局對此表示甚為鎮定
page 2	滬特一法院官員決不受惡勢力威脅對恐嚇信完全置諸不理只有秉持忠信繼續工作
page 2	韓組設光復軍
page 2	不演而戰的演進
page 2	談天說地
page 2	羅委史多特薩氏為外交部大臣
page 2	桂境日軍撤離越邊泰國要求越南割地
page 3	倫敦之大空戰入於第二星期德機損耗太大改變戰略
page 3	各地熱烈舉行秋節勞軍甘後援會表示熱忱獻月餅代金二萬元
page 3	英以閃電戰術炸擊安特惠普打破德軍準備渡海計劃
page 3	意軍進攻埃及分兩路向沿海岸推進以蘇彝士運河為目的
page 3	羅斯福或將批准徵兵法案美和平時期軍事準備行將行於劃時代階級
page 3	馬爾他島遭受空襲
page 3	羅馬尼亞政治改觀羅王已成傀儡鐵衛團得政權
page 3	蘇聯統帥部召後備兵入伍準備隨時應付事變
page 3	昔尼開始募捐救濟英倫難民
page 3	孟克特逝世後美朝野均哀悼下議院定期追悼羅斯福總統參加
page 3	英美郵運機逾期未抵紐約幸未發生意外
page 3	法前總理勃魯姆亦被捕
page 3	倫敦擊落德機一百八十五架打破從前最高紀錄
page 5	我方派機一隊
page 5	邊界人均見之
page 5	余漢謀指示防空方針飭令曲江防空會注意四點韶市劃定救護區組挖掘隊
page 5	韶勸儲分會籌備成立鄒琳鄭彥棻等任委員國民每月最小儲一元九一八起擴大宣傳
page 5	粵省劃分五稅務督導區派員嚴密監督稅務
page 5	台開兩縣增強防空建設
page 5	粵技工養成所招收少年義民
page 5	監視哨之報告
page 5	三埠設歸僑招待站
page 5	日在東江兵力之支配我大軍開各地日大起恐慌
page 5	日艇觸雷炸沉
page 5	桂教研所首屆會議經過
page 5	禪炭線日軍增援反撲炭步遭我痛擊三水日竄擾橫岡電線岡不得逞我空軍昨又出動偵察西江日艦
page 5	炭步劇戰日軍敗績
page 5	再襲官窯殲日百餘
page 5	韶關空襲中之救傷談救傷兼用跌打國醫
page 5	中央振濟委員會貸款處將普及全桂蒼梧分處繼桂林成立再在賓陽全縣設會處
page 5	日擾橫崗被我擊退
page 5	我飛機昨偵察寶安日陣墮落粉嶺日機骸運返台灣日艇犯陸豐東湖被擊沉一艘
page 6	襲太和市車站
page 6	台山調整全縣區署縮為八　　人事亦加調整
page 6	中央社會部培養文藝作家撥　萬元作獎金
page 6	粵徵募寒衣分頭進行定舉行游藝大會籌款公務員捐薪一天製寒衣
page 6	惠鹽場評定東江各地鹽價鹽價在　准由自　銷
page 6	花縣南激戰中
page 6	我襲獅嶺得手
page 6	我軍連日進襲廣州市郊攻入西村破壞日軍械局倉庫襲太和市車站我軍亦獲戰果
page 7	港越航運已復常態廣州灣貨物亦源源運港
page 7	越南現狀
page 7	招投修葺廟宇
page 7	海盜劫兩貨艇財物被掠一空人幸無恙
page 7	航運如常
page 7	警察當局大捕無業遊民一部送入難民營一部將遣回原籍
page 7	港學生獻劍團已由重慶返港
page 7	港府遞解出境之林中原在澳門被殺路遇害剌客身中兩彈當場斃命林曾請求赴上海但未獲准
page 7	急性霍亂症之可怖行路人可隨時染得連日港九又死多人
page 7	富人建避難室室中享用無異平時
page 7	鶴山僑匯暢通
page 7	黃謝聯婚紀盛
page 7	貧苦階級何以為活本港物價飛漲不已較去年同季竟增百份之四一較上季亦增加百份之九六
page 8	希特勒與成吉思汗一蘇芹孫撰英遠東情報局播
page 8	我國公立各院校統一招生昨已揭曉香港區共錄取四百九十七人各生可靜候各該校通告上課
page 10	全緬足球隊擬犯港港總會未接納因歲杪球事特忙改　其明年成行
page 10	足球友誼賽傑志今戰海軍
page 10	高級乒乓賽今夕亞季決戰孔聖與華聲爭雄
page 10	夏令籃球賽兩組最近形勢今有兩場戰事
page 10	劉顯漢返娘家尚未決定
page 10	體協會小組委會定期召開會議
page 10	中青會友水運訊
