page 1	論國聯約章第十九條
page 2	晉南我軍迭獲勝利中條山我軍繼續掃蕩
page 2	粵北日軍攻勢已疲我再襲江門戰況劇烈
page 2	芬蘭軍承認放棄畢加蘭達蘇軍屢攻多爾華扎維被芬軍擊退損失重大
page 2	連縣鄉民請纓作戰粵省府　令嘉獎
page 2	日加籐赴平晤美大使會商日美問題格魯將與日外相作第三次之會議
page 2	荷商輪不泊星洲
page 2	我鐵道破壞隊成績優異工作達二百次燬日機車近日
page 2	日蘇賡續劃界會議
page 2	吳佩孚將軍死係由日方威迫發表宣言不遂臨危囑其左右至死勿為日用
page 2	日本商品分配不平日總商會請政府採取急速之措施
page 2	日與聯軍商議山陽丸事要求獲准通過運載德貨回日
page 2	孫科返抵昆明不久可到重慶
page 2	北平各界定期追悼吳氏
page 2	緬甸訪問團乘中航機抵渝歡迎者三千餘人
page 2	馬奇諾防線積極改進
page 2	行政院會議
page 2	犯閩日偽軍傷亡慘重我連日襲擊欽縣日軍南路我軍集中力量斷日出海路線
page 3	我國代表拒絕參加投票中國當然不同情于侵略者各方均謂我國態度適當
page 3	芬蘭政府發表一白皮書聚述戰前蘇芬談判內容蘇堅持在漢戈建設軍港
page 3	德放和平消息圖分聯軍力量假使德國有和平誠意亦難滿足聯軍之要求
page 3	美武俠明星菲濱氏逝世
page 3	英國商船損失漸少
page 3	波潛艇奧些爾號發表由波羅的海逃出經過經四十四天航程卒獲如頗
page 3	希臘商輪被一潛艇擊沉
page 3	英國車輛輸出增加
page 3	瑞典內閣改組漢臣仍任首相
page 3	有人聲言行刺希特勒限其在百日內將德政權交出
page 3	美當局積極擴充海軍
page 3	錫價最高額英國限制撤銷
page 3	汎美機在三藩市停留
page 3	聯軍一部份士兵獲准暫息
page 3	芬蘭學生愛護祖國尚未及入伍年歲亦志願從軍參戰
page 3	蓋達氏演說重申意國要求意被囚地中海必須謀一出路
page 3	經濟危機畢露日中央銀行大發紙幣總額達四十萬萬零四千四百萬
page 3	日　務省緊急會議擬定具體計劃解決糧荒問題
page 3	英法聯軍開始發表軍報
page 3	國聯待別委會最後通牒蘇聯限其廿四小時內允撤侵芬軍隊並參加和平談判解決蘇芬問題
page 5	大小黃圃甚為安謐
page 5	飛機六架飛抵中山
page 5	江會各線仍有夜戰
page 5	張惠長辭職已獲准吳飛定日內返中山接署
page 5	李漢魂積極推進救濟工作劉志陸視察東江
page 5	嶺東我軍積極反攻饒澄
page 5	南屬官窯金溪我軍進攻告捷
page 5	大良痘症蔓延日軍強迫注射
page 5	連日江會戰情另詳日軍強迫各鄉設立偽自警團偽軍便衣隊時被我軍警捕殺
page 5	惠陽成立軍警督察處撤底肅奸維持治安
page 5	博羅戰工班結業後赴前線
page 5	外銷貨報轉口省府修正辦法
page 5	日汽艇五艘圖犯中山九區南頭墟我團隊奮起抗戰擊沉日汽艇一艘
page 5	寶安偽軍又圖沿寶太路竄犯各鄉我團隊已準備迎擊寶安縣長籌賑難民
page 5	粵路我軍加緊南攻日軍犯源潭受創從化我克馬騮山
page 5	中山無戰事外傳緊張不確大小黃圃無日軍蹤跡古井龍泉均被投炸彈江會夜戰我收穫甚佳
page 7	起火地點
page 7	焚燬兩樓
page 7	沙丹拿輪船員請求賠償損失星公司允發十五元
page 7	曾覺吾夫人遺囑賑濟難民
page 7	羅文錦解釋港政府征收米稅原因所得稅款為彌補貯糧倉租稅金甚微米商勿乘機起價
page 7	米價高漲非因徵稅
page 7	執照期限定六個月
page 7	米糧統制辦法原文
page 7	白晝防空演習時居民須守秩序演習時勿聚塞街上自用汽車停止行走
page 7	筲箕灣昨午發生大火南安街兩樓被焚損失萬餘元百餘住客無家可歸情形甚慘
page 8	電協會港分會昨成立選出王雲五葉恭綽等為理事
page 8	致開會詞
page 8	粗製濫造
page 8	該會宣言
page 8	首屆理事
page 8	西林馬海峽封鎖香港長洲交通受影響長洲居民請恢復原日航線
page 8	文物展覽會將印紀念集舉行演講會及徵集論文
page 8	物業糾紛案昨日繼續審訊
page 8	本港廠商宴澳商梁後源
page 8	新運婦女會組織閨秀劇團
page 8	上中環區小販聯會成立來賓四千餘人情形極為熱鬧
page 8	灣仔自衛團續收捐款報告
page 8	去月第一週暹米輸出數量統計輸來本港者十餘萬擔其中輸往星洲者最多
page 8	真中捐助兒保會
page 8	國際杯賽中華陣容排定合四華隊之精英而成實力殊勁當可破愛軍
page 8	學界籃球賽今日舉行頒獎李應林蒞場頒發獎品
page 8	華振中昨函謝婦慰會
page 8	粵省銀毫券不容貶值國粵幣比率早經中央定為加四四省行對新舊幣一律兌換並無歧視
