page 1	論鏟除貪污政治
page 2	行政院二七六次例會財孔報告整理粵省金融辦法議決任命蔣廷黻為駐蘇聯全權大使駐美大使施肇基免聯由王正廷繼任
page 2	討論事項
page 2	任免事項
page 2	中央維持國信整理廣九路借款經與持券人會懇切磋商付利償本辦法業經決定
page 2	韓復　任魯省綏靖主任魯省主席在遴選中以蔣伯誠呼聲最高
page 2	石王軍攻佔公廟子大喇嘛黨徒狼狽逃命
page 2	滇黔湘贛閩粵六省會議將在廣州開幕蔣派陳誠與李宗仁面談桂事
page 2	豐台事件受傷鮮人已出院日向我提三項條件
page 2	王寵惠應召南下昨乘總統輪來港轉粵
page 2	孫科訪王寵惠孫對桂局望和平解決
page 2	成都日僑被人攻擊已有兩人斃命又將引起大風波
page 2	津海關防止私運決設緝私分區日內即著手組織
page 2	偽蒙匪軍侵綏野心未戢匪軍內刻正整頓有月秒向我總攻說
page 2	英使官衛兵被人連擊數槍英使向我交涉
page 2	日侵華計劃有進一步決定
page 2	國府下令撤銷拿辦李濟深陳銘樞令桂事仍有和平解決希望蔣已令駐桂邊軍隊撤退
page 3	影佐太田先後離津赴滬參加華南日　會議
page 3	胡大海周世平由滬解京法辦
page 3	九月一日開始粵漢全線通車逢星期二五南北對開約需四十餘小時可達
page 3	平市十七公會集議捐機壽蔣
page 3	菲島華僑亦擬購機壽蔣
page 3	中學生黃維聲憂國躍江自殺
page 3	國勞代表朱學範昨已返國抵滬朱在輪次發表談話
page 3	蔣廷黻擬十月間出國
page 3	林寶華抵滬談網球名手近況
page 3	一產三胎產婦仍康健
page 3	隴海路舊債清理計劃
page 3	鞏固粵省海疆交由陳策統率
page 3	孔子誕辰中樞開會紀念
page 3	交部改訂國內電報價目本省每字七分出省每字一角
page 3	秦德純訪十河商修築滄石路問題
page 3	謝作民候輪來粵籌辦粵僑務局
page 3	綏蒙會二次大會日內即可舉行到綏各委已過半數
page 3	又一颶風將襲閩浙沿海
page 3	蔣令八主席報告種煙檢舉情形
page 3	政院駐廬辦事處限期月底結束
page 3	實部修正檢驗生絲細則昨日公布施行
page 3	冀察外委會昨日舉行例會
page 3	平津大學生攷試昨日舉行口試攷畢由宋哲元訓話
page 3	賀耀祖返國述職今日晉京謁張
page 3	革命債務調委會在粵組登記處俾粵人有登記機會
page 3	各省一年來假釋監犯調查
page 3	粵省律師須向　部換證
page 3	臨時高攷昨日截止報名報攷者一千七百餘人
page 3	海州各　請禁食糧出口
page 3	西京選舉總監張繼日內就職
page 3	京市地價稅十月開始徵收
page 3	鮑格莫洛夫昨日離杭返滬對西湖風景極讚美
page 3	國交討論會胡適博士演講中國自力更生決心繼續奮鬥
page 3	德　大修邊備
page 3	德國延長軍役法人聞而震動
page 3	托黨仙奴維伊夫等十六人同時槍決托洛斯基表示憤激
page 3	西國叛軍分路夾擊馬德勒俄德均願禁械入西國
page 3	匈德兩元首晤商重要問題歐局將更趨嚴重
page 3	日派重光葵出任駐俄大使
page 3	法國紅星足球隊請李惠堂留法加入該隊作戰
page 3	川樾由濟抵青定明日離青赴滬
page 4	精武會友搏擊今晚舉行決賽
page 4	友誼籃球賽華雄出戰青夜校今日二時半在露天球場
page 4	足球賽將開始聖約瑟整飭陣容西洋三分健將有投效該隊之說
page 4	粵港友誼小足球賽黑白聯隊對冠雲上午七時在旺角球　
page 4	暹新文學院組足球隊訪我國先到本港後到油滬京粵
page 4	志誠勝公青乒乓隊
page 4	英京銀價略報漲
page 4	今晚四團體舉行游泳對抗地點西青會游池
page 5	六路軍調浙後粵各師編足三旅
page 5	農稅局商榷易名吳健陶又有提議防為物品消費局
page 5	羅定警隊拘獲嫌疑間諜
page 5	桂各地對行客入口認為可疑者即扣留甚且槍決粵軍譚邃師出發北海增防桂四集總部及省府必要時將遷武鳴辦公蔣委李揚敬任七路總指揮率兵赴晉昨傳調浙不確梧州火山對河有大貨船觸水雷碎沉
page 5	中中仍歸中大問題須俟鄒氏返國決定
page 5	蔣院長督促各機關清理積案昨日巡視財廳
page 5	對桂軍事準備中抵粵北將領昨來省請示中央仍盼和平討伐令暫緩頒發鄧世增晤蔣光鼐後或再飛桂一行
page 6	航商整理各江輪船價格整委會昨開會議
page 6	民廳籌設國大選舉事務所
page 6	各縣衛警隊九月一日起改編縣長回復指揮權
page 6	廣州影畫業請免稅餉不准因屬消費稅
page 6	籌設河南自來水
page 6	荒草墓門懷舊雨蒙志等祭呂煥炎
page 6	籌設粵審計分處
page 6	廿四日聯合紀念週蔣委員長訓詞全文
page 6	刁作謙昨日接事
page 6	十種苛捐待裁撤財廳正式佈告
page 6	兩人同乘腳踏車公安局佈告禁止有礙交通及危險
page 6	新任航政局長姚伯龍
page 6	民政廳向有民政視察員之設
page 6	明廿七日為孔聖誕辰
page 6	新任兩廣外交特派員刁作謙
page 6	兩廣鹽運使公署新委黃偉楚
page 6	禁賭委會決今晨成立全省賭博九一概禁並非分期
page 7	林氏談話
page 7	貝氏　話
page 7	羅氏談話
page 7	附帶任務
page 7	留港兩魚雷艦昨已返粵撥歸江防司令部節制
page 7	粵艦兩艘昨到港
page 7	英女戲劇家抵港
page 7	四賊圖劫鎗傷少婦二老婦受驚過度暈厥鄰人呼救賊赤手逃遁
page 7	發生地點
page 7	賺門入屋
page 7	放鎗傷人
page 7	生雪大平賣續訊
page 7	警探查究
page 7	四賊年貌
page 7	少年旅客服毒死
page 7	出言不慎被痛毆
page 7	英財政專家羅渣士來華協助整理粵省金融昨日已乘多拉多機抵港日間晉省兩路接軌問題亦將乘便提出討論
page 8	本港月銷香煙達廿餘萬元菸草輸入月值五十萬元煙販觸目皆是約六百餘
page 8	煙草進口
page 8	二百九十二元形成入超
page 8	實銷數目
page 8	香煙來源
page 8	省港夜輪變更班期後廣九車亦擬防改開行時間東安西安輪航期決照舊現正正計劃代省欄運載鮮魚
page 8	煤氣亦決不減價煤氣公司已函復商會
page 8	巴士與汽車相撞
page 8	一女郎跳樓自殺
page 8	多拉多機昨抵港
page 8	考慮購鐳
page 8	販煙者眾
page 8	紅磡誤殺案判決兩被告無罪省釋
page 8	颶風行蹤之報告
page 8	檢查制度
page 8	羅文錦今日向定例局提請撤銷華報檢查　律政司將請通過新例多項
page 10	粵洋貨入口統稅由九龍關公署徵收
page 10	旅行會九龍會所十月底即可落成
page 10	產婦嬰兒之福音慈善會組母嬰健康指導處
page 10	假冒車票案訊結證據不足被告獲釋
page 10	初級法庭案彙誌
page 10	私藏毒品
page 10	私蓄婢女
page 10	討債傷人
page 10	攔途截搶
page 10	車輛失事之統計
page 10	亞細亞月刊准入口九龍關公署之佈告
page 10	先施滬行監督逝世
page 10	郝特傑因病離職羅夫代理港督職務
page 11	吉利渡因公沉沒投訴航會請轉求償恤
page 11	警衛隊誤擊小輪
page 11	順德煙酒稅由總局分別接收
page 11	新會各機關工作之停頓
page 11	市橋實行解放童尼
page 11	三水軍民聯合修灶岡圍
page 11	警衛大隊部將撤銷
page 11	縣府令保護西岩寺
page 11	兩邑爭界紏紛解決
page 11	大鎮爆竹店之火警
page 11	裁撤善後辦事處訊
page 11	潼湖五鄉拒匪勒索
page 11	各屬風災損失九誌
page 11	中山二區橫欄鄉
page 11	又台山新昌區
page 11	東增兩鄉械鬥慘劇
page 14	本年全國棉產豐收達近廿年間最高數中華棉業統計會發表估計報告比去年之產額增加在一倍以上
page 14	棉田增加棉產豐收
page 14	國內用棉約千萬擔
page 14	停業紗廠準備開工
page 14	魯南牙教潛滋達十餘縣幸發覺尚早未成巨患教首被捕已漸次撲滅
page 14	邪教潛滋魯南七縣
page 14	萬善教頭被獲經過
page 14	善後處理獎聚有功
page 14	意外長齊亞諾比年輕外長艾頓還小五歲
page 14	日人南進政策實施下之台灣情況總督府將擴大組織提高職權以海軍大將任總督直隸天皇創設拓殖會社發展華南商業
page 15	人民陣線
page 15	社會黨
page 15	共產黨
page 15	統一馬克思主義黨
page 15	無政府工團黨
page 15	連合戰線
page 15	西班牙的革命勢力
