page 1	蘇芬和平實現
page 2	渝紀念精神總動員一週年舉行盛大火炬遊行參加者十萬人盛況空前
page 2	我方　准滬甬復航
page 2	精神總動員運動週年紀念蔣會長講演詞二實行精神動員要澈底持久堅忍
page 2	具體實行綱領
page 2	加強強渡鬥爭
page 2	提倡工作競賽
page 2	充實國民月會
page 2	告訴全國同胞
page 2	日強迫華北農民出關工作每日三千餘人
page 2	我對蘇芬秤表示快慰蘇聯今後可以專力應付遠東
page 2	漢口日軍碼頭被我焚燬損失三十餘萬元
page 2	日輪西貢丸郵件在海防被截查日法關係將愈益惡化
page 2	新鄉日軍向偽組織勒索漢奸無法籌措當被押繳槍斃
page 2	歐亞公司變更航班並恢復漢中段
page 2	楊杰抵昆明談蘇日妥協無實現可能日本又無誠意與蘇聯修好蘇人士對汪精衛不大重視
page 2	潮汕日軍穿著我軍制服佩帶偽造符號臂章居心險惡令人齒冷
page 2	東流附近我炮兵擊沉日艦一艘
page 2	皖我軍擊落日機一架
page 2	日反對英封鎖海參威港
page 2	侵入庫頁島南日向提抗議
page 2	潮汕進犯日軍遭夾擊邕欽路日軍向欽移動晉南贛北我活躍綏西戰事沉寂
page 3	蘇軍損失重大芬蘭雖敗猶榮
page 3	游擊區裡的孩子們三
page 3	蘇芬戰爭停息瑞典引為大幸
page 3	對於蘇芬和平美國無何表示
page 3	日首相米內發表宣言響應汪精衛口蜜而腹劍
page 3	印度國民會議定在林加舉行調整印度種族間關係
page 3	德外長訪意內容意報略為披露所談關乎歐洲之全部局面目的在建設歐洲長久和平
page 3	德意兩國簽訂商約德國賣意之煤將由陸路運輸
page 3	芬蘭屈辱和平聯軍不能負責因芬蘭未向聯軍請援瑞挪又不許聯軍通過
page 3	英陸相向眾院提出陸軍預算英國陸軍今謀急亟擴大使能逐漸負起較大任務
page 3	維里斯與英海相會談英皇召首相入宮談頗久料係與維里斯訪英有關
page 3	開戰以來德輪損失編者自動擊沉百分之七被封鎖百分二十五
page 3	英輪加丹尼亞號在北海被炸沉
page 3	芬蘭內閣及國會討論和約問題一部份議員力主抗戰到底芬外長發表重要廣播演說
page 3	赤道國內地發生嬰癱症
page 3	北歐戰事結束蘇芬成立和平協定前線戰事已完全停止芬外長發表沉痛廣播
page 5	沾涌坦洲劇戰情形
page 5	三區小欖仍未失守
page 5	靈山西北仍在戰事我將日軍驅至邊境克復區內已趕辦善後我機再炸邕寧日機場三娘灣日運輸艦沉沒
page 5	日軍敗潰擄我壯丁
page 5	邕寧上空發生空戰
page 5	我軍衝進蘇墟巷戰
page 5	石岐市頓成煙賭窟
page 5	廣州市日軍調動之軍報裁去一部卡位交通崗位交偽警駐守重要崗位仍由日軍主持防軍秘外洩
page 5	日軍企圖先佔獅山
page 5	前山日軍最近幾年動態
page 5	莞城日偽侵犯道滘我團隊勇退日軍鄉民受災待賑濟日軍圖犯廣九路我團隊嚴密防備
page 5	分路進攻道滘
page 5	馳赴撫慰賑濟
page 5	石龍日軍忽又大增
page 5	日軍千餘載往增城
page 5	東線日偽軍忽又增加傳將再犯粵北及廣九睡我東寶團隊嚴密聯結準備擊碎其侵犯陰謀
page 5	海尾等鄉保甲長請纓入伍
page 5	突發炮向南社
page 5	日機頻飛四邑三埠疏散人口
page 5	太平偽軍亦有增加
page 5	十二集團軍在東江設新兵訓練處各縣設收容站
page 5	侵中山日軍犯坦洲圍等地戰情劇烈日軍傷亡甚重日軍大部退出石岐回援三鄉小欖仍在我手袁部牽制日軍石岐變為煙賭窟前山亦開賭日聲言進佔獅山但關卡照常工作
page 6	軍委會電令嚴密查禁日貨
page 6	粵建設廳籌辦農產展覽
page 6	粵農林屋設立各縣棉場
page 6	春耕運動的重要
page 6	廣東糧食恐慌省黨部鼓勵民眾春耕圍明春耕運動之重要指示春耕運動之方法
page 6	羅翼群出巡經過在徐聞遇空襲傷斃人民之撫恤
page 6	各縣市稅局經辦契稅新法省務會議通過公佈施行
page 6	春耕運動在廣東
page 6	三春耕運動應注意
page 6	寶安縣府積極爭取該縣西路民眾西路各鄉有暗組偽維持會者經更換鄉長協助區署長嚴防前偽維持會員在南頭被捕
page 7	濃煙冒出火星四射
page 7	全港滅火隊總動員
page 7	倉中貨物均易若火
page 7	二三樓兩層均倒塌
page 7	電車停行凡六小時
page 7	損失統計約四十萬
page 7	委員即席捐慰勞金
page 7	商賑會先匯八萬元
page 7	金銀場慰勞金匯出十四萬元商賑會先匯八萬元昨討論一碗飯運動
page 7	丁　林昨抵港
page 7	昨晚九時死灰復燃
page 7	北街樓宇被搜捕獲搶案疑犯
page 7	一碗飯運動難實行
page 7	廣生行貨倉昨大火焚燒六小時損失四十餘萬全港滅火隊總動員電車被阻停行振南行借倉貯米數千包幸未殃及昨晚死灰復燃滅火隊員再次出動
page 8	預接消息
page 8	設計擒賊
page 8	三人被捕
page 8	立法局今日會議戰稅法案將提出初讀財政司提議建船捐獻英軍部需費五百萬元　明年內撥支
page 8	身懷槍械
page 8	罪名兩款
page 8	逃澳中山難民五千餘人露宿已收容者五千餘人中國婦女會之報告
page 8	美積極推行禁械運日美不參與日侵略會函復廣大
page 8	腦膜炎症流行去週死十人
page 8	新運婦女會徵募軍鞋成績
page 8	來港難民三十被扣留因無保証金廿元
page 8	中大服務團昨午招待各界報告該團工作經過
page 8	本港郵務經費是年預算約六十萬空郵費昂實因飛機太少明信片空郵費或可減低
page 8	中國文協會辦巡迴演講會
page 8	李漢魂函謝港僑捐款
page 8	北大同學聚餐
page 8	下月演習燈火管制由十一晚起至翌晨止通宵作連續性的演習
page 8	同安輪船公司獲准減少資本二百五十萬減為二百萬
page 8	九龍住客聯合會減運委會即將成立名人十餘已允任委員
page 8	九龍電報分局歐戰結束後始能設立
page 8	摩利臣山道劫案昨日開審被告一人無罪獲釋
page 8	私梟關員互戰流彈擊傷路人
page 8	本月份刑名案定十六日開審
page 8	賊匪圖劫深水　洋服店警探化裝伺機擒捕大隊中西警探出發三晚始告成功捕獲三人持有手槍短劍鐵線等物
page 10	港澳埠際足球賽港隊代表選出甲組銀牌東南大戰定卅日在加山舉行
page 10	東方會徵求明日授旗出發
page 10	小徐結婚
page 10	昨日甲組足球聯賽聖若瑟逼和米杜息一比一紀錄在下半時
page 10	小告訂婚
