page 1	對粵省政治前途之希望
page 2	國民政府命令王寵惠任外交部長俞飛鵬為交通部長馬步榮為青省委員
page 2	王　惠昨晉京謁蔣院長請示一切
page 2	王寵惠長外交巴黎人士極感興味
page 2	張部陸續東開先頭部隊已抵鄭檀自新飛京謁何報告張坤山任陝保安處長
page 2	渝市謠言已息軍政舉行聯歡宴所築工事下令一律撤除
page 2	傳共黨投誠實現後朱毛將出洋考察所有共黨所屬之紅軍全部由中央派員整理
page 2	皖米運銷陝甘
page 2	蔣總監通令各省市如限肅清煙毒倘有玩忽立予撤懲
page 2	美參院通過新中立法案禁止以軍械糧食等接濟交戰團並禁美國人民乘交戰國之輪船
page 2	英掌璽大臣宣稱英國努力鞏固和平外交軍事實業各方面之努力唯一目標在建築和平之基礎
page 2	孔祥熙接見美使暢談
page 2	馮玉祥返皖原籍掃墓
page 2	中常會通過三全會各案處分辦法陳布雷谷正綱任中政會委員陳公博辭民訓部長懇切慰留張群兼任外交委會主席
page 3	佐藤對華缺乏認識
page 3	英德政界讚揚佐籐
page 3	西政府軍已攻佔托勒杜城沃維都城以西之地已入政府軍手中沃維都交通全為政府軍截斷
page 3	國聯人士歡迎佐藤
page 3	日對津海關抗議尚無圓滿答覆僅將浪人驅逐離京絕不談及賠償道歉
page 3	巴黎時報評論汪演說中國現已入于一新時代對於外來侵略雖當加以抵抗然必先恢復國內秩序而後可
page 3	日政府撥款百餘萬補助對華輸出
page 3	帝航公司空線終點改在海塞改用飛船飛駛各線
page 3	許世英在日招待各界領袖
page 3	馬來華僑集資開發瓊崖資本國幣一百萬元經營錫礦橡樹等業
page 3	日本關懷英國海軍會議
page 3	國際戰謠又熾戰險保費突增印度商人大購白銀
page 3	朱慶瀾談甘災亟待賑濟
page 3	政府將頒布新例限制白俄入境
page 3	陳濟棠到土耳其視察土國軍備
page 3	周伯敏日內赴陝履新
page 3	津海關防止走私擬增設兩分卡
page 3	冀察各委會擬將改組為處
page 3	滬租界一毒犯判死刑
page 3	英下院討論新加坡海軍根據地問題全部概算為一千一百萬鎊萬里斐士對此案作幽默質問
page 3	德創辦新航線橫貫大西洋將於今夏開始
page 3	英摩托工廠工人罷工要求加薪
page 3	本年度蘆鹽輸日事宜
page 3	前張部旅長白鳳翔
page 3	于右任在滬足疾復發自延劉正字診治後已見痊可
page 3	英商電車公司機器間工人
page 3	佐籐闡明外交根本方針日外交政策並無急激變化佐籐宣稱一國外交方針須要保持風分繼續性外交為擁護國家發展須有充分軍備為其背景
page 4	公開網球賽單打洪渭布的架被淘汰雙打林珍兄弟表演美妙如昔
page 4	蘭芳杯乒乓賽陶聲力挫白虹隊今夕皇仁戰自虹
page 4	英美匯兌昨轉縮
page 4	英京銀價仍趨漲
page 4	聖士提反書院十三日開運動會歡迎各界到場參觀
page 4	八九金價昨略跌
page 4	省法幣市價微降
page 4	廣州西紙價微升
page 4	滬外匯市情沉寂
page 4	舊中紙桂幣略跌
page 4	今夕籃球房有劇戰美艦隊對青年會美艦前次過港該隊所向披靡
page 5	黃旭初明日抵港闞宗驊談桂軍編制
page 5	汕市又發生某人走私交涉案
page 5	土菸葉專賣官督商辦制之訪問煙酒稅局擬恢復各分局職員薪額一律改發大洋商人請求展期呈繳改善章程
page 5	巫劍虹談實行抽調兵工築路由陽春抵廣州一日可達
page 5	航商請免封甘灘後建廳召商安全辦法　商代表聞亦被邀列席
page 5	傳漢奸下毒食鹽饒平縣府請化驗先將該地各鹽廠查封送鹽包到潮橋督銷局函請化驗俾分別辦理
page 5	毒鹽狀態
page 5	請求化驗
page 5	鹽廠反響
page 5	省行擬定收買各縣白銀法
page 5	粵鹽銷湘問題解決後唐萱返省
page 5	水利公債仍未奉准發行
page 5	廣梅樟汕二線同時展築完成粵贛兩省交通注重避免水道受威脅
page 6	農稅局積極緝私去年稅收之增加
page 6	墾殖瓊崖之初期暫撥一百萬元闢十個墾殖區
page 6	市府組設手車伕福利委會章則已交參事室審查
page 6	僑務會函各機關再請勿留難歸僑港設僑務分處由外部接洽
page 6	煤油商反對歸併整理擬請撤銷渣額限制全省上廠共五十一家渣額僅得七九九噸餘
page 6	汕海港檢疫所檢驗出國人民之風波除每名征收種痘費外每人又須繳相片出國人民不肯遵辦下輪後被截回二百餘人各僑團分電呼籲
page 6	　會力爭逾期中報處罰案
page 6	河南炸彈案昨訊
page 6	黃埔闢埠工程視察記一
page 6	冒雨登程
page 6	工程訪問
page 6	救濟民食之要聞
page 6	工管處撤銷糖廠起卸伕力約之真相該處某職員對記者談話認為和記公司無理取鬧
page 6	省新運促進會
page 6	廣西省政府為考察各省縣政
page 6	羅卓英今日乘粵路車赴韶
page 6	由羅定至信宜公路
page 6	廣州信鴿研究會
page 6	漢口市商會
page 6	張達仍謙辭東莞明倫堂委長
page 6	省主席令市商會安全金融傳大洋比率加四之牽動鄒殿邦函報界更正並赴銀市宣佈真相
page 7	本港學界意見
page 7	余漢謀拜會港督之儀節港督定八日午設宴款待
page 7	港府通告
page 7	僑胞歡迎
page 7	港督歡宴
page 7	一般人之意見
page 7	　大教授意見
page 7	秘魯在本港購米數千噸港米價因是又飛漲
page 7	九龍居民會週年大會紀主席報告一年來之會務
page 7	改良巴士路線
page 7	增加馬路燈火
page 7	英海軍中將泰爾波抵港計劃改善本港海軍船澳
page 7	消滅瘋人問題
page 7	關于地方清潔
page 7	英童書院落成
page 7	保存九龍古蹟
page 7	殺人焚屍案提堂趙旭輝神色沮喪通事宣讀罪名後趙點首苦笑觀審者數千人中多摩登男女
page 7	觀審者擠擁
page 7	疑兇之面目
page 7	英派經濟家來港助港府整理財政
page 7	環境下之被迫者
page 7	捐資建游樂場
page 7	各方主張港大中文學院收中文中學畢業生該院教授一部分亦表同情如英文程度不及格可補習
page 8	電影　新舊理事糾紛中當局緩禁粵片發生兩　期舊　事會拒納新　會粵片禁期一為　中旬一為六月底
page 8	糾紛未決
page 8	兩個期限
page 8	赴星華工益擁擠三等船票售至百六十元
page 8	行使偽幣案押候
page 8	莫理士獲獎勳章
page 8	西　盤劫案押候
page 8	森員奧
page 8	　柏德
page 8	紅丸案詳臬定讞
page 8	建場籌委昨日勸捐之成績
page 8	兩人服毒幸獲救
page 8	小女跳樓慘死案裁判署昨開堂研究
page 8	法官垂憐老小販
page 8	郝魯麟出席禁販婦孺會經過已向港當　報告
page 8	華探隊為山能餞別
page 8	出入口統計署報告本港商務確已好轉去年一月份起至本年一月份正出入口　值已增百分之四又六
page 10	罪名四款
page 10	街道極乾
page 10	載重過額
page 10	起立駁稱
page 10	多拉都機已抵港載來美英旅客二人
page 10	修改出口稅章程九龍關公署佈告
page 10	港英空郵改航線
page 10	九龍倉起貨增價
page 10	議決事項
page 10	報告事項
page 10	廠聯會理事會議
page 10	又有八英艦抵港
page 10	一意輪停航遠東
page 10	糖商總會開紀念會
page 10	中華青年會旅行訊
page 10	輸運車輾斃四命案續審誤殺罪詳臬餘三罪押候研究
page 11	佈告
page 11	辦法
page 11	蠶斃局舉辦絲業貸款之近況先由順德倫教鎮開始第一期貸款五十萬元
page 11	棚匠批田被騙六千餘元收銀商號設備堂皇事後關閉假業主逃之夭夭介紹人被捕
page 11	爭拾草炮踐斃小童
page 11	毒斃親夫疑案提訊
page 11	省禁煙會奉總監電令切實執行憑照購售一
page 11	奉令趕辦煙民登記
page 11	拘捕大批無證煙民
page 11	茂名歡送徵兵入伍受訓
page 11	擬闢馬路整飭市容
page 11	禪民盼縣治遷佛山
page 11	擒獲行劫殺人匪徒
page 11	防軍槍決匪犯兩名
page 11	促縣民冬耕及開墾
page 11	縣界案又發生糾紛
page 11	民廳委各縣聯鄉主任
page 14	王氏談話
page 14	王氏略歷
page 14	第一特區地院宣判劉蘆隱解鄂訊辦鄂高院派員乘飛機來滬迎提劉氏請求交保未邀法官允准楊永泰案獲各要犯之詳情
page 14	旁聽席上宣告滿座
page 14	鄂高法院要求移提
page 14	劉氏孫述請准交保
page 14	援筆宣判移提歸案
page 14	押送警局即將解鄂
page 14	要求移提公文大意
page 14	旅滬粵團體歡宴余漢謀等赴席者三百餘人新亞酒店極熱鬧余等定今日乘麥金蘭總統輪南返
page 14	共同歡迎
page 14	道過申江
page 14	特殊情形
page 14	人力財力
page 14	計劃進行
page 14	金融流出
page 14	新任外交部長王寵惠三日夜晉京謁中樞各當局後定期就任外長外交方針秉承全會宣言進行
page 15	換防日軍開抵平津兵員總數二千九百名實際增來約七百餘名
page 15	西北近影十三二二事變
page 15	得到解決
