page 1	桂南戰局之展開
page 2	豫北我軍雪夜出擊擊斃日軍數百虜獲槍械無算
page 2	鄂中我軍克復西河鄂北我軍挺進迫近隨縣城郊
page 2	晉省日軍攻勢已疲蟄伏長治長子不敢冒險出擊
page 2	桂省老婦熱誠愛國盡將私蓄捐獻政府
page 2	日軍官厭戰自殺
page 2	日機廿七架再襲滇越鐵路被我截擊發生劇烈空戰日轟炸機數架被我擊傷
page 2	德機隊襲擊商般三架被擊落
page 2	滬又奇寒凍斃二百餘人
page 2	津租界尚無糧食運入
page 2	湘省專員按月巡察
page 2	粵省執委會通電討汪
page 2	傳日本將與英締結紳士協定以妥協精神解決淺間丸事件另訂條例以限制德人乘日輪
page 2	教部體委會昨日閉幕
page 2	菲行政最高委會通過下屆財政預算共七千九百萬菲幣
page 2	甘地將與印督討論憲政問題
page 2	邕飲路殘日已被包圍我收復那白斬獲甚眾潮汕日軍糧食缺乏反戰潮高漲
page 3	新中央政權是什麼二
page 3	對巴爾幹會議各國關係不同德恐影響於其物資之供給英法意希望其強化抵抗力
page 3	達拉第接見澤田有所商談
page 3	齋籐質問政府案引起議會爭辯各政黨昨舉行聯席會議討論應否實施懲戒齋籐
page 5	邕空日軍進犯路線
page 5	邕賓線上戰事形勢
page 5	寶安留港義民由今日起運送回籍賑籌會之議決案
page 5	日軍認花地為我便衣隊藏匿地被焚舖戶三百五十間本報記者之實地調查
page 5	欽縣日軍調動甚忙
page 5	貨物運桂不受影響
page 5	明令嘉獎抗日民眾
page 5	炸擊日運輸車
page 5	桂省某軍醫獻議口罩製造法輕微毒性可以抵禦製法簡單儉費有效
page 5	日機昨日又炸東江各地
page 5	優待征人家屬各縣組會辦理省府頒佈通則
page 5	日艦窺伺橫門吳飛令再破壞岐關路容良路舊寮崗日偽遭我掃蕩日防我反攻江會又增兵千餘
page 5	橫門海面發現日艦
page 5	當局昨日發出情報
page 5	新鶴公路日軍動態
page 5	江會日軍增到千餘
page 5	財廳派員督導東江各縣稅務
page 5	惠陽軍運所統制船舶續訊
page 5	西路我軍攻三水城戰績克北郊據點多處
page 5	惠陽動員會擬定檢舉貪污辦法縣內遍設密告箱凡公民有檢舉權
page 5	征營業稅之嚴厲懲處偽報賬簿
page 5	抗戰負傷將士各界應予優待
page 5	桂南日軍企圖突圍遭我痛擊邕江兩岸遍地日屍蔡夏兩氏主持南北兩岸軍事邕賓邕武兩線現正釀醞大戰日圖犯合浦陰謀已被我粉碎
page 7	土布織業工會今晨行成立禮
page 7	婦女會賣花募得六千餘元
page 7	改良本港房屋問題港督羅富國發表意見
page 7	婦慰會募捐訊
page 7	新稅研委會報告書尚在審查中未呈覆政府
page 7	三賊截劫路人
page 7	粵禁柿餅出口
page 7	節省陽光法例將在立法局提出
page 7	國際間嚴重時期已過港僑自衛團擬解散各主任定明日晉謁港督俟徵得港督同意即實行
page 8	惠陽商會趕辦急賑
page 8	成立各界籌賑大會
page 8	國貨展覽會今午開幕參加工廠凡百餘家全港官紳將往參觀
page 8	攤位佈置鉤心鬥角
page 8	全港官紳將到　觀
page 8	參加工廠凡百餘家
page 8	搶匪詳臬定讞
page 8	新春的花市
page 8	各酒家歲晚休業
page 8	我國桐油運銷國外近情
page 8	快活谷微風細雨東方出師告捷四比一擊敗南華華四比二警察挫光華
page 8	東方大破雛鳳
page 8	光華不敵警察
page 8	南方小型球隊定期出發征澳
page 8	球國大事小評
page 8	石硤尾村火災慘重登記災民已五千餘名港九各慈善團體聯組籌賑大會中央賑委會亦撥千五百元助賑
