page 1	越南局面的前途
page 2	無論國際局面如何變化決不變更援華政策我王外長連日與英美蘇大使會見莫洛托夫已返蘇談判經過未宣布
page 2	德意擴大宣傳蘇聯已允合作
page 2	意海軍受打擊影響蘇聯態度
page 2	加將調動軍隊助英作戰
page 2	羅頒親德法令內容包括五項予德人獨立權
page 2	英希軍事勝利後地中海形勢完全變更整個亞德利亞海為聯軍控制意德兩總參謀長商補救辦法
page 2	不抵抗者之龜鑑羅蘭法人被逐加杜魯在埃對法人廣播斥破德法和平談判內幕
page 2	意艦三艘確受重傷
page 2	英希飛機聯合炸意
page 2	希軍三路全線總攻
page 2	希意發生劇烈空戰
page 2	希臘軍隊繼續追擊
page 2	留芬蘭德軍完全撤退
page 2	希特勒忽高談社會主義蘇聯思想戰奏凱
page 2	荷波仍盡力擔負參戰義務將來戰事結束荷波即可復國
page 2	意國官方諱言敗績
page 2	英國艦隊襲敵經過
page 2	達蘭都灣意艦被炸
page 2	意羅已成立經濟協定由羅供給煤油於意利便意進攻希臘
page 2	德欲聯蘇制土日人漸悟上當
page 2	美將在聖路西亞島建設軍港係根據英美協定
page 2	蘇官方鄭重聲明
page 3	我軍曾進越邊與法軍有小衝突
page 3	英美海軍合作史汀生辭職不確
page 3	德機大舉襲英炸哥德溫里城胡亂投下許多燃燒彈平民傷亡者約有千人
page 3	美國知名人士組中國緊急救濟委會派爾璧女士當選任主席
page 3	華商存越貨物未獲退運為數約有十萬噸
page 3	粵各界歡迎日反戰同盟站在共同戰線上反對日侵華戰爭
page 3	美海長諾斯演講國防程序決不能與極權國家妥協欲求和平只有戰爭到底
page 3	張群兼主川政川民咸表欣慰
page 3	陪都新聞界籌組中國新聞學社蓉昆港滬等地紛紛響應一切組織事宜積極進行
page 3	倫敦亦受猛烈轟炸
page 3	絳縣日軍出擾中伏
page 3	閩侯壯丁志願入伍
page 3	我軍三面猛攻下欽縣日軍落艦逃竄圍攻南關我軍已佔外圍據點三水日軍分三路出擾遭我痛擊
page 3	豫南我軍克復羅山
page 3	魯境日軍出擾受創
page 3	喬萬選孫紹康附日政府明令撤職通緝特二區法院已呈停頓狀態
page 3	日對越南劍拔弩張法越當局尚圖和緩法海部否認派艦隊東來增防日越經濟協定將在東京談判
page 5	郎擎天部奉令歸隊
page 5	中山日軍搜集糧食
page 5	順德日軍兵力空虛
page 5	粵農村建設在邁進中農業行政生產經濟各項長足進展指導工作站已普遍全省加緊工作
page 5	桂省驛運在加緊籌辦中
page 5	桂榮譽戰士重上火線各界舉行盛大之歡送會
page 5	桂林防空節紀念會防空獻金券定期開彩每張二元共兩萬張行將售罄除獎金外餘撥防空建設經費
page 5	台山漁民勇抗日機縣府發給獎狀
page 5	海陸豐兩縣米價仍未低跌
page 5	寶安日軍動態又在沙河洞築砲台
page 5	增城民警激戰臘埔鄉拒設聯防處
page 5	曲江兒童養院實驗中學校新學制
page 5	袁帶積極整理中順團隊中由郎擎天部奉令調東江歸隊順德容奇大良已陷入混亂狀態
page 6	王造時過桂談話日向英挑釁必失敗日集中兵力於越南或有進犯緬甸之企圖
page 6	救濟手工業貸款辦法規定貸款資格由省行辦理貸款期最長三年最短六月
page 6	港韶道上寫真四
page 6	中大補招新生
page 6	潮汕賭場林立
page 6	台農促會成立
page 6	詹賓光佈置粵南空防沿海各地嚴密佈置監視哨南路各縣空防較前史充實
page 7	指定地點檢查旅客
page 7	趕緊完成立法手續
page 7	外來華人領證辦法
page 7	華人代表要求通融
page 7	海盜劫艇慘劇榜人十餘名被轟斃僅一人脫險昨返港
page 7	旅行團廉價票廣九車減低名額
page 7	明末四畫僧精品展覽今日在平山圖書館
page 7	中國化學分會徵求化學人才
page 7	金鐘兵房堆置禦彈沙包
page 7	衛生局發表闢新墳場計劃和合廠墳場尚未定期啟用新柩可暫葬九龍七號墳場
page 7	李景樅返昆明
page 7	大坑又破獲大賭窟摩登男女百餘人被捕
page 7	沙魚涌等地救護站將成立經費由省救護會撥給
page 7	高等難民聚集本港人參消耗激增十個月內統計已值三百萬打破本港十年來最高紀錄
page 7	土生華僑亦須領證
page 7	本港移民法例決下月十七日施行下星期一開始簽發證書土生華僑亦受該例限制
page 8	宏豐台上鎗聲卜卜原來追捕劫車匪徒一賊就擒一被遁去英輝台亦發生劫案
page 8	兩條大漢威脅御者
page 8	槍聲卜卜追捕逃匪
page 8	捕獲兩賊扣留候訊
page 8	四賊挾械搜劫住戶
page 8	藥商救濟傷難響應蔣夫人募藥運動
page 8	本港今日賽馬聖列芝賽最惹人注意路程長達一里六化郎名駒巴霍有冠軍希望
page 8	手車包租制將可正式取銷下軍伕互助　主席談
page 8	我國僑生畢業美國軍校名　首　獲獎　萬元
page 8	二萬元錢債案原告加控被告恫嚇罪
page 8	懼而遷居
page 8	出于虛構
page 8	偷竊木油
page 8	柴炭價格暴漲因來源規少存貨不多
page 8	入冬後初次發現痘症患者為一小童已死去醫務處力勸市民種痘
page 8	馬來亞總督將過港港督定期設讌招待
page 8	勞工司處理英輪勞資糾紛華員五十人先行登陸
page 8	偽幣案昨提堂
page 8	字花毒深入民間每日投彩達五萬元灣仔總廠昨忽雷燈　因某種費用發生爭執
page 8	警探預伏山上窺伺
page 8	港　商躉存越南貨物竟被日軍阻止起運商人已再向越當局提出交涉旅客由港赴越須先領返港證
page 10	今日甲組足球聯賽華洋勁旅相逢星島初遇米杜意九龍會迎戰警察
page 10	岷甸奴籃球隊今夕出戰南華七時在健身室
page 10	華人泳會動態
