page 1	須磨來華後之中日交涉
page 2	閻錫山等恭獻壽酒
page 2	閻張等已分別離洛
page 2	蔣在紀念週中訓詞
page 2	川張七次會談定今日下午四時舉行嚴生局面勢將公開破裂日新訓領內容無殊哀的美敦書川樾將向我作最後之威嚇行為
page 2	蕭振瀛抵滬稱病拒見賓客
page 2	隴海路西展二段計劃完成
page 2	滇緬勘界定期繼續工作
page 2	戴恩基已抵滬
page 2	郝夢齡請假回里奔喪
page 2	蔣委員長壽辰洛陽各界熱烈慶祝蔣委長親致誠懇答詞盡忠報　復興民族一息尚存此志不懈
page 3	中暹人士發起中暹協會
page 3	皖擬禁米出境
page 3	所得稅事務處調查全國商業
page 3	衛立煌出巡邊區各縣
page 3	滬平涼路日軍又築軍用倉庫
page 3	華北日軍演習竟至掘毀墳墓
page 3	日人在晉販毒已有正式報告
page 3	日人利用漁船充作間諜機關
page 3	蒙匪改編完竣即向綏東進犯
page 3	京市府擬開征娛樂捐
page 3	回民請褒人瑞
page 3	李思浩抵滬後亟約晉謁財孔
page 3	楊櫬移厝蛇山
page 3	晉南發現偽幣
page 3	首都黨政軍要員慶祝唐生智壽
page 3	朱毛末日已屆
page 3	美國競選劇烈羅斯福發表最後競選演說力詆放任主義之政治原理
page 3	柏林報紙推崇蔣委員長
page 3	叛軍再攻西京婦孺慘遭轟炸
page 3	伊勒王下令解散國會
page 3	法外長接見三國大使談五國會議問題
page 3	國際海員工會響應美　海員
page 3	林白飛行紀念發起飛行競賽
page 3	郭沫若著述侮慢聖賢　集被禁銷售
page 4	陳德輝先下一關
page 4	十分鐘相持平手
page 4	十三碼九華險敗
page 4	二比一南華得勝
page 4	七十分鐘球迷無時不在驚濤駭浪裏九華十二碼南華十三碼皆失了機會三對三不分軒輊九華一鼓作氣黃永康先陷城池馮景祥擺動大好頭顱還以顏色大家好彩九華先勝最後氣力不繼南華猛攻殿廉克保江山
page 4	黃永康先開紀錄
page 4	馮景祥奪回一關
