page 1	遠東問題與反侵略陣線
page 2	南昌之Ｘ陷我包圍中我某軍先頭部隊已進抵牛行昨晨我軍衝進南昌與Ｘ肉搏
page 2	Ｘ機慘炸各地在高明縣投彈百餘枚汕被炸死傷平民逾百
page 2	滬法界華警長昨晨遇刺一說傷重斃命
page 2	綏我軍換涼城Ｘ西犯被擊退出包頭
page 2	Ｘ機圖再襲渝未逞渝市大火已熄死亡實數尚未查確估計約四千至五千
page 2	各國使館損失
page 2	英向日提抗議
page 2	滬銀行界決拒偽鈔偽銀行不日開幕
page 2	晉西中陽黑嶺山Ｘ中伏豫北我軍猛攻博愛之Ｘ
page 2	滬郊我遊擊隊一度克復場鎮
page 2	英大使飛成都
page 2	滬Ｘ復向租界要求干涉我懸國旗
page 2	德拉簽訂互不侵犯協定
page 2	高安爭奪戰土一
page 2	正面戰鬥開始
page 2	二兩個裏創衝殺的連長
page 2	鄂中戰事日趨劇烈漢宜公路我續東進湘北Ｘ攻平水鋪被我伏擊
page 3	對波蘭外長演說詞各國所生影響英法兩國發生良好印象德對波覆照須澈底研究
page 3	倫敦舉行中國藝展陳列朝服有清康熙帝之戎裝有綠石一方為人間罕見珍品
page 3	南北各線一週來之戰況四月廿八日至五月四日我軍斬獲極眾迭克各城
page 3	廣東方面
page 3	江西方面
page 3	湖北方面
page 3	山西方面
page 3	偉大勝利
page 3	日遊客購買外匯新例限額增至二千元若往滿洲上海天津等地者非得特別准許不能買外匯
page 3	堅決表示不能屈服疲蘭致德政府備忘錄希望兩國友好不因但澤而破壞德單方廢止德波協定實為無理
page 3	重慶市改隸行政院任葉元龍為重慶大學校長故國府委員謝持舉行國葬
page 3	英皇夫婦聘美美國人民準備熱烈歡迎羅斯福將率各官員恭迎
page 3	龍雲函汪忠告務望立下英斷恢復靈明命駕遠遊斬除一切葛籐
page 3	日外相聲言增強反共協定
page 3	我以步槍擊落Ｘ轟炸機
page 3	中日戰事發生後在華日紗廠所出棉紗仍居優勢戰前有紡錘二百二十餘萬個戰後仍在一百四十一萬餘個
page 3	德意兩外長開始談話
page 3	英訓令駐蘇大使向蘇致送對案波辦不願與蘇公開成立聯繫基法蘇三角同盟議英不贊同
page 4	九龍關新稅費
page 4	衛生局之議案本月九日開會討論
page 4	港僑移殖海峽四月份二千五百餘人
page 4	炮台定期演習
page 4	大埔住戶被劫三賊以布蒙面
page 4	三人被控藏械
page 4	西營盤劫案押候
page 4	鉅竊案昨提堂
page 4	三行紙幣統計
page 4	黃花崗義演本週內再舉行
page 4	美音樂家來港將在香港大酒店奏技
page 4	港柴米接濟不虞缺乏白米源源運來現存百餘萬包每月運到柴薪亦有十餘萬擔
page 5	我團隊活躍中Ｘ運輸受阻礙
page 5	農林蠶絲兩局經費五成支給省務會議決定
page 5	留港難童抵韶即送連縣保育
page 5	北江三縣邊匪將可肅清殘餘潰竄靈溪
page 5	省府設處收買各縣金沙以免黃金外溢
page 5	大亞灣警備隊改編後之近況現開某地將反攻太平
page 5	七區專署令各縣搬祖嘗充戰費
page 5	白沙海口渡船被劫彙誌
