page 2	香港婢女問題續從習慣上觀察
page 3	援鄂軍直贛先發動曹錕　蕭耀南一旅由正定順德開全武漢陳光遠派第十二師之第二十三旅由萍鄉入　
page 3	吳佩孚電告兩師已下動員令開拔赴鄂自行統率由蕭耀南旅統率事
page 3	京政府派第　艦隊泊新堤湖北沔陽縣助戰盛傳吳佩孚以五十萬交孫伯蘭助湘攻鄂過付後湘即進兵並有政學系分途參預其事長江大局趨勢將愈複雜
page 3	旅京鄂同鄉會議主張湘　雙方停戰實行鄂人治鄂
page 3	李厚基派員赴直魯招兵　
page 3	陳光遠　　桂局已變祇飭前方堅守防線抵禦粵軍
page 3	國務電王占元謂西南各省倘不附粵徐圖善後方法
page 3	靳雲鵬辭呈仍未　或將　形　
page 3	徐世昌靳雲鵬對太平洋會議一總代表決定顏惠慶二提案主張簡要三經費須籌備二三百萬四製定海陸軍額
page 3	張作霖曹錕陳光遠王占元電京政府請宣布趙恒惕破壞大局罪狀
page 3	張作霖電稱粵桂戰事危急第任張勳為長江巡閱使召集舊部扼守岳州據云巳商得王占元同意
page 3	聞黎元洪與段祺瑞精神上已有新結合對於以前芥蒂彼此充分諒解斡旋最力者為張國淦
page 3	趙恒惕敬廿四電聲明所部係被煽惑已令撤退派唐一斌來商善後
page 3	陸榮廷失敗王占元告急靳雲鵬乞張作霖對蒙暫緩親
page 3	征張亦以內部不穩為慮出發期改為廿六恐遂　
page 3	陳炯明令粵軍暫勿攻擊沈　
page 3	粵軍以得人武鳴為優　
page 3	桂軍退出南寧之過去情形
page 3	粵軍分三路入南寧
page 3	擬調陳德春充任高雷善後處長
page 3	擬派員查辦黃志桓擅換艦長事　
page 3	請慰勞會勿派女代表赴桂
page 3	縣選舉亦籌餉法
page 3	省議員領公旅費誌
page 3	精武會徵求會員之結束
page 3	買賣金錢爭訟案
page 3	籌辦載客自由車之先聲
page 3	中法銀行請收盤案續審期
page 3	賣電船興訟
page 3	屋租問題解決後業主住客之爭訟
page 6	七省漁業機關之分　
page 6	英使催結江寬案
page 6	澳門交涉尚難解決
page 6	寧垣防　
page 6	日　對華之新企圖
page 6	各界聯合會推重伍　
page 6	落花　　
page 6	姪孫控告叔祖
page 6	被控身懷偽　
page 6	傳染症報告
page 6	港督之遊園會
page 6	西人報竊兩誌
page 6	放假日往澳船期
page 6	銀價
page 6	投地誌聞
page 6	　風他去
page 6	收銀要貼十　
page 6	控偷煙筒
page 6	西洋人被控毆打轎人
page 6	跛人刺傷跛人
page 7	軍事要聞　
page 7	桂省總司令將惹起紛爭
page 7	粵政府否認中德條件約實行
page 7	桂黨謀虎門之探報
page 7	委羅炎為四邑保衛營統領
page 7	造幣廠鑄銀未能足額之原因
page 7	請免取締藥品仍交衛生局核議
page 7	瑣聞一束
page 7	瘋人自尋短見
page 7	省立女師校長控視學員之呈批
page 7	釋放悔罪囚　
page 7	高要捕匪誌
page 7	四會請派艦到縣鎮　
page 7	上海德國領事署復聞
page 7	中法實業銀行消息
page 7	俄國饑民待賑
page 7	英美日之海軍　
page 7	印度擬抵制外國布　
page 7	協約國在西里亞上部之軍力
page 7	麼洛哥亂事續報
page 9	四面楚歌之王占元
page 9	外交界之要訊
page 9	陳籙電告中法實業銀行消息
page 9	被控縱火案
page 9	黃河水勢大漲之可　
page 9	張作霖拒絕赤塔代表
page 9	電請運桂軍火仍存關　
page 9	失足者一生　死
page 9	執獲西人屍首
page 9	煙坭判罰
page 9	日本船偷鐵　判監
page 9	舖票案
page 9	更正前稿
page 12	省報　
page 12	截獲迷拐　
page 12	賊擄女西　
page 12	市民大學開學　
page 12	舖底項受習慣之調查續
