page 2	非常議員問題二
page 3	在粵海軍提出北歸　件員不更易欠餉發三分二第二艦隊赴粵歡迎
page 3	南昌兵變兩營秩序已回復
page 3	黎元洪對非常議員仍主調停昨某要人謁黎言法統既復非常會議自當告終若以其護法有　亦祇當照獎勳案辦理不能允其出席國會黎意頗動
page 3	六日眾院互選副議長徐清和從後門入持護法議員代表方子傑梅寶璣關模等四名片要求吳景濂退席說話眾大怒
page 3	曹錕代表孫岳日前來滬與孫中山及民黨方面接洽經于六日北上聞孫中山與直系攜手一事未有具體的結果
page 3	孫直聯盟因孫中山三日之覆電已告一段落各方面因此預料系奉系與孫氏之關係仍屬
page 3	九月七號北京電
page 3	接收威海衛督辦及各職員十一日由京赴威
page 3	蕭耀南奉國務院電促李烈鈞北上李決下星期由漢口赴滬聞有出洋意
page 3	奉直設防加急張作霖將出巡防線並派兵　旅增防錦州並擬在錦添築砲臺
page 3	參陸處電陝皖鄂豫各省會剿趙傑殘部擬任張福來為五省剿匪督辦鄂抽編兩混成旅往剿以張聯陞任指揮
page 3	保洛與公府商定擬仍舉一員入府秘書廳以免隔閡院秘長定浙人吳佩潢即含此意
page 3	王寵惠昨在閣議主挽留八校長　如辦不到即辭本各兼職
page 3	吳佩孚蕭耀南及王承斌等三次電黎元洪促真除王閣　鞏政局
page 3	曹錕齊燮元請徵消費生產兩稅抵補裁釐
page 3	黎元洪擬下禁聚眾索薪令
page 3	聞將有令整頓交通內容係廢除免票及改良運輸閣議決後即頒發
page 3	滬會審公堂改組案外部與英使交涉已允任命法官
page 3	昨被毆逐之非常議員徐清和等控吳景濂唆僕兇毆並通電訴曲直
page 3	改師為旅之入手辦法
page 3	陳競存擬親謁唐少川
page 3	再誌請湯廷光任治河督辦消息
page 3	改委楚豫艦長
page 3	吳飛決辭本兼各職
page 3	鍾聲有署鹽運使消息
page 3	陳競存宴請薩鎮冰
page 3	葉舉請籌賑汕災原函
page 3	水務局報告
page 3	遮打在英之發展中煤談
page 3	西貢米市
page 3	要聞彙誌
page 6	　致平謀倒李厚基
page 6	長江四省結合之近勢
page 6	張英華回京後之籌款談
page 6	山頂車夫之強項
page 6	攔途截搶
page 6	農部擬在滬設工商訪問題
page 6	吳俟陞辯明並未獨立電
page 6	唐繼堯覆秀峰函
page 6	九龍開放水喉
page 6	演劇賣物賑災
page 6	闔港工團演戲賑災
page 6	船政司署案彙誌
page 6	銀價
page 6	爭水打架
page 6	醉酒滋事
page 6	皮革製品中之土貨
page 6	匪徒猖獗
page 6	少女墜樓
page 6	報竊案
page 6	賭博被罰
page 6	伙伴逃款
page 6	影畫可觀
page 6	煙未納稅
page 6	竊案
page 6	韓司有恙
page 7	高廉軍事消息
page 7	林俊廷今亦以黨禍為誡
page 7	日輪撞沉鹽船
page 7	白陳兩代表離粵
page 7	雜捐撥歸縣辦說
page 7	金庫歸併省行續訊
page 7	尹驥電告提撥賑款無著
page 7	高州公民電攻胡漢卿
page 7	粵路截獲拐匪
page 7	總司令部分地辦事
page 7	治河處擬改鞏蘆苞圍基
page 7	新會要聞彙誌
page 7	乃有此善逃之縣長
page 7	旅滬潮州學生為潮人請命
page 7	瑣聞一束
page 7	美國擬造七萬噸大船
page 7	小亞細亞戰雲
page 7	日本之新關東都督
page 7	英國撤銷駐中國郵局時期
