page 2	太平洋新潮與國民應有的覺悟
page 3	孫文廿六開刀腹上胸下直徑二寸肝硬如木無法割治廿七上午入昏迷狀態廿八晨由克禮醫生打二針已能言語略進滋養品但病勢仍危脈搏一一五體溫九九零二醫謂如四十八小時內熱度不高可無慮
page 3	廿八午後盛傳孫文死但查不確汪精衛致函民黨各要人謂奉孫令粵黨部中央執行委員會之政治委員會即移京
page 3	奉軍先鋒隊六車及俄兵機關槍砲隊廿八日下午六時一刻由蘇州抵滬沿途搜索潰兵繳械千餘第二批華兵六百餘七時開到張宗昌廿九晨可到齊燮元逃滬後擬再在崑山一戰但部下皆不願戰租界又不許齊留駐齊乃於廿九晨十一時半偕眷屬乘日光丸赴日劉玉珂同行
page 3	孫傳芳令楊邦藩農密拆兵工廠機件運往杭州
page 3	孫傳芳軍進攻宜興蜀山廿五日開火廿七敗退十里
page 3	吳光新擔任宜興一路攻浙孫傳芳調周蔭人軍水陸入浙助戰已開到五千餘人
page 3	陳樂山部第四師八千餘人由濟南分五批運寧歸盧永祥收編
page 3	張允明部在濟南遣散
page 3	倪道烺廿八日由寧回蚌埠
page 3	王揖唐廿八日抵蕪湖擬赴安慶
page 3	宮邦鐸奉盧永祥韓國鈞電命收束第六師及十九師宮廿七日赴閘北司令部辦事
page 3	廿七日使團對滬郊作戰提出警告
page 3	上海北站職員廿七仍未服務客車全停
page 3	盧永祥尚未就督辦職擬讓張宗昌現暫由韓國鈞維持
page 3	段祺瑞命外財農三部會草滬市治督辦組織條例大綱直轄中央不受蘇省長官節制章士釗曾毓雋顏惠慶運動甚力
page 3	善後會電定七日開幕秘長非湯漪即林長民
page 3	廿七日馮祥在平地泉召集軍會議對時局將有表示
page 3	廿八日士蔑西報上海專電
page 3	廣東共產黨之宣傳進行各屬農團軍之招怨廣州市上之印刷品
page 3	北江軍事形勢之嚴重
page 3	孫文病重與粵局變化之趨勢
page 3	廿八日西商務報上海電云
page 3	廿八號路透社北京電
page 7	齊燮元逃
page 7	鄧本殷出巡欽廉
page 7	層出不窮之孫政府勒索手段勒索黃祥華報效六萬元
page 7	朱培德電請截緝逃兵
page 7	滇軍派代表北上之近聞
page 7	贛湘將與林虎會師定粵之別報
page 7	廣州真光公司增招新股
page 7	除夕之廣州市劫案
page 7	桂局變化之趨勢
page 8	楊池生任贛南鎮守使
page 8	胡漢民赴京
page 8	廣州五色旗之僅見
page 8	方本仁回省聲中之贛局
page 8	贛東駐軍複雜
page 8	贛南收束維根
page 8	日俄會議行將成功
page 8	建築滄石鐵路之進行
page 8	溥儀自請取銷優待條件之由來
page 8	中俄劃界問題
page 10	　金融穩定
page 10	輪船防盜問題
page 10	香港出口錫之來源去路
page 10	本港空樓數目之調查
page 10	保良局去年並無女子婚嫁
page 10	天星小輪溢利
page 10	臬案彙誌
page 10	去年年底之露天貿易
page 10	香港
page 10	廟街劫案續聞
page 10	瑣聞一束
page 10	孔聖會影畫
page 10	英兵被控強姦幼女案
page 10	演白話劇
page 10	小童搶竊判監
page 10	控聞私寨案
page 10	擬取締　單車者
page 10	腦脊發炎症之多
page 10	嫖客滋生事端
page 10	青年會擲球大比賽與影畫
page 10	學界瑣聞
page 10	屋宇拍賣
page 12	佛山人對於保衛團局之議論
page 12	各屬將有救粵軍出現
page 12	三水大朗圍將有賑款控案
page 12	康有為因粵事致鍾聲函
page 12	赳赳者大鬧機器總工會
page 12	冒探騙款擄官之猖獗
page 12	展築西關馬路詳細辦法
page 12	湘軍官擁護湘憲之電文
page 12	西原借款之舊事重提
page 12	是夢庚家產被抄沒
page 12	不赦之條
page 12	胡景翼整軍
page 12	方本仁告密歟
page 12	雲南龍軍長說明假道桂省出師之談話
page 12	顏惠慶被控之內幕如是耶
page 16	桂粵間之戰雲瀰漫沈鴻英決意圖梧兩李一黃之防備
page 16	九江民團反對開賭籌餉
page 16	廖部滇軍調駐江村
page 16	北伐軍檄調回韶駐紮
page 16	駐佛山滇軍紛紛私逃
page 16	湘滇兩軍交惡之舉動臘底湘軍提南雄縣長
page 16	佛山商業之近狀
page 17	聯軍方面之軍事紀聞
page 17	市商團尚難成立
page 17	土匪騎劫西江貨船
page 17	禁止兵艦闖越關卡
page 17	省報謂虎門戰事已告停息
page 17	湘軍在南雄設立整理處
page 17	廣三路歲晚獎金風潮之始末
page 17	軍人大鬧滇軍兵站部
page 17	廣州官廳發表之孫文病狀
page 17	工人黨員開全體大會
page 17	地檢廳起訴商團
page 17	屠行　罷市消息
page 17	長洲要塞戒嚴之現狀
page 17	抽收柴新之反響
page 17	馬涌僑軍隊藉名封船勒索
page 17	范石生發還封僱船隻
page 17	少婦投水遇救
page 17	江門近事誌
page 17	令廣寧縣查辦農團衝突案
page 18	哈　直軍秘密機關
page 18	山東議員張瑞萱致段執政書
page 18	馬玉祥謂赴張家口就醫
