page 1	英意協定簽字矣
page 2	我軍猛攻濟源豫北戰地記者視察敵被包圍將遭殲滅
page 2	敵軍交通完全切斷
page 2	換防休養迄未實現
page 2	沿途民眾紛紛參加
page 2	聯絡困難給養時斷
page 2	敵機夜襲廣州在大良上空騷擾未進市區
page 2	粵港記者戰地視察團抵東戰場前線某將軍談敵失活動能力陶小狗流洞橋嚮導殺敵
page 2	總裁復活節演詞英文稿今播送
page 2	上海居民渡過恐慌耶穌復活節浦東區內聽得重砲聲十餘響下午我游擊軍經過租界之外
page 2	蕪湖我軍越三山鎮
page 2	連日敵向皖中增援
page 2	敵毀滬杭沿路民房
page 2	我機飛皖轟炸敵陣
page 2	我軍克江南張渚鎮
page 2	滬徐家匯又聞槍聲
page 2	敵聯隊長千洫在晉被我擊斃
page 2	晉境戰訊
page 2	我北戰場游擊隊將涿州城包圍偽官吏狼狽逃北平
page 2	行政院加撥豫省振款
page 2	防疫會議展期
page 2	湖大被炸損失約達百萬救學基管會允予救濟
page 2	開灤煤礦工潮解決工人覺悟被人利用失策
page 2	黔主席吳鼎昌巡視黔東檢閱團隊攷察縣政
page 2	魯南我軍猛攻被圍殘敵右翼湯部克向城頑敵數百被殲逃生者三人嶧縣我敵砲戰敵傷亡慘重
page 3	德國社黨對天主教不滿勸令脫離教廷否則褫奪權利
page 3	西政府軍事長官負責治馬德里西國民軍將進抵地中海
page 3	僑華韓人紀念殉難領袖
page 3	日本實行偽滿移民計劃第二批將由大連赴偽滿
page 3	東京盛傳敵內閣將改組近衛表示決不辭職續繼進行侵略政策
page 3	美海軍當局決定造三巨艦四萬五千噸每艘經費九千萬
page 3	英竭力斡旋法意改善邦交法亦希望與意成立協定
page 3	英意協定昨簽字意報發表評論承認對和平在有裨益對意德邦交絕無影響
page 3	比國務總理伯森忽抵巴黎
page 3	信口開河淆亂事實敵軍部代言人之狡辯竟謂我用我國人扮成俘虜
page 3	國府新委任令
page 3	滬各電台拒由日方管理
page 3	偽滿向法抗議謂山海關法軍越境
page 3	外部亞洲司長高宗武請辭職當局業已照准
page 3	英國會暫休會
page 3	外國軍事家視察台兒莊返抵漢口是役白崇禧親指揮殺敵七千
page 3	漢口商會嚴厲禁絕仇貨犯者予以嚴懲或罰金重金
page 3	孤島人心熱烈各團體購物勞軍並派代表赴徐州前線慰問
page 3	中央黨部秘長朱家驊昨視事
page 3	陳逆錦濤在滬會晤岡田討論供給戰費問題
page 3	敵艦在滬包庇裝運私貨漢奸謀運入內地圖利
page 3	滬愛國志士壯舉轟炸蘇逆未效彈中車頂落地始爆炸蘇逆與幕僚大吃一驚敵方戒嚴志士早逃脫
page 3	美驅逐艦兩艘開赴菲島調查怪艦
page 3	英為完成擴軍計劃向美購軍用機數額五百架最新式三發動機美政府或將破例答應英請求法亦向美定購一批
page 4	上半時勝兩只
page 4	下半時添三個
page 4	第二屆德權鼎賽今午開幕不收門券歡迎參觀
page 4	昨晚籃球成績
page 4	南華戰海軍聯
page 4	丙組奪標賽葡體三戰軍醫港澳埠際遴選賽亦定期今日舉行
page 4	乙組銀牌決賽光華榮獲冠軍成績三比二
page 4	尋常杯甲組足球賽南華華大破九龍會成績五比零九龍會鍛羽而歸
page 5	敵艦砲擊馬鬃詳情
page 5	豐順又斃一敵機師
page 5	敵艦　集閩海情形
page 5	昨十六日敵艦又騷擾各海岸媽宮遮浪海門三處均被砲轟在澳頭測量水度
page 5	汕市後援會捐款購防毒品物贈西北軍民
page 5	廣州商店營稅限月底分配畢
page 5	廣州市內工廠增加避難設備
page 5	財廳促各縣成立驗稅契處
page 5	中山縣長撥款獎勵殺敵壯丁
page 5	敵機昨分向各地肆虐廣九粵漢兩路多被投彈小坪塌屋十餘三人受傷中山古鎮亦死傷十餘人海豐謝道山傷農民三人
page 5	吳主席鐵城獎恤殉國空軍
page 5	桂省頒移民墾荒法令各縣遵照施行稻作指導之訓練
page 5	廣州市找換業公會呈請強制各店入會原文一切救國捐輸不得以未入會推擋
page 5	粵省新章營稅分配額數開征之近訊搭征加二國債之問題
page 5	蕉嶺自衛救亡要訊
page 5	購回自衛槍彈
page 5	學生回鄉工作
page 5	敵艦敵機迭擾潮惠續詳金門之敵畏我游擊隊襲擊
page 6	在梅逃脫敵機師已被隊警嚴密圍困斷不致再被逃脫
page 6	中山征收轉口稅鮮魚行獲圓滿解決生豬行等亦在磋商中
page 6	貨物被扣
page 6	圓滿解決
page 6	炸大小淋續訊
page 6	義警破獲賭窟
page 6	積匪斬父被殺
page 6	防軍獲三著匪
page 6	深夜破獲匪巢
page 6	檢閱男女壯丁
page 6	滇省成立檢查仇貨委會禁絕仇貨入口厲行對日經濟絕交
page 7	廣九路未修復輪船搭嚳擁擠
page 7	中華慈幼會派員南來募款
page 7	露救會收容所下月一日結束
page 7	南洋各地人浮於事華僑失業者顛沛流離最近南渡而被迫返國者源源不絕星洲當局由下月起限制女客入口
page 7	廣西銀行經手收穫雨具十六萬套尚欠四萬套望各界努力
page 7	人浮於事迫得回國
page 7	流離失所慘不忍睹
page 7	赴暹新客仍如潮湧
page 7	受騙南渡被解回國
page 7	星洲再限婦女入口
page 7	無力負擔高貴屋租勞苦大眾紛建木屋長沙環一帶觸目皆是建費低廉又可住多人
page 7	荃灣新路命名
page 7	三賊截劫店伴
page 7	港大學生赴湘擔任防疫工作
page 7	土蔑西報對屋租問題提議重新組織調查會俾詳查住客苦況予以實際保障前調查會報告書純為業主辯護
page 8	又一批愛國青年返國分赴粵漢及最前線服務
page 8	第三次特別賽馬之第一日地雪蚩夫創新紀錄以二分五秒跑一里又一七一碼第十場特別搖彩得銀三千餘元
page 8	誘姦少女疑案
page 8	調查屋租會報告書四
page 10	牛奶消毒例已通過
page 10	暫緩執行原因種種
page 10	小公司聯購消毒
page 10	踢舞女案押候本月廿六日正式開審
page 10	潮洲同鄉會新職員已選出
page 10	黃哀鴻畫展會二十日在勝斯酒店舉行
page 10	鮮奶消毒例暫緩執行各牛奶公司已接到通告
page 11	南京淪陷後敵人　行的暴露
