page 1	美日關係之展望
page 2	南昌附近仍激戰日軍竟施放毒氣
page 2	豫南日反攻未逞我軍圍攻長台關
page 2	綏我軍向東挺進繼克復磴口車站
page 2	晉南我續有斬獲晉東日我劇戰中
page 2	準旗民眾抗戰情緒極高　奇　英之談話
page 2	抗戰以來晉冀察邊區日軍傷亡二萬八千餘人日旅團長聯隊長均被擊斃生俘日偽軍千餘繳獲甚多
page 2	貝奈斯告捷人書國外捷克人民應擁護同盟國
page 2	各校加授地理歷史
page 2	英海軍準備在北海放水雷報復德國之水雷政策藉以保護商輪航行
page 2	不顧國際公法晉綏日軍竟濫施毒彈中毒者均咳嗽浮腫等現象幸我軍早有防備損失尚微
page 2	甘青年團支部發起慰勞運動
page 2	蔣委員長救　戰區學生撥款十萬元
page 2	美海軍部定製大批飛機約有五十餘架值二千萬金元
page 2	邕賓路我軍繼續掃蕩鄂中向京山天門挺進蘇北我各路反攻日已勢窮力竭
page 3	芬蘭天氣奇寒戰事無大變化前線兩軍仍在互相對峙以待來春作大規模活動
page 3	中緬文化協會成立
page 3	英國皇族人員散居度耶誕節皇族人員行蹤當局禁止發表
page 3	羅斯福委泰拉氏為駐梵蒂崗私人代表希望羅馬教廷與美共同努力以建立和平及減輕人類痛苦
page 3	黑海發生颶風輪船數艘沉沒
page 3	英陸軍大臣歡迎加拿大派遣軍
page 3	法南兩國訂新通商協定將來法南商務料必大有發展
page 3	在華日人反戰同盟西南支部舉行成立會反戰作家鹿地亙任主席
page 3	康藏抗日宣傳團由康返抵昆明
page 3	史太林生辰各國元首賀電首多係希特勒
page 3	修水農民計殺日兵
page 3	汛美國家向交戰國正式提出抗議汛美各國將舉行談話會商加強美洲防務之辦法
page 5	紛向墟頭方面潰退
page 5	增兵二千以援江會
page 5	龍泉日軍昨突撤退
page 5	廿三日晚克復沙頭
page 5	容奇日偽仍未退去
page 5	大良桂洲我克復後
page 5	仍迫江會牽制日軍
page 5	龍門日軍繼續東犯永漢沙逕間之劇戰犯沙逕香溪日軍未能續進增從線我軍昨攻入大塘尾
page 5	猛犯沙
page 5	赴龍門增防
page 5	太平場神岡
page 5	日軍再在小黃圃登陸發鄧被我團隊擊退並擊沉日艇一艘
page 5	瓊島日軍近忽陸續撤退各縣市由偽警維持侵桂傷兵大批運瓊
page 5	舉參會議決教育要案招致港澳失業教師
page 5	北　擊隊攻江村燬日營
page 5	九江日軍拉伕農民不敢外出工作
page 5	戰區司令部頒佈封鎖交通辦法杜絕人力物力資日
page 5	日機飛襲赤坎詳情全市市民急亟疏散情形狼狽下午日機掠過邊境又起騷動
page 5	日機突來轟炸
page 5	市民奔避情形
page 5	沙環災區視察
page 5	外僑一致憤激
page 5	容奇偽軍被因漸已不支我已進駐大鳳山並克復沙頭我向容奇南環奇襲之戰績日又增兵二千餘以援江會我進迫江會龍泉偽軍突退三埠輪渡昨由澳開行試航在小黃圃登陸偽軍亦撤退
page 7	銀界認難辦到
page 7	希望通融辦理
page 7	防癆宣傳運動星期四日開始
page 7	順德籌賑會派員回鄉調查災情
page 7	教育部舉辦全國戲劇展覽徵求各地戲劇史料
page 7	中央賑濟委員會再派員視察新界難民助東安崇正兩會辦理施米
page 7	陳鑑坡等會同談商
page 7	分赴寮棚勘察生活
page 7	東莞老醫救人自救
page 7	海盜騎劫貨艇
page 7	太平洋發現怪潛艇發現時艇頭已潛入水中是否為德潛艇無從證實
page 7	大新公司竊案在澳獲一疑犯
page 7	越華僑話劇團明日回國服務
page 7	賣國幣須索驗貨單全港銀業界認難辦到伍宜蓀謂縱有貨單亦難辯真偽金銀貿易場將請政府通融辦理
page 8	星洲政府頒佈之兩命令
page 8	禁止輸入商品二百餘種
page 8	白晝防空演習第一次已獲良好成績參加演習人員訓練僅兩月較他地訓練五年者不多讓
page 8	限制輸入商品七十六種
page 8	限制禁止貨品入口原因
page 8	惠陽商會賑濟新界難民
page 8	今日國際杯複賽國軍逢葡萄牙三時半會師掃桿埔
page 8	先施之聖誕裝飾
page 8	昨日甲組聯賽東方倖勝光華十二碼球李四奠勝局一比五雛鳳敗於香港
page 8	德權鼎決賽成績
page 8	廠聯會定期開緊急會議討論星禁貨入口問題星政府禁入口之貨幾二百餘種若無補救辦法港廠商將陷絕境
