page 1	中美經濟關係
page 2	魯我軍與日軍激戰擊斃日軍二百餘人
page 2	行都慰勞團在桂向各軍事長官獻旗全體團員赴衡轉韶慰勞
page 2	豫北　軍竄擾受創新鄉日軍滋擾被痛擊
page 2	津法租界捕去愛國男女十九人承認與日戲院炸彈案有關法當局已將彼等引渡日方
page 2	盤據翼城日軍已呈動搖
page 2	南洋僑胞慰勞團下月返國
page 2	虹口閘北楊樹浦實行解嚴出入該三區者無須帶通過證
page 2	西線德軍襲法軍根據地雙方隔萊茵河交火
page 2	通崇公路被我澈底破壞
page 2	三大寺喇嘛祈禱抗戰勝利
page 2	關於美洲設立安全地帶事德答覆美洲各國照會德甚歡迎美洲各國維持中立
page 2	美參院銀行委會提議停購白銀華爾街銀行界對此不甚重視
page 2	意已決定動員全國力量應付戰爭計劃
page 2	柏明漢有一炸彈爆發
page 2	日眾議院一幕辯論怪劇有人主張擊毀汽車取膠輪製鞋酒中滲水納酒稅無易於納水稅
page 2	渝各界籌備慶祝達賴坐床推戴院長為大會主席
page 2	日機殘骸將運昆明展覽
page 2	菲律濱報紙譏評有田提議惟官方未有何表示
page 2	馬來亞聯邦撥百萬鎊助戰此案可獲多數贊成
page 2	羅斯福長子提出與妻離異
page 2	駐蘇英大使因病遲未返任其病係政治性質
page 2	綏西桂南戰局已穩定我軍繼續將殘日肅清歸包全線已歸我軍完全控制
page 3	羅斯福乘艦出遊傳有某項秘密任務
page 3	西園寺公望病仍未愈各地人民為其禱告
page 3	肯亡國就調整要救國就抗戰一
page 3	蘇在蘇土邊界建築砲壘土耳其頗關切德蘇合作謠言
page 3	日本經濟地位愈形危急惡性通貨澎漲確有發生可能
page 3	德政府訓令潛艇攻擊中立國輪美國務卿赫爾與英大使會商要求勿迫美輪入禁海受檢查
page 3	傳德蘇兩國成立軍事協定柏林方面未得證實報告
page 3	日欲誘致法國確取中立態度宣布禁止滇越鐵路運輸但日此　企圖必成泡影
page 3	埃及已成為聯軍最大軍隊訓練營倘巴爾幹半島或高加索有戰事埃及將或為聯軍作戰之根據地
page 3	戈培爾廣播痛擊各中立預料德國將大起打擊國內言論受嚴格限制
page 3	澳內開將討論增加飛機生產以供　英政府
page 3	加里利亞地峽發生慘烈血戰森馬線戰事亦極猛烈蘇芬兩軍均死亡慘重
page 3	孟者士打衛人報評論中日戰事中國各領袖及人民均極團結日本對華已不能再希望勝利
page 3	紐約方面我國法幣價跌
page 3	故加總督遺骸昨舉行火葬禮
page 3	郭泰祺大使發表演說欲謀和平須先解決中國問題
page 3	日民政黨議員質問外相猶太人移居菲島事
page 3	意匈兩國否認將締同盟
page 3	澳洲遠征軍現已開始訓練
page 3	美議員多傾向以財政助我國代替禁運政策對日禁運提案暫停討論
page 5	獨洲古井相繼被陷
page 5	再犯沙口進窺瀧水
page 5	再窺沙堆威脅中山
page 5	我國乘時進攻江會
page 5	第四游擊司令發表我機隊轟炸石龍經過並未炸石灘各地
page 5	我軍出擊潮澄閣洲烏洋均告勝利
page 5	桂南我軍克賓陽續訊欽東各地連日劇戰日軍一師團又由欽縣登陸增援高雷積極疏散人口及空室清野羅翼群暢談出巡經過及今後興革
page 5	欽東一帶戰事激烈
page 5	　雷各地備戰　誌
page 5	羅翼群之重要談話
page 5	四區專署訂農品運銷法
page 5	容奇偽會漢奸藉換發良民證敲詐鄉民每證罰款五元藉　發財機會
page 5	東莞縣長派李鶴齡代理
page 5	我國攻潮安再衝進南較場
page 5	李主席漢魂訓勉保安將士
page 5	廣州偽市長險被狂擊
page 5	我便衣隊襲擊沙容日軍
page 5	財廳　獎寶安稅務人員深圳南頭等地稅現正請示免征否
page 5	古井獨洲相繼被陷沙口天亭昨晨劇戰瀧水告急前晚我軍猛攻江會援救瀧水日軍犯沙堆防中山團隊出擊
page 7	星洲來電停止辦貨
page 7	廠商籲請通融辦理
page 7	難童學校招生定廿六日開課
page 7	順德籌賑會組回國服務團舉辦書畫展覽會籌款
page 7	學賑會賣物會募得二千餘元
page 7	催繳回散賑難民餘款賑聯會致函東院新舊總理
page 7	致新總理函
page 7	致舊總理函
page 7	許世英昨飛渝
page 7	殺老婦案判決劉天養處死刑劉斗獲釋
page 7	難童工藝院換物會今閉幕徐謙談該院創辦經過
page 7	詹森昨日赴渝
page 7	港廠商駐星代理人突來電停辦織造品因入口限額已滿半年後始能再辦廠聯會將籲請港星當局通融辦理
page 8	災區情況慘不忍聞
page 8	各方分頭搶救經過
page 8	組戰地農村復　會
page 8	秘魯禁華僑入口原因發覺輪客借用他人護照入境華商總會昨致函警告各辦庄
page 8	滯留河內之青年獻劍團將返港滇越路短期內難修復俟重訂行程始再出發
page 8	工作艱難有賴贊助
page 8	警探搜捕海盜拘獲疑犯八人
page 8	中青救護團兩女隊將出發今午舉行授旗典禮
page 8	財委會昨通過追加不敷政費
page 8	春季大賽馬明日開始警當局佈告馬場交通規例
page 8	本港大公報失去大批洋紙一人被控犯接贓罪
page 8	司徒永覺昨巡視保康院
page 8	西貢隊臨別載明日對抗華聯下午四時會師加山
page 8	南華體育會發起全港學界陸運籌賑會望各學校學生踴躍參加所得善款撥賑國內災黎
page 8	小型球賽德權鼎報名定廿六日止截
page 8	籃聯會今會議
page 8	明日大生杯賽程
page 8	粵北災情慘重九縣災民數達百萬眾省振會已派員來港呼籲向各僑團接洽救濟辦法
