page 1	現階段之內蒙
page 2	傳作義赴平任務促進冀察晉綏團結冀察反特殊化色彩日漸濃厚某方派員偷測金門縣島形勢
page 2	某要人談修正國大法規意義規定國大職權祇在制定憲法不負推行任務取消候選人由國府指定在推廣普選之精神修正國大法規已發交立院審議
page 2	巴特里克過津抵平考察華北經濟
page 2	蔣委長返邸休養張群等赴院問候
page 2	由張自忠率領冀察國外旅行團昨日東渡在日耽擱約四十日秋季擬赴歐美一行該團旅費五萬元係由冀察政委會撥付
page 2	滇黔鐵路年內即可興工預計四年內完成
page 2	立法院例會通過廿四年度追加追減預算案歲入歲出各列九六九○一七六一九九元
page 2	討論事項
page 2	討論經過
page 2	甘省政務未復常態甘人極盼朱紹良速蒞甘主持以免省政常陷于分裂停頓狀態
page 2	徐許被綁案浙朱異常關心嚴令軍警搜索日內決可破案
page 2	滬電車工人罷工潮已解決
page 2	川樾談話國府對中日談判尚無提議重開之意中國對取消冀東組織等問題極懷熱望調整國交除調和雙方之希望外已無他法
page 3	西當局扣留某國外交家
page 3	巴斯克海面未發現水雷
page 3	英商船冒險駛往比爾波
page 3	藍斯白雷返英後談話德願參加和平大會英首相表示倘此會有成功希望方願參加羅斯福撰文謂維持和平為英美共同目的
page 3	因越界築路問題日僑巡行示威
page 3	津海關緝獲浪人私貨
page 3	日謀調整日蘇邦交佐藤報告與蘇使會見內容
page 3	孔特使遊埃及草藍浦森茶會招待
page 3	瓊崖考察團昨日抵達海口今日起出發考察
page 3	粵洋米進口免稅可告一段落數量仍四百萬石分為四個月進口
page 3	三月份對外貿易入超三千餘萬
page 3	日宗教使節下月來華訪問
page 3	三月份煙酒進口統計
page 3	新華銀行粵分行五月十日開幕經理為徐湛星
page 3	克滇週覽團昨已抵達貴陽
page 3	日業大直沽河內又連續發現浮屍十餘具之多
page 3	閩學生號機廿三日晨由滬飛閩
page 3	陳　庚在星洲為廈門大學購置校產　　七百餘畝
page 3	興中公司增資五千萬元最近或可實現
page 3	奧總理與意首相作首次外交譚話奧擬續依羅馬擬定書與意合作意國目的兼任保障德匈之利益
page 3	談話主要內容
page 3	意國方面意見
page 3	東京發生工潮電車有公路汽車工人怠工
page 3	英眾院繼續討論利潤增長稅案
page 3	庇爾森來華考察經濟
page 3	戈林抵那不勒斯
page 3	土伊談判結果圓滿簽訂條約多項
page 3	西國叛軍炮轟馬德勒城歷兩小時半地方傷殘甚大叛軍隊伍中連日發生嘩變
page 4	英文校際聯運會英童書院冠軍教育司頒發獎品
page 4	我國足球隊參加世運會所得印象上李惠堂在播音台作足球講座第七講
page 4	啟新排球隊征港
page 4	今日尋常杯足球中華會對奧斯德奧隊即使失敗積分仍高於南華南南華南與九華會對聖約瑟西警會
page 4	世運游泳冠軍表演技術動作非盡中繩墨努力即有收穫方式採取於日本之踢水法頗多昨晚深夜趁箱　丸赴日
page 4	東方隊昨日赴菲一行十六人由　希文領隊
page 4	南華游泳場明日開聯歡大會銀月音樂團奏技　慶
page 4	小足球賽今天三場明天秩序五場繼續舉行
page 4	英銀價縮個半咽
page 4	滬粵最精彩球戰裁判不到場球員觀眾懊惱而散因此東亞今日乘海元輪北返明日過港時祇遊覽不作比賽蔣湘青昨函青年會報告一切
page 5	民食會昨遷址
page 5	商人多有誤會
page 5	民食會昨會議
page 5	兩會同時請願
page 5	吳主席蒞任後注重本省生產建設飭建設廳按步實施程天固赴番中視察
page 5	放款增至五千萬元
page 5	省公路網趕速完成
page 5	審核水利公債計劃
page 5	程楊同赴番中視察
page 5	汕米業公會痛斥五省米商電
page 5	粵海關鹽督署人員因帶貨嫌疑撤職
page 5	省府五一改組昨訊廳長更動之紛紛傳說
page 5	營業稅潮之餘波
page 5	　商仍請減輕稅額
page 5	市商會請展期申報
page 5	宋子良派員來粵莊淑遐今日南下
page 5	吳主席巡各機關
page 5	程天固昨到商品檢驗局視察汕福廈組分局主任離粵赴任
page 5	刁作謙返省談話
page 5	四百萬擔免稅洋穀米之領證辦法洋米廿六日即可開始進口
page 6	中大改發大洋事鄒韓承晉京已商有辦法
page 6	代財部會養甫檢閱稅警總團
page 6	省府籌劃擴充實業銀行發展省營工業
page 6	新堤沙艇妓艇限期強制遷移
page 6	花地警界外發生深夜刺人案被傷男子指女子誣捏調戲女子則指男子曾向其侮辱
page 6	粵鹽商派代表赴湘商改善合作苛例鹽價跌落因供過於求被超過計劃鹽船刻在嚴訊中
page 6	祝壽巷塌屋壓斃婦女二人
page 6	劉維熾定期晉京
page 6	省會警察局連日嚴厲捉霸王廿二日獲三十餘名
page 6	汕市當局平抑星檳票價昨訊僑務局舉辦出國登記
page 6	水利局派員測勘北江圍界
page 6	潮梅水利局預防韓江水患
page 6	粵港滬實業界組瓊崖實業考察團
page 6	辛亥革命老黨員　檀香山興中會會長宋居　氏
page 6	兩廣鹽務局唐局長萱
page 6	粵省各界日前發起組織援綏會
page 6	英遠東海軍司令李杜將軍
page 6	汕國民經濟委員會
page 6	油頭所得稅辦事處成立後
page 6	桂林廿三日訊駐港荷領　伍登
page 6	財政廳組織有變更為三科制說廳務會議決定將呈省府施行麥健曾談整理財政
page 7	葉茶國外銷場被台茶侵奪本港亦有台灣茶葉銷售實部注意國茶復興工作
page 7	過去繁榮
page 7	衰落原因
page 7	台茶競爭
page 7	國內市場
page 7	張繼麥煥章昨過港赴粵張謂此行純為料理私事如時間許可擬赴桂一遊
