page 1	日本財政前途
page 2	晉南我軍襲攻絳外圍日軍交通聯絡悉予破壞衝入日軍陣地發生激戰
page 2	於斌主教在歐創辦中國通訊暴露日人侵略我國決心內載我為自衛抗戰文獻
page 2	率部反正與日激戰劉景林作壯烈犧牲
page 2	豫北日軍竄擾遭我痛擊
page 2	各地響應春禮勞軍
page 2	行都勞軍團赴衡轉桂
page 2	津意租界華人舉行饑餓示威
page 2	津方向澳洲定購大批麵粉
page 2	衡陽各界舉行討汪大會
page 2	美大使日內離越赴滇
page 2	七七紡織機各村鄉甚暢用川省已有二萬餘架
page 2	滬租界出售平價麵粉每包十元三角每人限購一包
page 2	美國無意改善美日關係赫爾對記者發表談話
page 2	英國訓練專門技術人員備派在各軍械廠服務
page 2	淮安民眾群起圍攻日軍
page 2	西里氏夫人演說勸菲人救濟中國難民每人只須出錢六七個美金元則可為一中國難民找得職業
page 2	鄂五峰縣區長駱玉辭職入伍某師管區呈准編為志願兵團
page 2	陳嘉庚電蔣委長致敬
page 2	邕欽路我軍猛烈進攻綏西我進襲包頭陶林浙東日軍被擊狼狽敗集江邊
page 3	衝破曼那漢防線後蘇軍攻勢轉疲加里利亞線芬援兵開到準備對抗蘇軍之新攻勢
page 3	日龐大預算案將可通過
page 3	法大使訪日外務次官向其提出滇越鐵路被日機轟炸之情形
page 3	羅政府禁止優等煤油出口
page 3	詹姆士離婚案女方提反申訴謂其夫理由不充足
page 3	羅斯福在中美視察國防工事極注意於巴拿馬運河
page 3	華西協和火災損失逾五萬元重要儀器已焚燬
page 3	日本之酒大都沖水出賣因酒稅太重
page 3	楊格將被控破壞日本軍律
page 3	日軍事當局擬增編朝鮮軍
page 3	日欲開辦彩票吸收剩餘資金
page 3	亞爾麥號輪案挪威輿論主張由美國仲裁挪致送一備忘錄於德國謂挪政府將向國際申訴
page 3	英首相將發表意見
page 3	英芬繼續交換照會
page 3	國聯公法學家意見
page 3	挪外長在國會報告
page 3	山東半島海角沿岸交通解禁
page 3	德輪船長發表辯護
page 3	日本物資缺乏益趨嚴重國會選舉紙票亦已發生問題
page 3	新運六週年各地熱烈慶祝
page 3	西藏攝政感謝中央頒賜
page 3	開羅發現埃及國王古墓該基完好如故內藏珍貴金器
page 3	進擾文登日軍進退維谷
page 3	土政府執行強化國防權力土國係英國之同盟國須準備將來參加戰爭
page 5	瀧水口戰事仍相持
page 5	沙堆漢奸解抵中山
page 5	江會砲戰仍甚激烈
page 5	中山唐家略被騷擾
page 5	潮汕路日軍增援死守潮城宏安日軍續被殲梅林湖我軍擊落日機
page 5	戰事仍然激烈
page 5	日偽勒索絲廠稅餉容桂絲業突告停頓各家絲廠開工無期日軍勒餉偽軍勒稅
page 5	將其後路截斷
page 5	日軍圖犯四邑三埠我方戰守情形另詳台開當局加緊戰時準備
page 5	沿河戒備
page 5	屹然不動
page 5	官方消息
page 5	防患未然
page 5	鐵蹄下之廣州可憐蛋民日兵檢查船舶又拉人又封艇
page 5	余漢謀撫慰戰區民眾
page 5	展開機動戰術
page 5	粵北戰利品陸續運韶
page 5	中山嚴禁牛油甘油出口
page 5	容奇日艇竄馬寧在各鄉搜糧食
page 5	省府主席李漢魂告粵北戰地同胞書一中央及省府已盡力安慰災民撫卹及善後辦法經詳細規定
page 5	寶安縣府召開行政會議續訊
page 5	天亭瀧水我陣地穩定陷古井日軍尚與我在馬山激戰瀧水口昨晨戰事甚烈江會日我雙方昨砲戰日艦向中山唐家騷擾
page 7	產業所得稅
page 7	薪俸所得稅
page 7	應繳稅入息
page 7	誰說財歸財路打比馬彩盡落工人手連卡刺佛製餅部同人獲頭獎二彩為大北電報局工人所得
page 7	製餅工人喜獲巨彩
page 7	快慰之餘操作如恒
page 7	二三彩亦集團購得
page 7	傭婦團多中入圍彩
page 7	三院新舊總理明日正式交代新總理即日巡視各院
page 7	星禁港貨入口本港所受損失廠聯會昨已條陳當局請向星政府提出交涉
page 7	越華僑服務團第四隊已離港返國
page 7	立法局下次會議將討論戰時新稅法案俟三讀會正式通過即頒布實施研委會建議之產業薪俸徵稅法
page 8	機器會馬票提前攪珠根據今日馬會冠軍賽開彩
page 8	旭和杯決賽南華陣容排定實力甚強勝利可期
page 8	女子籃球頒獎定廿四夕舉行
page 8	西貢隊昨返越
page 8	今日友誼足球賽東方約戰海軍於跑馬地
page 8	九年來澳洲打比賽華人馬主七獲冠軍昨畢浩清一騎當先又創新紀錄名駒霎扒呼聲雖高僅列次席
