page 1	蘇芬戰事將爆發
page 2	南路戰事在目前蔓延鬱江流域目下日軍所處地區宛如陷阱鬱江兩岸殲滅戰旦夕即展開
page 2	黃旭初在紀念週報告南寧戰事日冒險犯桂圖斷我西南交通我在軍事上必可予日軍打擊
page 2	滬西華籍法官被人恐嚇
page 2	偽新政權難於成立
page 2	在華美籍醫生對波拉氏主張甚驚異中國人正為領土及自由而爭鬥美豈可因商務利益而助傑為虐
page 2	我軍一度衝入會城
page 2	澳洲及加拿大支持聯軍決盡最大力量
page 2	放下水雷瑞典向德抗議
page 2	行政院昨會議報告軍事外交決議各項要案
page 2	法國議會將開特別會議討論全權授予內閣
page 2	渝各團體聯電正告波拉以人道主義立場為正義和平呼籲
page 2	波森博士在陝逝世
page 2	晉西我軍進迫柳林離石日機兩批侵入陝境
page 2	鄂南我軍襲擊崇陽
page 2	山東日軍繼續排外
page 2	平寧兩偽府將在平開聯會
page 2	皖南日軍受創
page 2	滬英商會主席昨訪日使齋籐
page 2	德政府發表文書答覆英藍皮書辯　此次戰爭起因竟　革欲推卻責任
page 2	日報蠱惑蘇聯締結不侵協定
page 2	中島知九平前月遇剌未中
page 2	日內籐中將在滿邊斃命
page 2	外部婦女工作隊徵募寒衣結束
page 2	陳留日軍成立反美協會時散發反美傳單
page 2	諾貝爾和平獎金今年不擬頒獎
page 2	信陽日軍增加
page 2	德機飛英偵察被英飛機擊退
page 2	鬱江一帶日軍將被我大舉包圍殲滅鬱江北岸日軍被我軍三面夾攻西南最高軍事當局將下反攻令
page 3	英輪拉華扁地號勇戰德袖珍艦雙方砲戰約歷四十分鐘卒以強弱懸殊乃被擊沉
page 3	最近中蘇美日關係論
page 3	美重要人員在菲島將有重要會議包括討論日美關係問題及強化太平洋美國軍事
page 3	蘇聯廣播台對芬作宣傳戰勸芬蘭人打倒其內閣總理莫斯科工人學生舉行集會
page 3	英皇親臨國會致簡短演說詞
page 3	傳美已實行禁與日本通商但美當局則加以否認
page 3	英工黨領袖贊成英政府戰爭目的但戰後必須努力建立真正和平根據世界觀念以謀大眾真幸福
page 3	蘇聯願與德國締結經濟協定德願將波蘭割一部分於蘇又許其伸展勢力歐洲南部
page 3	德機迫降法境
page 3	英戰時保險率決再增加
page 3	盧森堡附近德軍大舉進攻戰情之劇為開戰以來罕見但德軍卒被擊退損失重大
page 3	岷尼拉通過法令華人零沽商業將受嚴重打擊
page 3	對德水雷政策不必太驚英現已研究得制馭水雷方法
page 3	陳樹人致電唁蟻光炎家屬
page 3	德施水軒政策表示潛艇失敗美海軍專家之評論
page 3	意將在明春加入戰團
page 3	封鎖德出口貨法已發出命令美對英封鎖德出口貨態度溫和德鼓動各中立國向英積極反抗
page 5	新開新鶴兩路最近戰況
page 5	北路戰況近誌獅嶺血戰日軍潰敗我機迭炸日陣阻其增援日軍隊長中島被我擊斃
page 5	容奇日軍戒嚴我團隊夜襲沙頭日車場容奇日軍公佈隨時檢查戶口
page 5	中山四邑再遭人禍天災
page 5	九江日軍一部確已撤退
page 5	禺南日軍狂殺被捕鄉農
page 5	第四批失業教師抵韶受訓
page 5	兩陽沿岸一度緊張
page 5	粵教廳登記師範畢業學生
page 5	軍政部招考國防技術軍官
page 5	江會日軍最近之戒嚴增設檢查崗哨苛擾民眾我游擊隊夜襲會城日軍江會內線交通被我破壞
page 5	寶安日軍前夜再為我游擊隊襲擊目的在破壞日人交通線
page 5	中山縣府救濟四邑糧食販運辦法大致決定
page 5	粵加緊推行各縣動員工作
page 5	廣東省行饒平分處成立
page 5	開新鶴兩路連晚我軍乘勝出擊日軍九江日軍大部撤退鶴山情勢已轉定日艦昨又向中山全祿砲轟旋即駛退中山四區暴風為災禍不單行
page 7	漁船被毀七百餘艘
page 7	無辜漁民萬餘殉難
page 7	組合作社救濟漁民
page 7	學生賑濟會調整會務日間舉行會員重新登記
page 7	兩善團將開派棉衣
page 7	各善團加緊徵募棉衣贈前線將士與露宿貧民
page 7	鶴山米荒嚴重鶴山商會設法救濟
page 7	中青救護團餐舞會今舉行
page 7	女慰勞會關懷將士
page 7	學界募衣下月開始
page 7	港政府查封匿存德貨已查出多批價值百餘萬元係用中立國人名義存倉者
page 7	欖鎮同鄉會定期改選董事
page 7	賑聯會昨會議
page 7	劫貨艇案詳臬
page 7	蒙面賊劫貨艇掠去紙幣數百元
page 7	中日戰事發生後本港漁船遭難統計漁船被日海軍焚燬者七百餘艘漁人萬餘殉難失蹤者尚難統計
page 8	香港賽馬史料
page 8	香港賽馬會之創辦
page 8	馬曾向例優待婦女
page 8	漁船誤觸日軍水雷全船破碎五漁人失蹤
page 8	馬場大火印象極深
page 8	澳洲馬會一度絕跡
page 8	香檳巨獎無人承領
page 8	征菲女子籃球隊昨晨乘輪返港在菲比賽十場五勝一和四負義賽款項捐當地中國婦慰會
page 8	關蕙農畫展續訊
page 8	覺先劇團義演訊
page 8	高級學籃賽保羅昨克中南今日培英戰民大
page 8	施利華擢升甲組球證兼任裁判會要職
page 8	中國街命案判決殺人兇犯鄧珠受死刑被告判態度鎮定容色不變法官對警探拘人手續極不滿
