page 1	廬山會議中之國防問題
page 2	粵空軍人員三百餘名到盧謁蔣黃光銳由京飛潯
page 2	津市中日警探衝突案日方要求巨額卹金肇事官兵六人已由我方懲辦
page 2	粵漢路管理局決定在衡設立任淩鴻勛為局長周鍾岐為副局長局內分設六處各處長人選已決定
page 2	本年上半年對外貿易輸入激減輸出激增但入超之數仍甚鉅
page 2	財部擬定粵毫洋大洋折合率為一與○五之比
page 2	蔣電令余林即行禁絕煙賭
page 2	外國棉種輸入祗限上海進口檢驗防止帶進病蟲
page 2	粵高法院長葉夏聲今日啟程來粵
page 2	湘境尚有桂軍
page 2	日方需鹽迫切積極收買蘆鹽
page 2	日謀侵略華北經濟今井尚多狡辯謂此純為謀兩國福利
page 2	張允榮繼任津關監督
page 2	余漢謀召開軍事會議更改一軍番號
page 2	白崇禧有來粵訪余說事畢即飛京
page 2	顏甘棠任粵電政局長
page 2	劉紀文昨晉京
page 2	廬山會議定期開幕議程包括軍事政治外交財政國防各部院長官均趕往參加五全大會二中全會各案彙送廬山參攷今後團結禦侮將有新開展
page 3	高秉坊謁孔商開征所得稅
page 3	日學生來華考察團昨晚由榆到津
page 3	永定河水勢又復高漲溜勢湍急勢將成災
page 3	日駐華北留居民團舉行聯席會議
page 3	北洋恆餘兩紗廠否認有出賣說現正增加紗錠冀與日商抗爭
page 3	浙省籌設農倉管理委會伍廷颺任主任委員
page 3	冀察政會昨日舉行常會石友三等均有出席宋對全體職員訓話
page 3	農本局下月決可成立該局總經理人選鄒秉文呼聲甚高
page 3	政院再令閩省府撤銷征煤油稅
page 3	閩省年來積極興築公路全省公路已完成者超過預計十分之五
page 3	全國職教討論會擬定在蓉舉行
page 3	張自忠昨日赴平謁宋報告津市政情
page 3	蘇北各縣私貨充斥國貨大受打擊
page 3	福州海港檢疫所擬在馬尾設立
page 3	兒童年實施會開十四次大會
page 3	兩兒童會今日舉行開幕舉行游藝多項不舉行開幕式
page 3	朱德蕭賀會議三路進竄甘青朱德等匪首仍在甘孜
page 3	各地選舉事務所紛紛籌備成立
page 3	英法比談話結束將再開五強會議
page 3	英眾院大辯論工黨議員失態被驅逐出場
page 3	英法比三國妥協足啟歐洲新機會會議公報送交德意兩希望德意贊成五個會
page 3	黃立貴殘匪現向閩邊潰竄
page 3	日商三菱洋行在津設廠製貨圖避免走私影響
page 4	公開籃球青年會初逢南華
page 4	壘球會趕速比賽擬改每日下午舉行現未及半非如是恐須時過久今日之戰拖路沙華僑可獲勝
page 4	曲棍球總會定期開週年大會
page 4	乒乓聯會頒獎陳鑑坡主持典禮
page 4	華員會今晚舉行首次水上游藝會打比賽來賓皆有獲獎希望
page 4	公　華人　子四百咪自由式泳
page 4	男子一百咪自由式泳
page 4	三男女童一百咪接力泳
page 4	基本會員一百咪自由式泳
page 4	六打比泳
page 4	女子五十咪自由式泳
page 4	南華體育會今日開同人大會
page 4	南華女子球隊歡聚
page 4	英京銀價無變動
page 4	港外匯市情穩定銀行轉頭大進英美匯
page 4	別矣香港群惠隊明晨返廈昨晚擊敗西南完成三戰三勝首場印警四十對廿九勝陽光
page 5	趕緊改組總部切實裁汰冗員
page 5	警隊改保安團警衛處暫未裁
page 5	虎門要塞易員公安局亦易長
page 5	實行裁減兵額減輕各項軍費
page 5	總部綏署地點決定分別設置
page 5	余氏抵省之後發表文告補述
page 5	各師陸續抵省將領亦相繼抵步
page 5	各處組織縮少長官陸續委出
page 5	陳漢光昨抵江門
page 5	粵海關突征洋米稅財廳豁免征收專稅之日起海關乃加重征收米行商人開緊急會議謀應付汕商會電請聯合請求免稅
page 5	余漢謀昨召集各軍要商議整理重要軍政趕組四路軍總部成立綏靖處全省警衛隊改編為保安團公安局初委葉肇葉辭改委李潔芝實行裁兵額節省各項軍費各師陸續抵步將領亦相繼來省
page 6	海關開征洋米稅後汕市商民集議應付電廣州市商會請政府緩征土製煤油亦因油渣加稅停工火柴廠之運料護照亦須改領
page 6	暹米進口被扣繳稅
page 6	召集會議討論對付
page 6	油渣增稅停煉土油
page 6	西南護照一律無效
page 6	空軍司令部昨日民恢復辦公丁紀徐之談話中央機五架回贛黃鎮球來粵之任務
page 6	電力公司股東籲請交回商辦訊
page 6	各界開迎余大會今日會商進行
