page 1	堪輿星相者流之誤人
page 2	李白電余詢蔣行期電林蔣願接受和平條件一切待蔣委長來粵面商
page 2	中央常會議決改組粵省市兩黨部黃慕松曾養甫等任省黨部常委余俊賢邢森洲等任市黨部常委
page 2	平津兩市名存實亡廿九軍突向滄石以南移動日軍強迫宋哲元接受兩案
page 2	日大藏省謀攫華北鹽業
page 2	黃麟書抵廬山代陳商交代事俟陳出洋回國後中央將畀以職務
page 2	蔣再促汪回國汪決偕戴同返
page 2	修築大沽砲台因障礙暫緩辦理
page 2	滄石路線意見未趨一致
page 2	全國鐵　負債數逾十萬萬元
page 2	滇黔綏靖副主任薛岳由渝飛筑劉興等均到場歡迎
page 2	國大代表選舉婦女登記辦法
page 2	杭市受颶風影響連日均降　雨錢水塘水勢暴漲水和局嚴防意外
page 2	蕭振瀛應宋邀請赴保同往冀南一帶視察
page 2	稻麥改進所製新式打麥機分大型小型兩種
page 2	國府三處全體職員舉行公民宣誓在廬辦公各機關要員擬在廬舉行由蔣監誓
page 2	兩路局會商增開平瀋通車
page 2	伊朗派員來華設遠東貿易局發展中伊兩國貿易
page 2	連日川江大漲長江水位增高距離堤面不及尺許
page 2	津市警探破獲製毒機關搜出各項原料約值二十萬元
page 2	稽查郵運貨物辦法現已商有結果
page 2	襄江水漲絕無影響農事天門等縣均告豐收
page 2	國立藥學專校現已開始招生
page 2	姚伯龍啟程來粵履新
page 2	李白已允出洋要求任李品仙為桂綏靖主任蔣委長對李白要求已允考慮馮已南下斡旋桂局有急轉直下勢
page 3	西班牙流血益慘馬德勒將有大戰叛軍擬截斷馬德勒水源保王黨亦派兵攻馬德勒
page 3	軍艦被擊逃入直布羅陀
page 3	意國政府允不干涉西國
page 3	叛軍大隊由摩洛哥開到
page 3	京北之戰叛軍騎兵失利
page 3	戰艦巨彈嚇煞避難英僑
page 3	蘇俄政府亦贊成守中立
page 3	英國當局討論西國問題
page 3	世界運動黑選手有驚人紀錄二百公尺獲第一位
page 3	王用賓發表司法近況全國縣司法處成立者佔全國縣數三分之一
page 3	舉重決賽結果
page 3	三百公尺游泳
page 3	三項球類比賽
page 3	二百公尺決賽
page 3	撐竿跳高決賽
page 3	棍球日本勝美
page 3	游艇比賽結果
page 3	國選法令解釋委會召開首次會議由葉楚傖主席議決要案多項
page 3	安慶以上長江發現新洲
page 3	黃光銳任中央航空校長
page 3	中懲會發表兩懲戒案
page 3	潘公展昨晨到局視事
page 3	農本局現事人選大致已定
page 3	我與臘脫維亞簽訂友好條約
page 3	李桐華視察事畢今日返京覆命
page 3	考選會昨日舉行常會
page 3	教部通令各教廳局小學廢止體罰
page 3	宋哲元在保檢閱警衛部隊
page 3	梁敬訪劉維熾商討粵糖運銷
page 3	所得稅開徵期近連日籌備極忙
page 3	考選會各職員昨宴餞許崇清許定明日啟程來粵
page 3	中央撥款為吳醒亞治喪吳氏遺體昨舉行大殮滬各界定期開會追悼
page 3	美國郵機墜地死者多人
page 3	英國煤礦爆炸死者數十人
page 3	日謀控制太平洋海部大造戰艦要求巨額軍費
page 3	意當局否認亞軍攻城
page 3	日本總預算為現閣當前問題廣田內閣命運全決於是
page 4	南華足球隊最近在暹之成績　作兩戰一勝一敗
page 4	勵行社籃球隊將起程赴汕比賽今晚特約戰印警以資練習
page 4	青年會游泳團十二晚舉行測驗
page 4	公開兒童小足球賽定八日開始比賽
page 4	屈臣氏杯港澳象棋今晚開戰下午七時孔聖會權作戰場各擁雄師錦標難預測誰屬
page 5	整理本省財政與省營各廠改為國營訊士敏土及糖兩廠溢利足以抵補賭餉粵幣與大洋比率非相當時期不能宣布士敏土及兵器廠等歸國營訊
page 5	財廳電令各縣繼續民收買白銀由今日起照常加二收買惟暫時決不再發新幣
page 5	張達之臨別贈言昨召二軍職員訓話
page 5	粵省部隊改編中奉命變更各師番號依照中央所定次闖出編列已成旗印一律暫緩頒發
page 5	廣州長途電訊陳慶雲已接收粵空軍部桂軍集梧後梧市愈蕭條陳漢光部實行移防中
page 5	全省稅捐總處尚未奉籌設命令財廳某秘書談
page 5	九峰橋崩塌後之軍運錢宗澤昨急電路局調車駁運各軍南下中央軍八三一三兩師繼續抵粵余漢謀厲行對桂封鎖更調邊區縣長
page 6	黃主席曾市長昨六日午抵省詳情
page 6	歡迎熱烈
page 6	抵步情形
page 6	賓館之會
page 6	主府談話
page 6	市長談話
page 6	陳誠由溫泉返省在退思園會商軍務
page 6	省府核定四郊劃入警察範圍續四郊五十三鄉均劃入市區開辦警察劃入警界範圍地名及理由與審查意見書
page 6	軍事要訊一束
page 6	總部委出旅團長
page 6	一軍教團易名稱
page 6	一師師部遷從化
page 6	派員設立軍分校
page 6	四路在京辦事處
page 6	財廳昨開首次裁撤苛雜會
page 6	開征所得稅粵處並未籌備
page 6	市商會再請撤銷菸葉專賣撤銷與否仍未定統稅局長之談話
page 6	省港糖商定期晉京請願請求取銷專賣
page 6	譚沛元恢復自由數載冤抑一旦昭雪
page 6	手車工會請求減餉　負擔使半餉者得一飽革命策源地實應救濟勞工
page 6	廣東法幣會對改革幣制意見省行新幣一部份已到省法幣分會派員前往點存
page 7	起火地點
page 7	灌救情形
page 7	疑是縱火
page 7	損失調查
page 7	胡文虎函曾養甫請完成廣州市電車路
page 7	巴士賣票員跌斃
page 7	英帝國民航現狀多拉多機機師演講
page 7	應瑞艦赴北海永績到港聞永績艦今日亦他開
page 7	飛機運雪糕
page 7	英政府發展本國電影業將令本港戲院多映影片
page 7	劉維熾今晨抵港余俊賢同輪南下
page 7	丘昭文今日赴青出席全國律師協會會議
page 7	蕭佛成最近病狀
page 7	英增派艦隊駐港兩巨艦四小巡艦日間可到
page 7	又來一段桃紅色的事件叔嫂戀愛慘劇結果流水夕陽千古恨兩坯黃土葬癡魂
page 7	天一影片公司貯片倉昨午又被焚焚底片十部約值十萬元該廠當事人疑有人縱火
page 8	致開會詞
page 8	此等場所
page 8	另有獻議
page 8	眾皆默認
page 8	禁紅丸又一建議政府亟應設告密獎金犯人科罰現金無補于事代以笞刑尚或知所警惕
page 8	對于政府措施批評
page 8	紅丸流毒亟應注意
page 8	冒充顧客兩賊白晝入店強搶掠手鏢兩個約值十餘元胡椒粉撒傷老板娘之目
page 8	澈底辦法莫如宣傳
page 8	各界告密應予獎賞
page 8	裸玩少女案判決被告入獄三月
page 8	紅磡謀殺案續審被告指其兄主使　者毆他
page 8	取締穩婆之禁例
page 8	衛生司時症週報
page 8	偷運偽幣案　臬
page 8	紀念英故皇華人紳商議決籌建游樂場辦法照西商會提議本港九龍同時進行
page 10	繁榮會昨日會議
page 10	海盜劫船之傳疑
page 10	初級法庭案彙誌
page 10	意圖行騙
page 10	開舖票廠
page 10	被解潛回
page 10	私藏軍火
page 10	兩人打架一受重傷
page 10	美毀滅艦一艘到港
page 10	本港昨日所得雨水
page 10	油麻地昨發生小火
page 10	六人畫展會之概況
page 10	車輛失事之統計
page 11	梅菉貨船中途沉沒
page 11	順德蠶絲業概況絲庄絲廠之調查
page 11	接生不慎一屍兩命
page 11	林頭鄉發生火警記
page 11	農局派員防治　虫
page 11	區長被隊長劫法幣
page 11	大雨水漲橋樑衝斷
page 11	塌店四間傷斃士兵
page 11	阻止浚河幾釀械鬥
page 11	瘋人截姦被殺殞命
page 11	附城匪徒截搶商人
page 11	接管台海路之經過
page 11	靈山縣地震調查經過五
page 11	霞涌風災死傷多命
page 11	鄧志才昨回省謁余由省返江後即著手編旅孫科電賀陳漢光就新職
page 14	二次日俄戰爭之假想狀態外論社譯密勒氏評論
page 14	日俄開戰之可能性
page 14	二蘇聯領袖之恫嚇
page 14	三蘇俄採取攻勢
page 14	日本首先進攻
page 14	商業狀況
page 14	工業壯況
page 14	都市計劃
page 14	日人積極經營東北建設牡凡江都市水陸交通便利工商業均發達在經濟軍事上為極重要地點
page 14	外人虎視耽耽下之華北重要資源調查共包括冀察綏晉魯豫陝等七省煤鐵蘊藏最富石油亦大有希望
page 15	六日軍應注意之要點
page 15	日艦隊改期抵廈聯合艦隊實力之內容
page 15	馬子一詐財案判處徒刑五年津地院判決書全文
page 15	世運大會發起人寇佩丁男爵上一個真正的人道主義者四十年前努力恢復大會親自擬定大會開幕儀式謂運動會之真義乃奮鬥
page 15	可佈之包圍戰線
