page 1	最後勝利之因素
page 2	增城從化血戰Ｘ軍被我擊潰Ｘ傷亡在五百以上我奪獲軍用品無算
page 2	邢台Ｘ偽遭我截擊
page 2	甘貝爾在桂考察
page 2	蕭佛成治喪費一萬元由中央撥助
page 2	粵臨參會代表由韶抵肇即轉某地慰勞戰士
page 2	綏西之Ｘ迭圖犯大青山均被我軍擊潰
page 2	晉南大捷經過Ｘ全力進犯中條山血戰六日傷亡萬人
page 2	北大文科研究所即將恢復工作開始招考研究生
page 2	新牆河北岸我軍反攻迫近岳州贛北我軍肅清武寧以西殘Ｘ高安奉新Ｘ企圖南犯被擊退
page 2	滬西泗涇自衛團已擴充時襲Ｘ軍交通線
page 2	周鍾嶽定期就內長職
page 2	前線慰勞團連日趕籌出發
page 2	我軍某部潛入杭州縱火Ｘ恐惶異常不敢外出
page 2	鄂中全線沉寂漢水東岸Ｘ彈藥車中地雷
page 2	Ｘ機前日分襲渝蓉共被擊落五架英美合辦華西大學中彈日總領事訪美領事道歉
page 2	西南聯大招收轉學生
page 2	英上院軍定期討論外交政策屆時外相發表演說政界人士均極注意
page 2	晉西戰局好轉我克柳林河防轉安何應欽親赴西北前線指揮晉南殘Ｘ正被我各路圍攻
page 3	但澤當局請減波籍關員波蘭政府業已拒絕但澤昨又發生事故
page 3	德將正式宣佈兼併捷克兩省兼併日期當在十五日以前波摩兩省即成為德之行省
page 3	德國內長由匈返國
page 3	德國增強西部防線
page 3	英皇蒞美收穫增進英美邦交英皇訪美旅程行將結束專車由加開美預備迎接
page 3	僱用猶人建築工事
page 3	傅逆祖墳已被Ｘ機炸毀
page 3	英財政界觀察法幣之新外匯平準線將來減定實在六便士以上
page 3	英法遠東軍事當局召開參謀會議將於最近在星洲舉行
page 3	遠東利益被破壞英報警告日本勿以張伯倫安定政策為示弱將來局面變化日本應付其責
page 3	張伯倫屢次失望之後仍未肯放棄妥協政策尚希望以談判方式解決國際糾紛英國各黨派均反對妥協政策復活
page 3	日對津英租界將行初步封鎖津Ｘ偽機關紛遷日租界海關料亦將取同樣行動
page 3	駐渝英總領調任華文參贊
page 3	希特勒突赴奧
page 3	我請專家研究製造行軍餅干工業家助政府製鹹菜以供給前方將士之用
page 3	丹人札穀山氏攷察內蒙文化有重要之發現
page 3	國聯駐華水利顧問在金沙江覆舟遇難屍體已在會澤縣屬尋獲
page 3	英國飛機每月產額七百五十架但英空軍實力尚難比德國
page 3	波羅的海各國舉行聯合會議倘遇戰爭各國準備保持中立同心協力捍衛國家領土主權
page 4	救難會募捐訊
page 4	婦女新運會最近募捐成績
page 4	汽車傷斃兩人
page 4	英賑華港分會委員名單發表
page 4	崇正救難會分賑各縣災民救護隊現在龍川服務
page 4	擅入兵房婦人疑患有神經病
page 4	戲院職工總會積極籌組分會
page 4	九龍何文田竊匪猖獗居民協會請警司多設街燈使宵小被追捕時無所遁形
page 5	擴大五邑游擊區域
page 5	增強三江防禦實力
page 5	Ｘ艦轉向中山肆擾
page 5	九江河清Ｘ軍近況
page 5	增江線最近戰情增成Ｘ守近郊東岸我克復豬牯嶺Ｘ進犯共和墟不逞
page 5	岐關公路繼續破壞
page 5	九洲之Ｘ擾企人石
page 5	中山Ｘ艦不斷滋擾Ｘ派雷艇兩犯六沙
page 5	新會擊落Ｘ機詳記
page 5	順德Ｘ軍換防中兩Ｘ在大良之爭鬥因軍費先在商會內爭辯雙方在華蓋路等地火併
page 5	我游擊隊夜襲瀾石Ｘ營喬裝入石灣擊Ｘ
page 5	三區公署改善保甲發動民眾勞軍
page 5	健存保甲
page 5	發動勞軍
page 5	廣花路止襲擊Ｘ車犯田岡Ｘ被殲戰情龍口Ｘ退龍翔遭我伏後截擊
page 5	反攻田岡Ｘ軍潰敗
page 5	Ｘ設守望防我襲擊
page 5	我便衣隊襲Ｘ軍車
page 5	龍口之Ｘ昨退橫潭
page 5	煤油進口稅加倍征收
page 5	第四戰區設挺進隊
page 5	清從線上三
page 5	海南我軍反攻舖前市游擊女隊長劉秋菊又襲Ｘ營
page 5	張發奎擴展五邑游擊區域古鼎華派員劃一三江作戰指揮江會戰事沉寂中九江Ｘ多撤去
page 6	東路我游擊隊焚Ｘ倉庫襲擊偽維持會
page 6	夜襲莞城偽維持會
page 6	焚燒白沙Ｘ軍倉庫
page 6	農林處昨成立李漢魂兼任處長
