page 1	歐戰之綜合觀察
page 2	颶風襲菲島
page 2	收復隰縣我軍克勍香鎮
page 2	桂林明年實行改市
page 2	汪偽政權永無實現可能汪日之間意見距離沿遠汪謂日無誠意中日合作
page 2	對汪偽組織事朱世明之談話
page 2	鄂南我軍攻荻田橋斃日軍四百餘
page 2	受正義所感日駐河內領館書記官鹽見聖策轉變意志毅然參加我抗日工作求實現東亞真正和平
page 2	日軍犯蘆苞我軍奮起迎擊在騎馬崗一帶發生激戰擊斃日軍官兵二百餘人
page 2	熱心華僑蟻光炎被刺斃
page 2	昨被刺斃行刺目的未明料　政治有關
page 2	三民主義青年團舉行幹事監察聯會在渝各幹事與監察均參加
page 2	日傳賀耀祖赴蘇不確
page 2	廢歷新年港滬足球比賽滬方極為注意
page 2	準備予日軍痛擊我大軍十萬開抵南寧我自動破壞欽邕公路阻日前進白崇禧將軍表示日犯欽防必敗
page 3	德國所用係磁吸性水雷西門謂期係野蠻行為張伯倫更有堅決表示
page 3	英艦　士號被炸斷兩截
page 3	德亦謂對英取報復行動
page 3	荷對英政策有不滿表示
page 3	靖國丸船長談被炸經過
page 3	希臘輪一艘又觸中水雷
page 3	法境上空劇戰擊落德機五架西線雙方炮戰劇烈
page 3	蘇聯不再援華說純係日方做謠美現正取強硬步驟對付日本日蘇談判熱難根本成立諒解
page 3	修正合作社法公布二
page 3	英國會宣佈休會英皇致休會詞謂皇必獲勝利
page 3	英陸軍大臣報告陸戰情形每週赴法英軍在數千人以上
page 3	美南極探險家出發南極探險
page 3	英空軍飛入德境偵察
page 3	英意將成立易貨協定
page 3	英在遠東權利受日侵害英外次官畢拉氏在眾議院之報告
page 3	日經濟侵華能手玉兒抵滬活動發表誘惑性談話
page 3	捷人被害達一千七百名
page 3	德報謂史達拉沙兩次謀剌希氏
page 3	日美商約明年期滿將無續訂可能美政府注意日美關係各種變化美副國務卿維里斯發表之談話
page 5	作大規模之進攻
page 5	平湖雁田鄉最慘
page 5	被日軍盡行拆毀
page 5	北路我日激戰情形派街江村日軍增加日犯三華店遭痛擊
page 5	下令嚴防
page 5	大舉撲攻
page 5	戰區司令部通飭防止日軍利用破壞公路應在各重要點分派監視哨襲擊隊並埋置地雷水雷阻日車騎兵活動
page 5	補救方法
page 5	河南和平七鄉發生械鬥匪黨漢奸爭權利
page 5	各地行政機關應協助征收所得稅
page 5	新會各區鞏固冬防並討論推進戰時要政
page 5	肇慶疏散人口物資
page 5	雷州海關佈告限制婦孺帶款出口數額不得過廿元
page 5	番禺各鄉舉辦聯防
page 5	曲江擊斃巨豹
page 5	台山各界建官紀念碑
page 5	容桂日偽之最近動態偽維持會橫征苛斂無所不至我團隊決乘時反攻推定指揮
page 5	寶安日軍北犯潰退後我軍由天堂圍向南推進準備向深圳各地進攻寶安文廟之慘被摧殘
page 7	第一虎戲團改今晚起義演因昨竟日風雨阻礙進行
page 7	萬國旅店住客發狂跳樓身裏厚氈僅受微傷
page 7	患神經病
page 7	又一貨艇被劫轟斃一賊獲一疑犯
page 7	織造業工會昨已奉准立案
page 7	一元新幣已發十萬張將繼續發行替換舊幣
page 7	跳樓自殺
page 7	東便海口航行通告正誤
page 7	宋王台下發生謀殺疑案一中年婦初割斷喉管而死藏尸石隙中附近滿染鮮血
page 7	暴風雨昨午猛襲本港天文台三易風球交通大受影響澳門輪停止開行船艇多艘沉沒
page 8	日本海軍又焚劫一漁船公船主脫險餘人生死未卜財物損失值六千六百餘元
page 8	印警被控強姦婦人原告述被辱經過歷歷如繪被告以千元擔保出外候審
page 8	華人陪審員
page 8	果找獲被告
page 8	入屋取衣服
page 8	難民營居留
page 8	學界籃球賽各隊形勢民大培英分據高初級首席
page 8	青東乒乓聯隊明日出師征澳預定比賽五場
page 8	我國政修正禁運資日物品條例查禁淪陷區貨條例亦有修改
