page 1	後方重於前方
page 2	滬工部局已將覆文送日雙方成立妥協條件三項此段風潮可算暫告結束
page 2	日在津租界外設障礙物英法聯合抗議
page 2	漢奸沈肅平被刺重傷
page 2	廣州Ｘ軍連日大捕食民眾已捕白餘名半數被槍殺並向各舖戶強征警察費
page 2	洞庭湖防軍擊退Ｘ艇岳州Ｘ作巷戰準備
page 2	華僑巨子陳守明訪晤川省軍政要員共商組織華僑墾殖公司
page 2	綏省我軍焚燬Ｘ機
page 2	暴徒在津法租界行刺警察行兇後向日界逃去
page 2	贛北Ｘ在北槎偷渡被擊
page 2	林主席電賀新教皇
page 2	Ｘ令第三國船艦駛離射陽河口
page 2	晉北我騎兵克復犁井村某部襲寧武殲Ｘ二百餘
page 2	取銷租船合約日人販訴
page 2	粵省府撥款救濟瓊崖難民
page 2	寶貴的同情挪威一水手上書蔣委員長致敬願蔣委長領導中國人民抵抗此破壞和平之強盜
page 2	英國對日不久將取攻勢遠東權益感嚴重威脅時當執行
page 2	法對波態度表示滿意
page 2	進犯海鹽之Ｘ被我全數包圍顧司令親赴浙西督戰將乘勝在滬杭路反攻
page 2	甘地又行絕食為要求澈底改革拉扎戈特州政府
page 2	朱暉日週內出巡各縣
page 2	平偽宣佈加入日圓集團
page 2	京鍾路戰事激烈漢宜路上Ｘ受創亦鉅我圍攻太康Ｘ極恐慌
page 3	大阪火藥庫爆炸反戰份子所為日人反戰關東發生暴亂計被焚房屋達三百餘間
page 3	火藥庫爆炸損失極慘重
page 3	政治報告六孔院長向參政會提出
page 3	美財長擬延長支配外匯平準基金權共和黨議員表示反對
page 3	日本對華戰費較日俄之戰多七倍戰事結束尚渺無期日暮途遠泥足更深入
page 3	溫哥華工人不為日運廢鐵接受市民勸告將廢鐵運回倉庫澳洲人士聲援堪布那碼頭工人
page 3	捷克政府禁械運蘇
page 3	德國最近發明新機
page 3	鎢礦出口代理權讓與英商英商甚注意
page 3	英財相定期向眾議院提下屆預算案支出總額共十二萬萬五千萬鎊海陸空軍費將佔全額之半數
page 3	航空預算
page 3	陸軍預算
page 3	意政府通令召預備兵入伍
page 3	日軍費預算案追交眾院審議對華特別戰費共四十餘萬須發行公債五十餘萬日元
page 3	法旅駐西首任大使
page 3	新選羅馬教皇頗得各方景仰羅馬巴黎華盛頓人士尤表歡迎但國社黨各機關對之聲擊甚烈
page 3	列寧夫人葬禮在莫斯科紅場中舉行各界代表人山人海靜默致敬
page 3	和蘭漢文學生函慰我國將士
page 3	蘇俄真理報抨擊英法承認西叛軍不啻英法與法西斯國家間為第二次慕尼黑式之交易
page 3	德將派巨機由柏林飛東京中途在台灣停站
page 3	法大使定明日飛渝呈遞國書
page 3	波政府黨提殖民地要求
page 3	日駐外使節在柏林集議商討德意日軍事同盟除對抗蘇聯外應否並對抗英法美惟德意軸心國家態度尚猶豫莫定
page 4	德僑明日追悼歐戰陣亡將士
page 4	獻利市運動籌得一千二百餘元
page 4	救亡女劇人金素琴今到港
page 4	海員被控組工會案續審
page 4	救債會昨會議上兩週銷債僅萬餘元
page 4	難民工業社昨開首次會議
page 4	蘇聯新掃冰輪將過港赴北冰洋
page 4	九龍區防空班定本月六日晚開課
page 4	文員協會近訊
page 4	港府訓練消防義勇隊第一屆徵求隊員五十人希望年內養成幹員百人
page 5	東江南岸之Ｘ又已向增城石龍撤退並向寶安鄉民恐嚇又圖擾廣九路各地
page 5	Ｘ犯茶山被我擊退
page 5	Ｘ又向寶人民恐嚇
page 5	寶安各地積極增防
page 5	潮汕當局防止商人操縱洋米組會辦理免稅入口事宜
page 5	第四戰區電查各地儲糧
page 5	Ｘ兵數百強登南澳
page 5	Ｘ機轟炸潮安情形
page 5	潮汕人心刻甚安定
page 5	Ｘ兵突擾南澳志在搶掠向後宅登陸飽掠而去潮汕雖被騷擾人心仍安
page 5	我軍襲擊新街Ｘ營經過燬大炮八門焚Ｘ營兩座
page 5	救濟糧食
page 5	一改革自衛團
page 5	黨員為難民服務
page 5	粵省當前三大措施省主席之談話
page 5	積極辦理振濟
page 5	潿洲島Ｘ抽調空虛強迫島民入伍漁船均被封用民眾紛紛逃走
page 5	粵整理營業稅廿人年稅款准八折繳納
page 5	九江Ｘ圖赴甘竹掠糧食在右灘中伏被殲之詳情Ｘ艇一艘在右灘河邊被我炸毀二日圖報復在左灘毀船艇數艘
page 6	軍訓處輪訓班全省分三區設立
page 6	東西江及南路臨時中學成立校長委出定期開課
page 6	遊擊隊自衛團劃分管理
page 6	省主席李漢魂積極戰時建設整理省營工廠維持交通通訊
page 6	廣州市南之Ｘ連向郊外撤退
page 6	潘指揮官化裝刺探Ｘ情煙窟內殺漢奸
page 6	番禺團隊之英勇Ｘ犯石壁遭我重創為月來所僅見之激烈抗戰
page 6	高明鶴山被炸後最近情況商業異常冷落
page 6	勒流傀儡媚Ｘ整頓交通為艇戶所破壞
page 6	Ｘ窺企人石被我痛擊我漁船十餘艘被擄去
page 6	台山米荒日趨嚴重全縣一致籲請救濟
page 6	惠陽平山被炸後已成廢墟奸徒乘機造謠民眾紛紛逃避
page 6	石抱奇袁帶出巡完畢返岐
page 6	惠陽各界慰勞東江將士
page 6	教廳設立梅縣夜間初中收容失學青年
page 6	開平奉令停止募徵戰費
page 6	劫後之沙灣市橋與團隊撤退之經過五
page 7	乘客五人被Ｘ捕去
page 7	Ｘ海陸軍發生內訌
page 7	我國飛機時到轟炸
page 7	救濟桑梓會慰問炸傷難胞
page 7	廣州市面日益蕭條
page 7	糧食價格昂貴異常
