page 1	Ｘ　佔領區之陰謀
page 2	我某地會議決定勝Ｘ策略軍事　商勇猛擊破Ｘ人主力堅壁清野　Ｘ經濟困難加重
page 2	我游擊隊襲擊滬西偽軍浦東方面川沙鎮已被我軍所包圍
page 2	安南當局建築金蘭灣
page 2	滬偽市府向工部局提出無理要求虹口閘北Ｘ軍大捕華人出入口輪船亦被Ｘ搜查
page 2	浦東Ｘ軍被我襲擊川沙Ｘ被我包圍
page 2	高級郵務員考試定期舉行
page 2	靜樂Ｘ西犯被擊回竄河口河南寨等已被我收復豫Ｘ西犯我準備迎擊
page 2	花縣長崗附近Ｘ已向橫潭潰退Ｘ轟炸合浦死傷數人
page 2	除奸團警告滬西賭窟限其三日收場
page 2	閔江Ｘ艦他駛
page 2	綏蘇河附近蘇日哨兵衝突一週內共衝突三次
page 2	浙閩臨時參議會議長議中已分別選定
page 2	圍困津租界事日方答覆英法謂租界無誠意消滅反日運動致令抗日分子得以利用租界
page 2	我軍克復濟源Ｘ分竄禹寺鎮崇義鎮
page 2	浙北我軍克復海鹽杭州之Ｘ實力空虛強徵青年　保衛團
page 2	北平鹿鍾麟部殺Ｘ七百餘人現在固安一帶激戰人民協助收效甚大
page 2	重要據點
page 2	廉潔奉公
page 2	革命戰術
page 2	持久抗戰
page 2	在軍事上
page 2	鄂中我軍克洋梓鎮永隆河陸家岩等處發生激戰岳口之Ｘ增援企圖渡河西犯
page 3	希特勒又有新企圖謀製造斯洛伐克獨立柏林方面宣傳日耳曼人受虐待斯洛伐克少數德民族極為活動
page 3	國民精神總動員開始三綱領及實施辦法昨已頒佈
page 3	斯洛伐克情形紊亂
page 3	德僑承認原有政府
page 3	蘇聯共黨全代大會史達林發表重要報告蘇聯決維護和平與各國敦睦鄰誼以滑稽口吻痛斥德意日侵略行為
page 3	大戰以後
page 3	掠奪中國
page 3	製造輿論
page 3	美上月飛機軍火出口並無運往日本其中以運往英法者最多為美援助民治國家明證
page 3	外交政策
page 3	馬德里西郊共黨根據地尚未掃除西共和軍前線內部發生戰事
page 3	英艦隊將在星洲演習
page 3	英國增建強大主力艦隊包括主力艦廿五艘之多
page 3	羅馬新教皇舉行加冕禮
page 3	德禁猶太人參加兵役
page 3	蓉昆電話營業
page 3	黔青年吳嵩自動請纓殺Ｘ
page 3	上海工部局禁止製存串炮
page 3	日貴族院通過下屆財政預算
page 3	張伯倫擬在倫敦召開和平會議羅斯福對此計劃表示贊同世界大戰危機似不致爆發
page 4	難民長日無聊望各界捐贈書報
page 4	賑聯會今會議
page 4	徵求血案證人警當局之通告
page 4	難民製品展覽本月十五日舉行
page 4	兒童保育院請姚玉蘭演劇
page 4	兇徒圍毆路人
page 4	賑濟汕市難民婦女慰勞會捐大批物品
page 4	暹　政府佈告增加外人入境居留費由一百銖增至二百銖赴暹僑胞須備足資斧
page 5	海南我Ｘ似呈膠著戰我大軍增援Ｘ受重創Ｘ軍迭戰傷亡千餘徐聞民眾拚命抗Ｘ
page 5	我軍增援
page 5	炸後災民
page 5	我游擊隊在廣州攻Ｘ銀行焚Ｘ軍用票廿萬
page 5	粵戰事緊張中三江Ｘ情鳥瞰
page 5	梧州機場奉命破壞大隊快艇增防西江
page 5	梧州民船合作社奉命解散
page 5	省府會議決案調整全省警察機構振濟會組織救濟隊
page 5	粵公路改民田訂佈獎勵辦法
page 5	西江戰區難民亟待救濟
page 5	縣長速到前線去
page 5	Ｘ增兵河清中古勞前線視察記三
page 5	遙望Ｘ人
page 5	桂省府完成柳州水利工程
page 5	北路Ｘ增援花縣馮涌Ｘ再佔炭步我軍準備出擊
page 5	Ｘ軍增防花縣各點
page 5	從化Ｘ軍四出滋擾
page 5	據馮涌Ｘ再佔炭步
page 5	徐聞民氣
page 5	海口焚屍
page 5	我砲隊又大施威力十一晨砲轟河清毀Ｘ砲陣地九江奇山自警團反正逃往大同
page 6	聞風歸附
page 6	不受利誘
page 6	約期舉事
page 6	台山糧食問題向鄰縣運米接濟縣府開談話會決定各項
page 6	亟待解決的淪陷區裡幾個嚴重問題二
page 6	台山縣長召各區長會議
page 6	東莞傀儡發生內訌偽縣長張某被革退Ｘ酋派其侍役接充
page 6	掛免戰牌
page 6	撲攻西方
page 6	銜枚疾走
page 6	猛施轟炸
page 6	亂鳴機槍
page 6	轟然一聲
page 6	Ｘ在水籐壩甲設備甚嚴
page 6	嚴禁各屬團隊勒索行旅准人民舉報
page 6	台山廣海漁民照常捕魚
page 6	一為糧食交通問題
page 6	東莞四勇士剌殺Ｘ
page 6	三水Ｘ續犯白坭丹灶
page 6	八區專署救濟徐聞難民
page 6	甚為活躍
page 6	九江游擊隊大隊長胡緝三襲Ｘ營戰績牌樓腳一役警犬亦能建功
page 7	業主迫遷詭計百出故意延遲收租封屋驅人住客維持會已嚴加注意
page 7	去月天氣奇旱各塘存水銳減現存水量僅廿二萬萬加倫須續有大雨水荒始能解決
page 7	李景樅已返渝
page 7	陳璧君昨返港
page 7	桂省柴薪運港
page 7	名勝影展閉幕
page 7	救難會平民宮明日正式開放
page 7	防空展覽成績參觀者萬五千人
page 7	張發奎函謝港婦女新運會
page 7	葡人飲彈自殺
page 7	海員工會案三被告被重罰
page 7	大批工人赴荷昨乘海門輪抵港
page 7	各縣米荒日趨嚴重中山僑商決舉辦平糶
page 7	新界新圍村八賊夜劫茅屋擄一人該屋主人為肉販財物被掠一空警當局以賊匪猖獗決緝拿嚴辦
page 8	步行可愈肺癆英軍官所得之經驗
page 8	組織大綱
page 8	學界精神動員下月開始實行
page 8	聖保祿女書院昨舉行頒獎禮港督羅富國蒞場致訓
page 8	勒索疑案開審原告為前滬公安局職員
page 8	教唆少女當娼疑案首被告黃七妹無罪獲釋次被告陳發源押候宣判
page 8	本港響導社組同業協進社
page 8	駐遠東英艦雲集新嘉坡軍港演習參加戰艦廿五艘上星期已開始本星期五假想敵將進攻新嘉坡
page 10	暴力封鎖下閩省對外貿易更發展紙業最暢銷打破空前紀錄
page 10	戰鬥中的英雄們續
page 10	Ｘ在吳淞大場建砲台機場威脅上海租界對付英美軍艦法租界四週已建有強固工事
page 11	記者體特會議決要案多項加緊訓練各種運動
page 11	國際杯準決賽英格蘭實力未見雄厚因海軍好手未克參加
page 11	昨日公開網球賽因場濕未舉行今有雙單打共七場
page 11	籃球聯賽四十九比四十五南華克鐘聲乙組記者對勵行一場改期春草以一分之差壓倒大中
