page 1	　復東北行政系統
page 2	壯士彈無虛發漢奸兩名伏誅周志棠顧炳忠喪生遺臭三日之內共殺漢奸四人
page 2	平型關以西之Ｘ增兵謀犯五台楊家庄Ｘ被我擊退
page 2	綏遠我自衛軍襲擊平綏路Ｘ克察紓齊等村獲戰利品甚多百靈廟Ｘ偽大舉南犯大青山
page 2	冀南我軍反攻收復威縣Ｘ不支西潰
page 2	我某某部會攻考城考城不日可下
page 2	防我游擊Ｘ犯達觀河被擊
page 2	我在長江上游建堅固防禦線鄂西湘北均有我重兵駐守Ｘ圖進犯川湘必極度困難
page 2	蔣委長勸黨政公務人員督率家屬參加兵役以身作則增厚抗戰力量
page 2	真理報稱中國在長成中中國作戰已入第二階段日人欲作進攻困難異常
page 2	平津鐵路交通又告中斷
page 2	蔣總裁兼任國防最高委會委員長常委十一人為五院長外長軍參長等執監委亦得參加國防最高委會常會
page 2	包頭民眾恨Ｘ入骨盼我軍收復失地
page 2	修河前線依然沉寂
page 2	國民政府命令薛岳兼任湘保安司令派周炳琳為國參會副秘書長
page 2	昆明商界義賣會電呈蔣委員長致敬義賣會各界士女踴躍輸將
page 2	湘北之Ｘ嚴密戒備
page 2	滬警車經西區被匪槍擊地近日佔領區巡捕無權搜查
page 2	我大軍開赴東戰場配備就緒即開始總攻杭嘉湖各大城市全為我軍控制蘇境匪偽軍紛紛反攻已呈崩潰
page 3	對英相演說意方極震動
page 3	英信用擔保局即將擴大職權在經濟上考慮援中國但內容如何未便說明
page 3	英國金融法案國會二讀通過
page 3	關於開放長江日方未有準備
page 3	緬甸當局正設法改善滇緬公路使該路符合近代公路之標準使之不因氣候關係而受影響
page 3	蘇匈絕交後在蘇匈僑利益託日使館代為照料並請其代辦匈使館結束事宜
page 3	英陸軍部發表駐滬司令易人
page 3	國際茶業會定三月間舉行
page 3	英准僑商向日要求賠償損失日方聲言不賠償外人在華損失英外次謂對此種聲明不能接受
page 3	緬甸擬用新旗表徵自治領土
page 3	荷里活將出現獨裁領袖差　為獨　領袖之一同時亦為集中營囚犯
page 3	畢德門反對以飛機售日本因日本為九國公約破壞者
page 3	Ｘ封鎖津英法租界勒索二十萬元我人洞悉其奸一文不肯助人
page 3	巴力斯坦會議昨舉行開幕禮張伯倫出席致開會詞阿拉伯代表準備提案
page 3	張伯倫聲明助法後英國政界均表示歡迎即孤立派亦未加以訾議
page 3	英勞工部統計失業人數增加
page 3	意開國防會議墨索里尼主席
page 3	粵鄉哨兵步槍擊落Ｘ機Ｘ機師嚴緝中
page 3	Ｘ三路犯岷山卒被我軍擊潰瑞武路之Ｘ蠢動受創
page 3	潿洲島Ｘ飛機場築成三水之Ｘ紛紛向佛山方面移動
page 3	行政院議決方策代理河南省主席林友松任粵省政府委員
page 3	Ｘ定十日開放珠江
page 3	平漢線我破壞隊成績
page 3	Ｘ日內政局不定醞釀組織新黨
page 3	Ｘ在太原造就大量毒彈
page 3	淪陷後之廣州大賣Ｘ貨Ｘ商店紛紛設立
page 3	Ｘ運糧三車輛我被擊毀
page 3	贛省舉辦難民紡織工廠
page 3	美駐　副領定今日赴九江
page 3	英法兩國進行調解西解西政府軍現正努力促成停戰但佛郎哥對調解事表示拒絕
page 4	軍官行車過速被罰款十五元
page 4	兩防空班考試及格學員揭曉
page 4	商會值理月會
page 4	九龍關新稅費
page 4	英艦運兵來港
page 4	警探破獲賭窟
page 4	赫祿斯受聘赴尼
page 4	吳文偉招待報界
page 4	亞多士輪遲到
page 4	　總統改航線
page 4	南洋義學放年假
page 4	粉　兩難民結束各區收容所難民統計
page 5	我Ｘ主力將會戰西江青島運粵Ｘ兵已到三水騎兵大部集中新墟木棉欖崗重為我收復
page 5	木棉欖崗已無Ｘ蹤
page 5	省主席慰留覃元超
page 5	增城戰訊我收復各據點控制各地Ｘ軍
page 5	河南Ｘ　檢查苛擾入市　留一路市民多已逃出
page 5	東江部隊歸第九集團總部節制東路守備部撤銷
page 5	黃松崗Ｘ進犯劉村
page 5	軍民合力激戰退Ｘ
page 5	昨午殘Ｘ再犯新橋
page 5	Ｘ機兩次掠過大鵬
page 5	寶安軍民合力擊潰犯黃松崗之Ｘ昨日Ｘ再犯新橋
page 5	傀儡呂春被刺倖免Ｘ軍宣佈戒嚴居民更受騷擾
page 5	西北兩路最近戰情我掃蕩舊三水殘Ｘ北路續向神岡反攻
page 5	省行江門支行正式復業
page 5	Ｘ之空前壯舉陸領部夜襲九江Ｘ達百Ｘ謀報復翌日　瓊溝奇山兩鄉之慘況Ｘ趕派松支部隊赴九江增援九江河清兩龍Ｘ情最近報告
page 6	平洲墟被Ｘ一空
page 6	Ｘ機連日轟炸各屬肇慶新昌鶴山平民均受其害
page 6	由北江入桂迂迴肇慶二
page 6	廣東省立南路中學近訊
page 6	戰區動員會召開戰工隊之會報政費七折暫緩執行
page 6	南海縣長曾則生被免職抗戰不力之處分
page 6	岐關沿路建築避難壕中山編組游擊先鋒隊徵編單車隊便利戰時傳達橫門一帶炮壘已全部落成
page 6	禺南大石鍾村等鄉重罹浩劫Ｘ四出掠奪糧食財物
page 6	減征稅契已將屆止截期
page 6	會商人舉行義賣還債
page 6	羅吉祥任五邑稽征主任
page 6	西江各縣實施冬防
page 6	增城縣府設各地傳遞站
page 6	岐關車案進行善後
page 6	中山縣府徵集單車
page 6	東江劫後視察記東江難民劫後慘狀澳頭舖戶悉已破毀
page 7	各界賑聯會會議紀議決擴大紀念孫總　忌辰
page 7	荷蘭民航線擬擴展至本港荷英代表現正在倫敦磋商中實現後由倫敦來港僅飛四日
page 7	徐謙由星返港
page 7	海龍帆船遇風或不能如期抵美
page 7	張一麔等飛渝準備出席參政會
page 7	有此經驗
page 7	兩條航路
page 7	四天到港
page 7	唐家灣海面一漁船勇戰Ｘ機Ｘ艦彈盡援絕船主父子殉難夥伴被擄Ｘ方被擊傷武裝漁船戰鬥機各一
page 8	財部駐港職員侵吞書信財物疑案續審雜役力証被告行賄給紙幣二百元著毀滅證物賄金係向舞女白梅芳借來
page 8	名白梅芳
page 8	處境甚危
page 8	毀滅證物
page 8	召開同人會議賣物會已募得大批貨物
page 8	Ｘ封鎖珠江口英美艦亦不能通行
page 8	下月初旬舉行花菜展覽會
page 8	給賄二百
page 8	旅港鶴邑商會捐藥品救難民
page 8	救濟學生會昨日發組旅費許世英勉各生努力求學
page 8	港寶照常通航
page 8	三個婦人服毒兩死去一　救
page 8	廣州失業機工派代表晉謁許委員長極願盡力為國家服務
page 8	中大服務團籌賑中山難民
page 8	薛覺先等演劇籌賑桂省難民
page 8	索償保險費案押候今日再審
page 8	高羅士打道暫禁車輛行駛
page 8	少年死得離奇
page 8	拍賣地段詳細章程
page 8	蔡惠霖學成歸國
page 8	泰豐味粉廠分銷處昨開幕優待顧客大送豬油麵
page 8	　士擅離難民營英警開槍制止傷少女另一人仆地受重傷均送院療治三壯士兩名已去一被截回　押
page 11	甲組足球聯賽海軍昨挫米杜息水兵優勢今後更加鞏固
page 11	女游泳健將梁詠嫻嫁杏有期快婿為勞雄君
page 11	香港籃球聯會修正章程及比賽規則第三次委員會議明晚舉行
