page 1	徘徊歧路的德日
page 2	太平洋聯防協定美國務部不允證實
page 2	新政府明年成立赫爾將留任國務卿
page 2	美人民一致擁羅韋爾基願與　合作
page 2	英德空軍互施轟炸德機在倫敦低飛投彈英機炸擊克虜伯砲廠
page 2	駐英美使將回任贊成美國繼續援英
page 2	美輪赴愛接僑被德拒絕不允發安全證
page 2	希臘肺癆者願組敢死隊赴前線參戰決為國犧牲
page 2	南愛總理聲言仍守中立無意割讓港口與英亦未　德　艇糧食
page 2	荷反納粹組織逐漸強大荷蘭工人表消極不與德當局合作
page 2	哥加戰線展開猛烈炮戰
page 2	意軍沿海岸猛進希軍轉取主動攻勢意奪取薩羅尼加計劃已失敗大批英援軍及武器運抵希境
page 2	英機施威意受重大損失
page 2	希臘首相鼓勵國人抗戰
page 2	英輪一隊被德海軍擊散
page 2	希特勒將發表演說
page 2	捷人一致沉默表示紀念國慶避免納粹高壓手段
page 2	法代表到泰謀解泰越糾紛法傳懸案料可解決
page 2	世界第三鐵橋突然爆裂崩陷
page 2	天氣惡劣意機活動大減
page 2	俄婦與美人洩漏英國軍情被英當局發覺分別判處徒刑
page 2	希輪今尚載運廢鐵赴日
page 2	南陸相李狄奇反對親近軸心最近辭職將引起政潮
page 2	德僑若干離土或與間諜案有關
page 2	直布羅陀掘河自衛連大陸處開一運河準備阻止德軍進攻
page 2	貝當派員赴美調查法屬島
page 2	張伯倫病危
page 2	加拿大總督頒揚英軍英勇
page 2	美國援英更進一步飛機商船又大批讓出羅斯福返京首召英購械委員入見英美澳太平洋防衛合作諒解告成
page 3	宜昌東北日軍敗潰日當局否認退出宜昌
page 3	欽縣殘日尚待肅清我軍襲信陽已逼近郊
page 3	德意法勸和說無稽憑空造謠為日報慣技
page 3	滬第二特區法院昨被日人強行接管法領事違約允許之可異日又圖奪公共租界法庭
page 3	日報對荷印又施恫嚇警告荷印當局勿以傲慢對日
page 3	十月革命紀念蘇國防部長演說強調中立加緊戒備陸空軍在紅場大檢閱民眾二百萬列隊巡行
page 3	倫敦華籍海員組織工會要求薪水待遇達到標準程度
page 3	日人為什麼撤退南寧一白崇禧在中樞紀念週報告
page 3	侵華日軍將葬身中國英評論家警告日本
page 3	自由法軍進佔非洲兩地防軍略抵抗即降
page 3	桂令收復各縣清除日軍遺骸
page 3	陪都各報著論讚頌美蘇
page 3	贛我軍連戰皆捷南昌東南克數據點宜昌日軍潰竄我追擊中日報捏造和謠言被揭破
page 5	我軍兩路挺攻欽城
page 5	日竄大罰遭我截擊
page 5	日機飛炸粵南各地
page 5	粵參議會第三日選出第二屆參政員計金曾澄等四名非參議員佔大半民廳報告依期實施新制禁絕煙毒
page 5	民廳報告務絕煙毒
page 5	會計處擬緊縮概算
page 5	我機飛襲廣州天河機場又被轟炸
page 5	下午復會選參政員
page 5	大會通電宣慰僑胞
page 5	四邑補助軍糧舉行創立會議一區征穀米附加軍糧費
page 5	日機又炸台城
page 5	日機昨炸淡水市民傷斃七八十人電油船多艘被炸燬
page 5	中央振濟會撥粵百萬元分配用途瓊崖廣州順德義童抵韶分發招待所教養院安置
page 5	張長官談桂日軍潰退實情戰場種種事實證明日軍潰退時之狼狽日潰兵竄擾陸屋受創我兩路迫近欽城
page 6	廣州日軍增加萬餘
page 6	余長官昨召開軍會
page 6	深圳日調動忙附日軍集中西鄉訓練
page 6	赴湘日記十一
page 6	江會砲戰甚烈桂南日殘兵續調中山
page 6	順德容奇附日軍又譁變日軍奉令他調
page 6	桂郵局恢復南寧郵務中央振委會派員赴邕放賑省振會頒發義民回籍辦法
page 6	派員赴邕散賑
page 6	義民回籍辦法
page 6	粵省積極廢除苛雜四個月來共裁撤六十五種年征數目共五萬九千餘元
page 6	江岐電船被劫
page 6	中新團隊剿匪
page 6	華南日軍又圖蠢動余長官召開軍會確定對策下令各線勁旅出擊並嚴密監視祝日軍廣州日軍近增至萬餘飛機二百餘架
page 7	進口移民統制計劃
page 7	來港者須領進口證
page 7	華僑概須領居留證
page 7	不能領證之幾類人
page 7	例外人物免領證書
page 7	政府可頒抵押制度
page 7	輪船艇舴皆受統制
page 7	白晝防空演習定本月十七日舉行外傳十八日絕對不確九龍已　工闢防空洞
page 7	港難童抵貴陽保育會將報告難童近況
page 7	財不可露眼婦人被搶鉅款警探截獲疑犯一名五千元國幣已失去
page 7	清遠同鄉聯歡
page 7	罌花節郵局辦公時間
page 7	珠江河道傳今日開放但船公司未接通告
page 7	港政府正式公布統制進口移民計劃提交立法局通過即施行各國僑民將須領居留證
page 8	破案之經過
page 8	分控六大罪
page 8	左輪槍三枝
page 8	撤銷強制疏散令係出英廷本意英殖民部已明瞭本港局勢留澳英婦孺請准即可返港
page 8	行草章法展覽續在兩校舉行
page 8	星船票價暴漲新客　炒至三百元
page 8	茶客中風殞命
page 8	法使館參贊費爾特昨抵港
page 8	唐紹儀葬地訟案判決唐氏繼室得直移柩禁令撤銷將在本港安葬原告律師根據華律力爭無效
page 8	華律不適用於本港
page 8	麥司宣判被告得直
page 8	警鐘損壞自鳴警探空走一遭大利金舖安　
page 8	希望雙方從此息爭
page 8	更練勒索疑案詳臬巴裁判司認案情嚴重不准首被告出外候審
page 8	行使偽幣疑案首次兩被告加控一罪
page 8	模型機賽明日舉行模型飛機協會同時成立
page 8	兩少女突失蹤疑被匪徒拐去
page 8	開會秩序
page 8	比賽程序
page 8	獎品一覽
page 8	少年毆傷魚販衝冠一怒為紅顏
page 8	中藥商會新職員昨選出
page 8	崇正總會職員明日交化胡文虎任正會長
page 8	旅客服毒獲救
page 8	謀殺疑案詳臬
page 8	匪徒騙拆電表警當局勸店戶提防
page 8	姊弟串報假案分別判處徒刑
page 8	窮三日之力石探長連破四巨劫案捕男女疑犯十四名八名昨提堂兩名疑係馮炯成住宅劫案餘匪
page 10	今日甲組足球三場東方迎戰海軍星島渡海征九龍米杜息出擊香港
page 10	長途賽跑明日舉行大會職員及運動員名單發表
page 10	青泳團水運成績美滿今夕繼續舉行九項競賽
page 10	澳體育界聞人梁榮光病逝
page 10	梅芳中學慶祝廿三週年紀念舉行運動大會
