page 1	李黃今日就職矣
page 2	川樾抵京後對記者之談話謂蓉北兩案非偶然事件國交調整全在經濟合作
page 2	日海外兩省會商北海事件認北海形勢與別方不同決以外交手腕折衝辦理
page 2	冀察稽查處將結束李青選赴平有相當結果
page 2	粵漢路車出險責任問題因汽車司機膽大與火車賽跑現粵漢各次車照常通行壞車在新河修理至善後問題俟淩鴻勛周宗岐返局後再辦
page 2	宋擬將粵公債一部份向滬金融界抵押現款應急中中交三行已表贊同日內即可簽立合同
page 2	王英新招匪軍中途攜械譁變在廟灘大肆搶掠
page 2	李揚敬將赴浙晤張發奎會商三省清剿事宜已派員赴江山籌組總司令部
page 2	日艦羽風秋風帆風三艘奉命分赴華南各地
page 2	豐台日軍演習夜間行軍
page 2	宋召開聯席談話會交換提攜意見邀王克敏參加王宋允肯
page 2	李宗仁自崇禧黃旭初今日在邕宣誓就職鄧世增昨乘民航機飛返廣州李濟深蔡廷楷離桂來港休養
page 2	駐粵英領對大利輪案昨向省府交涉
page 2	川樾昨赴外部　張群對成都北海兩事件交換意見日駐總領中村因北海事件提前返任十九路軍阻止日員登陸調查
page 3	不干涉西內戰國際委會昨日舉行二次會議決議組織非正式小委員會重行聲明決議案嚴守秘密西政府軍昨復炮轟阿爾加柴古堡
page 3	日新任駐華使館參贊田尻由京抵滬
page 3	行政院第二七九次例會通過平青兩市發行公債案青海省委馮國瑞請辭照准由馬步青繼任
page 3	討論事項
page 3	任免事項
page 3	航建協會舉行首次常會
page 3	農本局理事會舉行首次會議推舉孔祥熙為會長通過章程計劃等案
page 3	英大使晉京謁我外交當局作到任後拜會
page 3	寧夏農人發生慘劇因一雞起事致三人喪生嬰兒烹熟鍋內楊氏自刎畢命王老三上吊死現正緝兇究辦
page 3	日由瀋運遼軍械被義勇軍奪去
page 3	綏蒙會商決防共剿匪辦法綏東方面甚為安謐
page 3	日商在陝豫賤價收買棉花
page 3	廈僑務局長江亞醒昨抵京報告該局工作概況
page 3	保甲條例已送立院審議內容曾經縝密研究
page 3	中央儲蓄會六期中獎號碼特彩一一九八四
page 3	護班專使趙守鈺昨日飛蘭履新
page 3	九一八紀念在邇滬市臨時戒嚴
page 3	教育部推行電影教育
page 3	京扶輪社籌辦扶輪杯網球賽決定廿七日舉行
page 3	川鹽運使繆秋杰昨抵京謁孔報告鹽務近況
page 3	故宮失去古物係屬多年舊案曾載失物清冊中
page 3	行政院製定堤防造林計劃斟酌地勢選擇樹種設立苗圃妥籌經費
page 3	奧外長史密特行抵羅馬墨氏將返羅馬與史密特會晤
page 3	行刺英皇兇犯判處徒刑一年並附帶苦役
page 3	英兵三千人開赴巴力斯坦巴力斯坦英軍額將達一萬七千人
page 3	俄飛行家創飛行新紀錄
page 3	洛約五國會議將在倫敦舉行意德感認會期過促已不及作充分準備
page 3	希特勒在國社黨大會最後演說對民主政治及蘇聯猛烈攻擊希氏承認歐洲現已分裂為兩大營陣互相對峙謂人民陣線及布爾希維克黨為德意志之死敵大規模軍事演習為大會閉幕之點綴
page 4	南華出席全省水運今晚乘東安出發男女代表李羅敏楊秀珍　廿餘人
page 4	工務局游樂會昨晚水藝會成績官產部成績最高得獲冠軍
