page 1	近衛再組閣
page 2	羅斯福總統答覆民主黨
page 2	華禮斯演說推崇羅斯福
page 2	紐約市場賣金鎊根據官定匯率英與非金鎊區域締特別協定澈底統制外匯阻止資金外流
page 2	希特勒將發表演詞類哀的美敦書其發表演說詞之後則將下令進攻英倫
page 2	英襲西沙漠燬敵炮　門
page 2	英空軍大隊襲法北海岸
page 2	英防禦工事作縱深配備
page 2	德空軍大舉炸擊英商船
page 2	云　與英斷絕邦交關係駐倫敦法代辦準備返國
page 2	邱吉爾謂與日締約前未徵詢蘇聯意見
page 2	法西斯政權報著論警告蘇聯謂蘇若破壞軸心國家德意將立即予以答覆
page 2	英國徵用法輪願補償費用懸兩國國旗
page 2	法加　係仍無變動
page 2	英　將鎳礦售與日本
page 2	法與北非交通經已恢復
page 2	美人萬餘願投入加空軍
page 2	對下屆修造總統權羅斯福已願意接納華禮斯願接納候選副總統赫爾贊成民主黨外交政綱
page 3	鎮海附近血戰日艦砲擊松澳獅子口瓊島文昌日軍受重創
page 3	痛悼張自忠將軍貳
page 3	高平外圍將起激戰
page 3	偽豫警務廳長海雲帆乘間逃出反正足見日人利用偽組織心勞日拙
page 3	蔣廷　由桂抵築
page 3	蘇軍越過羅割讓區
page 3	舊事重提日又向美糾纏滬日領事三浦照會美領要求懲辦打架之美水兵
page 3	合肥附近我軍設伏創日
page 3	豫東我軍收穫重大戰果開封之戰斃日二千餘克復商邱亦斃日逾千
page 3	羅軍二十萬今日開始復員
page 3	王孝英抵韶
page 3	膠濟路我軍毀日後車
page 3	汛美會議現正積極籌備各國代表現抵夏灣拿均希望美取領導行動
page 3	美晚報董事張似旭昨遇刺張在大美晚報編輯名列南京偽府黑名單
page 3	星洲僑胞痛悼張自忠
page 3	成立第　隊跳傘部隊
page 3	時勢做英雄
page 3	只見樓梯響不見人上來
page 3	本月份美商務續有進展
page 3	鄂北我軍衝入隨縣晉城外圍戰事激烈進行陽城附近日軍傷亡慘重
page 5	會城日軍一部撤去
page 5	大批日屍傷兵運深圳日受挫後揚言燬焚李郎村鄉某長官詳述此次殲日之經過
page 5	余漢謀再飭屬保護香港歸僑各部隊沿途切實保護多給予便利以表歡迎
page 5	中山日偽企圖統制新穀
page 5	我軍增援古勞谷埠
page 5	洲仔民居被劫一空
page 5	日機進窺荒蘆苞黃塘擊傷日機
page 5	日機襲蘆西
page 5	從化太平場我日兩軍爭奪榕樹浦秋風崗攻神崗我軍再攻入獅嶺花縣我攻新街殲日三百
page 5	猛攻神崗
page 5	攻太平場
page 5	游擊隊活躍
page 5	進薄新街
page 5	汕頭日開軍事會議日艦艇犯饒平不逞日圖在柘林登陸汽艇一艘被擊沉我團隊再攻達濠葛州斃日軍百餘
page 5	日艦竄擾饒平柘林
page 5	出擊葛州斃日百餘
page 5	廣州灣局勢漸和緩居民陸續返市商店亦多復業港灣間輪船交通亦恢復常態
page 5	猛攻官窯克金山寺
page 5	禪炭線我軍克金山寺衝入馮涌殺日百餘
page 5	偽軍自殺
page 5	順德偽縣長征紗綢曬莨捐
page 5	廣州市郊游擊隊活躍四路猛襲石牌奏捷日偽突圍逃竄被殲逾百
page 5	佛山日偽緊急會議
page 5	進攻馮涌殲日百餘
page 5	中山五區偽軍自相殘殺日兵源短絀江會各線採取守勢西江日艦炮擊鶴境我嚴密戒備
page 6	當局發表各方戰情
page 6	台山各中學校學生參加暑假期兵役宣傳每校組成宣傳隊一大隊擔任宣傳勸募懇親工作
page 6	仁愛村俘虜的生活一切都是紀律化充滿著愉快將來必定成為中國抗戰友軍
page 6	我軍反攻民眾獻旗
page 6	行署成立直屬黨部
page 6	龍湖日艇火併
page 6	崔席秀返抵韶談出席七中全會經過提案以軍事外交經濟為多不屑談偽組織國共甚融洽
page 6	江會日偽軍反戰情緒益烈
page 6	粵嚴禁放穀花
page 6	台山禁煙狀況
page 6	日機頻窺合浦我嚴密戒備犀牛腳日艦續增勢仍嚴重北海冠頭嶺海面日艦增至四艘鎮南關日軍沿越境北犯戰甚烈
page 7	輪船停收運廣州灣貨物
page 7	運輸公司業務大受打擊
page 7	港越輪仍開行法機停航
page 7	英日謀恢復港粵間貨運
page 7	中賑會捐大批衣藥
page 7	崇正救難會賑濟邊境難民下星期二起施米一月每三天每人給米一斤
page 7	陳策由渝返港
page 7	伍尚瓊等返菲
page 7	劫案獲一疑犯
page 7	省賑會擬搭棚收容
page 7	經警察司闢謠外傳歹徒謀異動說不確
page 7	粵光華醫學院畢業同學聚餐
page 7	渣華輪船公司華人代理擴充營業
page 7	華人機器會徵求傷兵之友共得港幣三百餘元
page 7	婦慰會預撥六救護團經費共需國幣二萬餘元
page 7	英童書院暫時改作醫院
page 7	車輛失事統計去週死五人傷三十二人
page 7	英日進行談判謀恢復港與廣州貨運廣州灣當局宣佈禁港貨進口後各輪船公司已停收寄該地貨物
page 8	最後一批英籍婦孺將離港赴澳洲港政府決組織疏散審議局審查關於割免疏散之申請
page 8	少年慘遭滅頂
page 8	兩年前擄人勒續案警探捕獲疑犯兩名昨由初級法庭提堂
page 8	國內各院校統一招生入學試今日開始舉行僑委會公費生同時考試試題由渝寄發今晨可到
page 8	灣仔波斯富街火警焚斃多命案研訊終結死者死於意外與人無尤勇於救人何義泮獲嘉獎
page 8	紅丸案昨判決四被告無罪釋放
page 8	賑聯會促各團體學校繳交七七售花善款倘仍藉故推延不清手續決定將欠交者名單公布
page 8	自衛團徵信錄昨日已出版
