page 2	論頭目制
page 3	張作霖派張學良來京
page 3	吳佩孚將率靳雲鵬胡景翼兩軍赴贛
page 3	某政客抵京傳達孫文希望並益友民友兩派意見為對筍會議聯省自治實行兵工及新內閣人選　問題
page 3	國會議員等以保定代表堅持以高淩霨曹銳長財政張國淦長交通故請銳先表示財政方針俾分別援助代表言無方針惟議員歲費則負責
page 3	外國銀團集議以張作霖截留東省鹽稅決向政府抗議並有不將關鹽餘發還抵補損失消息
page 3	黎元洪囑王占元約孫烈臣到京磋商張作霖地位及頭道溝案
page 3	黎元洪十九　午宴國會議長及研究政學各首領商議組閣黎屬意由顏惠慶蟬聯擔任各首領任閣員但王家襄吳景濂兩議長請黎提與西南接近者組閣方合黎言組閣以無黨派為宜意仍屬顏
page 3	魯案王督辦擬在煙台設青島水警教練所由馮玉祥選官兵百餘人入所已派員赴開封商調
page 3	京奉路通車張作霖不允仍派唐文高另售奉榆新票京站售票祗到萬家屯
page 3	參陸處電吳佩孚馮玉祥查衛輝兵變有無別情
page 3	吳景　語人正式內閣與統一關係極大秘須慎選相當人物言外不贊成由顏惠慶蟬聯
page 3	舊國會瞬即開會各派紛謀
page 3	組閣黎元洪意仍屬顏惠慶推顏感受困難　謀下台而議員又意見不一即由顏組閣通過亦無把握在人謂開會時政局將更　紛擾
page 3	蔡成勳電國務院謂各將領致主戰須恢復防地然後罷兵
page 3	旅京贛人憤蔡成勳把持請黎元洪先下停戰令黎允交閣議
page 3	吳佩孚前擬練第三師為模範軍近因財絀難實現決由直軍及中央直轄各師旅中每師選營每混成旅連集中洛陽由九月起練至明年三月底練成後仍分原隊已電中央及曹錕徵求同意
page 3	　　　九號北京電中日魯案會議之首次真　爭端已於非目發生係關於碼頭貨錢等件
page 3	又電美　海軍總長丹廿　今早乘飛機赴漢口不料　途在大山之上高約四千尺機件損壞必要下降而地面不平坦降下極難司機者卒能盡法降下雖飛機完全破爛幸無人受傷乘機者除丹比總長及機師兩名外另有報界訪員兩人同行後皆乘火車回北京
page 3	韶關戰史之確報
page 3	西報之廣州要訊
page 3	關於省長問題之物議
page 3	拉伕近誌
page 3	張開　蹤蹟之揣測談
page 3	詳記附近　豐艦之水窗　炸情形
page 3	西報　梧州之訊
page 3	被刺者　係陳達生
page 3	庇能遺囑案續聞
page 3	禁止虐畜會　進行
page 6	北伐軍　贛回粵　之通電
page 6	陳樹藩敗走紫陽
page 6	吳佩孚　砲
page 6	　　嶺章太炎函
page 6	竊案
page 6	　押候
page 6	被控毆打探　案
page 6	銀價
page 6	刑名案續誌
page 6	謝贈牛奶
page 6	賭案
page 6	影畫誌
page 6	中　水　在荷之
page 6	加拿大退還庚子賠款開
page 7	　路大坑口路軌被炸
page 7	長春李
page 7	　圖襲　敗續聞
page 7	懸賞捉李　邦
