page 1	七分經濟與三分軍事
page 2	粵東迭有激戰增城日軍出擾被創
page 2	桂南日軍圖犯渠黎被擊二千餘人死傷過半鬥志全失兩路潰退
page 2	滬日美兵衝突事已獲解決
page 2	粵省積極訓練師資
page 2	我機飛沙市轟炸日陣
page 2	贛北我軍襲擊宋埠
page 2	昆明廣播電台明日開幕
page 2	六學術團體聯合舉行年會
page 2	行政院四七五次會議盧作孚被派為糧食管理局長
page 2	晉我軍衝入岢嵐
page 2	錢鴻業遺體昨日大殮
page 2	津美電報公司結束營業
page 2	宜昌南岸殘日死傷甚重
page 2	滬日憲兵大舉捕人
page 2	軍政部軍電署長周駿彥逝世
page 2	越南欲與中日美澳建新經濟關係極望日美兩國與之合作以建設其獨立經濟地位
page 2	日機大舉轟炸重慶近郊
page 2	東瞻西顧
page 2	從波羅的海到巴爾幹
page 2	教皇下詔慰勉法各主教深信法國必　更生
page 2	日未嘗向重慶提出和平方案駐　日大使館發表一聲明書
page 2	日代言人須磨談話將拒絕考慮英抗議兩英人被釋又有另兩名被捕津日軍強入基租界盤問英僑
page 3	汛美會議正式宣佈閉幕各國代表簽訂美洲基本盟約赫爾瀕離夏灣拿時發表談話
page 3	駐柏林蘇大使訪德外部所談內容未詳
page 3	阿國邊境大雨淋漓雨水季已到於意極不利
page 3	貝當治下之法國有凍餒憂擬向美洲乞援
page 3	土耳其劇烈地震斃命者三百名
page 3	英保守黨下議員藍賽被捕
page 3	美著名博物學家寇定同情英國組助英防衛委會勸美人捐物助英
page 3	英國對德擴大封鎖計劃軸心國將受更大打擊
page 3	貝當已批簽組織最高法庭審判抗戰份子
page 3	加拿大每日工業出機械六百件
page 3	甘丹城化學工廠被焚
page 3	蘇州市長高成基刺斃
page 3	英外次官答覆滇緬質問
page 3	德機炸威爾斯
page 3	有人謀害艾登幸未有受傷
page 3	傳筱菴要求捕房協助逮捕黑名單中人
page 3	希特勒旅途不復如前舒適邱吉爾之演說
page 3	德謀操縱土國運動土國商人壟斷土國商務
page 3	羅匈將舉行割讓土地談判謠傳羅閣人物將有更動
page 3	敘利亞法軍內部發生決裂有擁護貝當有同情英國傳阿刺伯人革命說不確
page 3	港保育院兒童一批抵韶省振會妥為照料
page 3	希臘貨船被日留難
page 3	亞爾薩及羅蘭無形歸併德國
page 3	西比利亞鐵路最近築一支線
