page 1	北歐戰局之檢討
page 2	德二萬六千噸巨艦被挪威戰艦所擊沉
page 2	斯喀基爾拉克海峽德軍艦十艘被包圍
page 2	德郵畢拉門號傳被擊沉德方則否認此說
page 2	德機十九架被英空軍擊落德機又襲士加巴河又被英方擊落七架
page 2	英從德軍手中奪得卑爾仁等兩城英艦停泊歐士勞港限令德軍即日退出
page 2	柏林人士關心戰局國務院頻開會議
page 2	瑞典準備應付戰爭後備兵紛紛入伍
page 2	埃絲蘭政府宣佈獨立收回丹王統治權
page 2	英法在丹利益由美代管
page 2	蘇對北歐時局決不干涉
page 2	建廠宣言協同聯軍作戰侵略者雖能破壞挪威但挪威必可恢復自由
page 2	邱吉爾出席眾院報告德侵丹挪之後戰局已急轉直下
page 2	挪威展開海陸空大戰英艦隊駛抵歐士勞港德巡洋艦四艘被擊沉多艘受傷英德飛機一千六百架發生劇戰
page 3	平定物價發展實業參政會擬定具體辦法奉行法令不力者予以嚴懲
page 3	滬工部局選舉繼續舉行料英美方面必可獲勝利
page 3	關於憲草經過及其內容說明四孫院長今在參政會報告
page 3	晉西日軍處處碰壁
page 3	三民主義青年團幹監兩會昨聯席會議
page 3	冀南我軍前鋒迫近大名
page 3	鄂東日軍進犯戒水
page 3	埃爾華森附近挪軍擊退德軍德軍陣亡二百傷者甚多
page 3	芝城華僑懸賞　賞格七十萬元
page 3	南僑慰勞團由滇抵筑
page 3	美總商會將開年會討論遠東商業政策
page 3	岷尼拉兩星期來屢發生反日暴動事件有華籍學生五百人搗毀一售日貨藥房
page 3	日機一架被我擊落
page 3	國府明令褒揚唐聚五
page 3	日取雙重國籍以侵入夏威夷夏威夷居民四十萬其中日人佔十五萬
page 3	丙種統一公債抽籤還本
page 3	虹口發生空前巨劫失贓十九萬餘元
page 3	美度支委會通過海軍擴充經費案共九萬萬六千七百餘萬金元
page 3	德向匈要求由德控制多腦河沿岸匈政府現正與意交換意見德並向南羅保提同樣要求
page 3	爭霸大西洋上之英法德海軍實力檢討中
page 3	桂西犯日軍總崩潰贛北我分途掃蕩南昌外圍
page 5	三埠情勢已呈緊張
page 5	亦已源源增抵各
page 5	日軍近仍狂拉壯丁
page 5	近企圖向八區威脅
page 5	義勇軍襲中山港口
page 5	粵港青年會服務團已抵韶
page 5	粵高等法院攷選拔管獄員昨公佈考選簡章
page 5	粵貿易處在各地辦事處之成立
page 5	日軍在順德設立兩募兵處鄉民甚少應募
page 5	湖汕各縣市黨部聯請僑胞救濟難民
page 5	僑胞歸國注意鯊魚涌被炸後交通新例廣九鐵路設社會服務處
page 5	設社會服務站
page 5	以後安全辦法
page 5	省務會議議決修築西江堤基未雨綢繆急不容緩拿獲漢奸九名照章給獎
page 5	大良日軍換防抵達後向各鄉大肆騷擾我空軍飛容良沙各地偵察
page 5	南路行署政訊黃秉勛巡陽電
page 5	南洋僑胞慰勞團將抵韶各界籌備歡迎
page 5	桂省劃分政區分設十二行政專員
page 5	我軍向江會增加準備總攻三埠情勢雖緊張輪渡仍照常來往日圖威脅中山八區時派艦艇窺伺三鄉等地壯丁多被強拉代築公路中山義勇軍襲攻港口之激戰
page 6	意溪之得失
page 6	我反攻楓溪
page 6	日軍之譁變
page 6	英德戰後庶政更新組織文化與消費二社立碑縣府前保障學產
page 6	省券輔幣大批放出
page 6	李卓元升任第某師長
page 6	上思日軍紛紛南移圖迂迴再犯防城陰謀迂迴襲擊欽西我軍另闢出海線代替欽邕路日機掩護日軍反攻亦不獲逞
page 6	我軍佈防十萬大山
page 6	平吉日軍悉被包圍
page 6	行署登記民間槍械
page 6	嶺東我克意溪兩路反攻楓溪戰情潮安日後籐部隊反戰譁變參議野村及傳令兵被擊斃
page 7	全市商店提早收市
page 7	首次管制只半小時
page 7	兩架飛機　翔天空
page 7	舉行成績仍屬平凡
page 7	卅分鐘內再度舉行
page 7	敵機投彈救護演習
page 7	三次警報出人意料
page 7	貨車御者違例被罰
page 7	法僑賣物會函謝各界購物
page 7	米行公所慰勞綏西將士昨匯往國幣二千元
page 7	蔣光鼐夫人劉慕儒昨出殯
page 7	帝航公司歸併英航公司
page 7	汎美機未到港
page 7	藥材行又購國債二萬餘元
page 7	中華基金會定期召開年會孟祿博士來港出席
page 7	港政府實行接管丹挪商船現扣留本港者已有十一艘船上貨物亦暫由政府收管
page 7	違犯節省陽光法例案押候本月十六日正式審訊
page 7	第二次大規模防空演習昨夜發出警報三次每次時間短促成績甚佳中環兩地點被投下毒彈
page 8	改國　為本位
page 8	分配徵求隊伍
page 8	華商總會主辦
page 8	印警擅離職守被警當局拘控
page 8	揮刀傷人被捕
page 8	攜帶德藥入口滬輪客被重罰
page 8	姊妹爭產案昨日判決被告梁少芬反控得直原告敗訴須繳付訟費
page 8	航行須防水雷航政署之佈告
page 8	小童墮樓慘死
page 8	兩車失而復得
