page 2	我欲與范軍長談談良心什麼　護法五什麼　假面護法
page 3	趙玉珂索航空署經費王克敏憤而辭職
page 3	樊鍾秀朝敬銘因降孫已奉令褫官通緝
page 3	華段廣九路虧折請京政府接濟否則停業
page 3	曹錕令裁撤幣制局又令嚴辦銅元票案又令嚴禁索薪
page 3	外交團答覆伍朝樞截留關餘書已轉由廣州領事團領袖遞交內容略謂欲取任何關餘皆須直接向北京政府交涉外交團不能為力只有反對自動截取稅款
page 3	某使表示外交團對粵稅關交涉態度一外交團絕無干涉
page 3	外交團與孫文交涉關稅之往來函電經由領袖公使抄送北京政府查照
page 3	臧致平有投直說
page 3	周蔭人通電聲明不干政所委知縣係從權酬庸現周在閩北辦官樟充餉駐莆田二師六團赴上游由一軍四旅填防周與盧興邦議和盧要以一團駐樟湖　周未允
page 3	援川軍十四午克重慶熊克武但懋辛軍退壁山綦江萬渝交通已復
page 3	十四日某訊得謁顧維鈞詢金佛郎案外部並未承認至財部如何進行予並不知等語
page 3	北京各報皆載蘇皖閩聯合出兵攻浙事惟當局尚否認
page 3	義使照會外部稱留議學生概免學費
page 3	外部對坎拿大取締華僑案
page 3	謂坎拿大與我未訂專約前仍適用坎通商保工各約
page 3	十日孫烈臣赴遼河養
page 3	日方表示中美無線電台可立但祗限中美通信至他國仍由日台通信
page 3	趙玉河以航空署費三函財部催索不覆甚憤因偵王克敏到部趕往毆王幸王急避未傷趙即被逮王憤而辭職
page 3	京政府擬禠張英華職查抄拿辦其京寓十四日已查封
page 3	交部內定元旦日起國有各路一律加價
page 3	吳景濂連日電津求助適王承斌往德州檢閱軍隊故無應吳者
page 3	劉振華電稱老洋人部由牛耳州入鳳凰咀圖竄川
page 3	吳佩孚電蕭耀南如省長令發表請讓出督理或師長畀人蕭不懌請病假
page 3	蕭耀南委楊鑽緒充武陽夏市政籌備處長以抗湯薌銘
page 3	魯省署令海關自十六日起停止糧食出口
page 3	連日劇戰之東江消息石龍石灘依然吃緊
page 3	急籌軍餉中之稅捐雜聞
page 3	急籌兵力之招兵近聞
page 3	廣九路華段有停行消息
page 3	外艦抵粵近聞
page 3	北江最近之戰訊
page 3	粵軍大隊駐鐵場之別報
page 3	香港仔將來之壯觀
page 3	因爭黨見打架
page 3	炒金錢失敗發狂續聞
page 3	松秀西街又發現劫案
