page 1	美蘇關係的轉變
page 2	躉存大批貨物準備運入中國
page 2	採取週密步驟保護路運安全
page 2	美國人民反日運動緊張教授多人聯同發表宣言要求政府積極援華制日
page 2	甘地　運動昨晨開始
page 2	前美陸次路易士約翰臣談美準備應付一切戰爭美在兩年內擴軍所得成績等於德國在過去七年努力
page 2	西內長宣拿爾改任外長
page 2	上海一古董店被劫失贓數十萬元
page 2	英國每天戰費七百五十萬鎊英財根在眾議院報告需要戰費十萬萬鎊
page 2	上海糧食恐慌情形嚴重倘不及早謀施救則冬季不堪設想
page 2	直布羅陀砲聲不絕原因尚未明瞭
page 2	日蘇締約說僅係臆測之辭日方故放出此種空氣以對抗美國堅強態度
page 2	美各地壯丁紛紛登記此種空前浩大工作順利進行絕無障礙
page 2	日荷共同發出報告雙方談判無甚結果
page 2	英向挪威購得兩大郵船
page 2	滇緬路今晨已開放曾鎔甫奉令往主持
page 3	倫敦上空德機竟夜活動但所投下之炸彈不多
page 3	美海軍在遠東作戰須據有星加坡根據地否則處於極不利地位
page 3	中央圖書館組織條例國府十六日公佈
page 3	保加利亞境內已有德軍二萬蘇方否認蘇軍集中羅邊
page 3	加拿大政府禁鉛運日
page 3	英大實業家希真氏被炸斃命
page 3	意國司安納省發生地震
page 3	日機三十六架轟炸重慶
page 3	蘇美談判改善邦交
page 3	租界逮捕傳案一嫌疑人
page 3	吳鐵城抵泗水
page 3	粵設購糧基金
page 3	粵驛運處將開始營運
page 3	中央日報社社長陳博生繼任
page 3	東南評論社響應寒衣運動
page 3	黔節建儲蓄確定八百萬元
page 3	印回族同盟會通令定期禱告
page 3	美加利用水力發電供給國防工業
page 3	美海軍增防巴拿馬運河區
page 3	福大法學院歸廈大接辦
page 3	萬國寶通津支行否認行將結束
page 3	精神超於物質
page 3	英允准商人運軍用品往瑞
page 3	前西加太倫納總統金賓士被處決
page 3	傳墨將若干煤油權讓給日人公司美政府頗注意此事
page 3	桂我軍衝入龍州蘇皖邊境日軍圖犯郎溪
page 5	日艦艇又　集白蕉
page 5	袁帶召開軍事會議
page 5	中新日商奉令撤退
page 5	我團隊再衝入大欖
page 5	新開健兒俘日炮兵
page 5	僑務委員會招考僑教師資訓練員
page 5	廣花線我軍出擊日軍退守龍翔日渡從化河西擾被擊退炭步壯丁勇襲大陵得手
page 5	太平場日出擾被殲
page 5	廣州日軍人數之調查市區內外約共一萬人
page 5	炭步壯丁襲擊日營
page 5	桂負傷將士獻機運動通電全國負傷將士熱烈響應先獻千五百元購榮譽號機
page 5	興辦水利救濟米荒一區專署之通令
page 5	護沙游擊隊長之繼任人現尚在逐鹿中
page 5	港粵青年服務團抵桂林向　主會獻旗
page 5	粵集中全力救濟米荒趕速完成驛站運輸糧食來粵貿易處購湘米救濟東江米荒
page 5	惠陽集團結婚定明年元旦舉行
page 5	東江匪盜猖獗華部派隊圍剿
page 5	袁帶昨返抵中由八區指揮中右兩縣廣泛游擊戰日再佔大小霖艦艇增援白蕉彭霖生觀察崖西增設封鎖線
page 6	日機一架
page 6	再行佈告
page 6	騎兵數百
page 6	李主席視察兒教院蔣夫人關懷兒童米食匯款來粵儲糧三個月
page 6	瓊崖我捷報頻傳大獲戰果雙十節日國旗飄揚文昌城上嘉積市亦一度攻入巷戰甚烈
page 6	克復文昌
page 6	攻入嘉積
page 6	我機偵察河口
page 6	三個月來韶關罪犯減少
page 6	台城三埠物價
page 6	日機濫炸台山
page 6	曲江稅局銳意整頓稅收注意檢查工作
page 6	惠虎列拉流行
page 6	日機昨　寶安偵察我軍各處陣地並飛沙魚涌鹽田窺伺深圳增到日騎兵數百
page 7	宗旨
page 7	組織
page 7	內容
page 7	留營難民統計較前星期減四十九人
page 7	警探搜捕搶匪獲疑犯七名
page 7	四人被控私藏無線電機
page 7	本港秋季馬票明日下午開彩
page 7	字花賭棍日益猖獗在酒家收票當街開字華探長朱香據報率隊突至掩捕男女賭棍八人被拘解法庭嚴辦
page 7	羅拔遜畫展會今日上午開幕
page 7	柴商營業狀況准用華文呈報
page 7	賊艇竟配巨炮四出截劫漁船流浮山海面一漁船被騎劫漁人幸獲脫險昨返港報案
page 7	誤殺案昨提堂
page 7	兒童劇場將可成立小朋友皆大歡喜不必再盾連環圖
page 8	煙稅可增二百萬元
page 8	其他提案皆獲通過
page 8	民生書院管理財產糾紛　開力為黃映然爭辯
page 8	籌款原因
page 8	繼續發言
page 8	下列問題
page 8	撤退英婦孺生活費港政府將酌量補助
page 8	文協會將舉行第四次座談會
page 8	美紅十字會增派醫師來華貝克等過港轉赴內地
page 8	劫艇殺人慘案詳臬被告何龍任為該艇夥伴貨客陳英力證被告行兇
page 8	拔出一鎗
page 8	防空演習下月　　舉行
page 8	一商行減股本已獲法庭批准
page 8	廚子斫傷同侶案續審證人供述血案發生經過
page 8	一　瘋女私逃
page 8	　　入年增二百萬非常時間支銷大部賴以彌補　銷耗之大於此可見一斑
page 10	全港華人水上競技今夕舉行決賽七時假南華場角逐並有音樂助慶歡迎參觀
page 10	菲律濱游泳團突中止來港作埠際賽因美當局未予批准成行
page 10	協會小組委員下週召開會議
page 10	青支會籃球賽三人名單選定
