page 1	蔣委員長之堅決表示
page 2	魯西戰況我軍收復聊城堂邑斬獲甚眾刻仍向前挺進津浦線我決定反攻計劃
page 2	宋子文俞鴻鈞昨已乘輪南下
page 2	主持抗戰大計林主席昨抵渝沿途歡迎者約十餘萬人全市懸旗結綵至為熱烈
page 2	中央決定改組蘇浙兩省政府顧祝同為蘇省政府委員兼主席黃紹雄為浙省政府委員兼主席
page 2	晉南防務決定有新計劃平遙祁縣一帶殘敵肅清
page 2	平陰我軍擊落敵機
page 2	南市閘北我便衣隊活動襲擊敵軍營幕
page 2	平漢全線沉寂我仍在寶蓮寺一帶與敵對峙
page 2	鄂省府全體委員定期就職
page 2	敵機械化部隊將鬧煤油荒煤油消費日增國內儲油日減
page 2	王寵惠過贛抵湘
page 2	閩海西洋島被敵登陸現該島情勢混亂
page 2	日艦泰安丸突爆炸沉沒該輪載有煤油一千八百餘噸運赴某處接濟華南之日空軍
page 2	呂參軍長代表談話
page 2	我軍澈夜猛烈反攻無錫城北發生巷戰江陰血戰形勢緊張仍由我軍扼守青陽港昆山一帶我游擊隊甚活躍滬西偽滿軍一部反正擊斃敵軍官及士兵多人
page 3	九國會議宣言書我國代表聲明接受惟對於會議所獲結果不能認為滿意德國人士認為會議失敗實無可諱言
page 3	美代表台維斯離比前之談話
page 3	中日問題諮詢委會或將在下月舉行會議惟委會何時召集開會當視我政府意旨決定我政府於要求召集會議前當與英法有商談
page 3	英德邦交改善後歐洲時局前途可望有重大之改善英法可望承認德有收回其舊殖民地之權西國叛軍統帥有願接受不干涉提案表示
page 3	日破壞滬租界行政提案英眾議院昨提出質問日要求禁止華人在租界作愛國活動此等無理要求是否破壞中國之主權
page 3	湘主席張治中今日視事
page 3	孰令致之滬民多成餓殍每日在街上之尸骸平均有一百七十具
page 3	歐洲一般輿論對我同情顧孟餘之談話
page 3	日人排英原因日外務省亦謂難以解答日報盛載英國援助我國消息致引起日本方面對英之反響
page 3	巴黎警察當局宣佈破獲反動機關經過主動人物德朗格力今已被捕全國各地共有保皇黨五千人
page 3	桂省賦稅下月起收法幣
page 3	英國最近發明航空用品
page 3	敵海空軍騷擾廈門附近
page 3	日本說客大倉訪意要人
page 3	西安槍決圖謀不軌漢奸民眾皆大稱快
page 3	蔣委員長決堅表示中國政府決抗戰到底如要停戰必須日本首行覺悟蘇聯助我不逾國聯盟約範圍敵將松井又發表荒謬談話
page 4	名流書畫展售振難會敦請救國公債會主席開幕今日下午二時半在華人行舉行同時並請文學家江亢虎氏演講截至現在已籌得款項二千餘元
page 4	小足球友誼賽新圖強對新生三時半在旺角球場
page 4	南會明日旅行目的地蝴蝶谷九時三刻在統一碼頭出發
page 4	本週足球秩序今日西隊出賽明日純由華隊對壘
page 4	南華游藝部設四種訓練班
page 4	振成銀牌賽秩序
page 4	港乒乓協進會再辦團體初級乒乓賽
page 4	德國網球名手過港表演四場極見精彩單打格林姆戰亨克爾尤為劇烈一行四人昨夜深趁原輪赴澳洲
page 5	汕市府限制壯丁出國旅業公會請變通辦法
page 5	李卓元發言闢謠浪人圖謀不軌我已準備應付
page 5	潮屬濱海各縣組鹽民保衛隊
page 5	嚴禁棉品出口
page 5	各縣市之募債進行均見順利
page 5	潮汕船舶管理處取締以糧資敵
page 5	米商建議改善輾米辦法國米大幫運粵
page 5	警備部發言人談敵機艦行蹤
page 5	非常時期之稅收
page 5	實行按部章征營稅
page 5	稅局解釋貼花疑問
page 5	令督促成立工人儲蓄會
page 5	省難民救濟會在市內設四個難民收容所
page 5	警察局飭河南蒙聖分局勸河南災區附近居民
page 5	市社會局
page 5	財政廳長會養甫為發展各縣商務
page 5	省會警局昨頒佈請領出國護照手續
page 5	敵機昨又分隊襲粵漢廣九兩路
page 6	粵軍需局通電
page 6	指定徵集四種
page 6	分區徵集軍品
page 6	購機會籲請美洲僑胞捐款
page 6	寒天救濟貧民擬聯合善堂舉行
page 6	軍事分校定期再行演習
page 6	農村合作會擴大農貸會議改下星期舉行
page 6	繼續舉辦失業軍官登記
page 6	購機抗敵會徵求籌集捐款辦法
page 6	壯丁隊昨在燕塘實彈演習
page 6	河南被炸各災區陸續掘獲屍體正義會揭敵暴行
page 6	計劃發展瓊崖農村生產建設
page 6	江門海關限制棉胎出口
page 6	敵機偵察航行西江輪渡
page 6	組文化促進社
page 6	新會破獲石壁賭窟
page 6	捕獲兩個劫匪
page 6	組隊慰問災黎
page 6	賭徒鬻子殺妻
page 6	軍政部舉行全國軍用品徵集粵軍需局之通電
page 7	早車脫軌
page 7	敵機轟炸
page 7	廣州消息
page 7	第三號線巴士停售學生月票原因乘客過多公司被罰多次新車到後始能照常發售
