page 1	吏治與法治
page 2	皖南日軍已呈總崩潰勢南犯日軍被我四面包圍我在宜興之南痛殲日軍
page 2	湘鄂贛日軍已呈覆敗之勢九宮山北激戰八晝夜日兩度增援均被擊潰
page 2	王外長向美廣播題為維護中國文明
page 2	晉南我軍續克要點多處乘勝分向晉城壺關掃蕩張茅大道東側擴張戰果
page 2	海防某太夫人變賣金飾慰傷
page 2	屈映光抵滇視察難民
page 2	郭振奇將軍談竭力守衛宜昌日軍若來犯我決盡力抵抗鄂東日軍尚無大規模調動
page 2	學生胡錫泰因變節被刺斃
page 2	統一招生本所繼續辦理
page 2	臨晉偽軍突起反正俘偽縣長一名
page 2	潮汕日軍遭我痛擊
page 2	德日邦交已漸疏遠日無餘力以助德國傳日將與各關係國談判締約俾得防止遠東牽入歐戰漩渦
page 3	德軍宣稱已奪得當巴士
page 3	英機夜襲歐士勞飛行場
page 3	匈提議將多腦河一部交於一國際艦隊保護此國際艦隊當必包括德艦羅南兩國已拒絕此項提議
page 3	辛克萊主取更堅決行動
page 3	聯軍準備夾攻德倫的英
page 3	瑞典海外又發生大海戰
page 3	英國當局不願宣佈戰情
page 3	羅馬教皇力促英意接近意願解決兩國懸案英禁輪航行地中海
page 3	蘇聯舉行勞動節慶祝禮紅軍列隊操演史太林等參加
page 3	希氏致書鼓勵前線將士
page 3	星洲華僑與警察發生衝突華僑三死二傷
page 3	荷蘭決心維持中心地位不與任何一國發生同盟關係
page 3	上海以西五百公里內慘被日軍蹂躪五萬家戶居民流離失所無家可歸者在萬人以上
page 3	希特勒在勞動節將不發表演說
page 3	林語堂幽默談汪政權
page 3	渝中蘇文協等六團體舉行茶會歡送邵大使到于右任暨來賓等千餘人
page 3	三架不明國籍機飛到英倫海岸有一架被擊落
page 3	美人懸鉅獎生擒希特勒現金一百萬金元限以五月底為止
page 3	德國人心漸感不安
page 3	世運會今年取銷舉行
page 3	瑞典又宣佈封鎖若干區域不許外人入境
page 3	我定期對蘇美播抗戰歌由該國電台轉播
page 3	南僑慰勞團分赴各線勞軍
page 3	意政府徵戰時利潤稅
page 3	滬華美報被迫停版三週
page 3	日島田中將奉任侵華艦隊司令
page 3	英商船損失報告今後停止發表
page 3	德倫的英一帶現已展開主力戰聯軍完成錐形陣線以包圍挪威克挪軍克復猓羅士鎮德軍向南退卻
page 5	日軍再佔企石紅灣
page 5	澳門戒嚴經已鬆馳馬會賽馬如期舉行中山日軍尚無異動石歧我便衣隊活躍
page 5	儋縣日軍犯日沙縣境戰事劇烈日圖打通瓊山瓊東各縣不逞瓊島日機突增加圖擴大騷擾
page 5	中山日軍最近狀態
page 5	崖門梅閣雙方對峙
page 5	東莞偽縣長潛入篁村被擊
page 5	江會緊張三埠仍安
page 5	中學生遺失畢業證書請求證明資格辦法粵省教育廳規定實施
page 5	各機關購辦物料應先與信托局接洽
page 5	禺南民眾勇戰擊退日軍日軍以焚殺報復我壯士誓保家鄉
page 5	日軍厭戰表現又一事伍長厭戰深夜自殺遺書勸部屬拋了武器找尋生路主戰暴力派實為日本民眾公敵
page 5	不得行使日偽軍用票擾亂法幣照漢奸論罪
page 5	桂省實施國民基礎教育成果現有國民學校共二萬餘間入學兒童一百六十餘萬人
page 5	桂南戰場清理日軍遺屍各縣市防疫清潔
page 5	恥與傀儡同名周之貞之談話
page 5	日軍突佔紅灣企人石控制澳門與內地交通圖誘迫各輪渡轉經廣州航行各航商寧願停航亦不欲繞道昨仍有傍船載客貨開入內地江會情勢雖緊張三埠仍安定
page 6	北線日軍增援數千
page 6	南屬太平偽軍劫奪鄉民穀米
page 6	廣東之農民運動全省農會已有五百餘個發動鄉村里間農運小組
page 6	粵路正面連日激戰
page 6	桂切實防止日人經濟侵略嚴禁人民購買日貨黨　人員尤須約束
page 6	中央軍分校在新興招學生
page 6	軍管區分飭分飭健全國民兵團組織
page 6	教部明令優待歸國就學僑胞
page 6	中央將舉行全國運動會粵體育界準備參加
page 6	游擊指揮所召開東江游擊會議
page 6	北江日軍驟增粵路南段醞釀大戰日竄大塘樂同被痛殲廣花路沿線遭我破壞
page 7	消防隊員週年大操輔政司代表港督到場檢閱隊員十餘人獲獎勇敢勳章
page 7	檢閱儀式
page 7	史司訓詞
page 7	獲獎隊員
page 7	各工團昨紀念勞動節各大工廠照常開工
page 7	三賊劫導遊女劫去首飾值三百餘元
page 7	廣大三學會電蔣委長致敬
page 7	民大留港學生今歡迎吳鼎新
page 7	廣州兩教堂籲請捐助善款
page 7	英庚款會攷選留外學生八月初在港滬渝昆攷試
page 7	騙案犯處徒刑
page 7	華人代表羅旭和勸業主勿濫加屋租須體恤下層階級之痛苦以免影響整個社會秩序
page 8	持刀亂斬
page 8	贖取田地
page 8	妻羅定嬌
page 8	互有吵鬧
page 8	粵北慰勞團售紀念章籌款明日開始一連七天
page 8	武漢合唱團將在港表演
page 8	醫生作供
page 8	慰勞英國將士無線電報減費
page 8	港婦女防空班定十三日開課
page 8	防空處促市民購面具每具僅售二元五角確可抵禦任何毒氣
page 8	工務局管工受賄疑案開審原告述兩被告索賄經過
page 8	長沙會戰中央戲院昨晚義映
page 8	警察當局嚴厲執行入境條例無保證金者一律遣送出境任何人不得代為擔保請釋
page 8	外勤記者聯會昨開二次大會
page 8	報紙壓傷兩人
page 8	建新營造公司昨開股東年會
page 8	德貨一批拍賣
page 8	翟大光演講燈火管制條例
page 8	普益商會響應傷友運動
page 8	港各青年團體將追悼楊子江
page 8	天后誕溺斃進香少年
page 8	本港痢症流行去週發生三十二宗
page 8	佐頓碼頭血案被告詳臬定讞
page 8	港九難童學校校董二次會議請教部補助經費
page 8	保良局主席昨招待各總理
page 8	傭婦耳環被搶
page 8	藏毒犯被拘罰
page 8	西婦途遇搶匪
page 8	林西河堂新職員
page 8	西貢老農夫侯庚寶砍斃胞弟被判處死刑被告指其弟欲獨佔田產母死未及百日慘禍遂起
page 10	菲華隊湔雪前恥昨晚壓倒港星陳聚才最後一射定勝局男子賽東方勝星島一分
page 10	比賽過程
page 10	全港學運籌賑會今日假加山揭開序募一連三天競賽項目豐富異常
page 10	南華體育會選定廿九年度新職員陸靄雲任會長顏成坤任主席
page 10	學界排球賽六日開始角逐
