page 1	川樾北上與經濟提攜
page 2	川樾北上簽訂經濟協約張外長電宋制止促將協約副本寄部並派陳介北上協助
page 2	川樾赴平後將即返津召開華北領事會議在平將訪宋商開發華北經濟事宜
page 2	日人承築滄石路鐵部令暫緩簽約派員北上調查
page 2	日海軍派技術人員來津分赴華北海疆測量企圖侵奪海軍根據
page 2	討論事項
page 2	報告事項
page 2	政院二七五次例會決議改組黔省府任命曹經沅王徵瑩等為省委民財教建四長人選亦已決定
page 2	顏惠慶辭駐俄大使職
page 2	偽軍在商都募土匪日軍由熱河開入商都
page 2	任免事項
page 2	滬捕房破獲製造偽由機關拘獲案犯三名
page 2	謝作民任粵僑務局長
page 2	李桐華返京報告視察情形
page 2	在蒙失蹤德記者現查仍在滂江一時未能返平
page 2	滬粵線機因風展緩航程
page 2	政治活動重心由牯遷回首都
page 2	鹽務稽核所積極整理粵省鹽政
page 2	財部澈底整頓粵省財政中央廣州分行可如期成立鄒敏初日內來粵就行長職裁撤苛捐雜稅亦在積極審核中
page 3	王寵惠昨抵滬據云鼻尚須洗滌
page 3	淩道揚對新職未決定
page 3	國債統計八萬萬餘萬
page 3	颶風過港後已在滇西消滅
page 3	朱紹陽夫人被綁案槍決正犯三人
page 3	歐亞公司提倡飛翔運動
page 3	全國童軍大檢閱雙十在京舉行
page 3	七科學團體聯會昨日舉行開幕
page 3	京江兩路與招商局辦理旅客聯運以六個月為試辦
page 3	中日貿易協會全體理事會議審查新會員入會資格
page 3	高考報名展期
page 3	公路交通委會舉行三次常會確定會計規程等原則
page 3	王景岐與金問泗昨日同輪赴歐
page 3	吳忠信昨日到部視事
page 3	中臘友好條約臘政府已批准
page 3	日駐屯軍參謀長橋本正式就職永見交代後定期回國
page 3	各方國選進行
page 3	叛軍控制馬德勒政府軍將放棄首都
page 3	對西班牙中立案德國已表示贊成但意國尚未同意
page 3	亞人抗戰不懈伺機襲擊意軍
page 3	新颶風之趨向江浙將受襲擊
page 3	法飛行家創高度新紀錄
page 3	兩職教團體昨開全體大會通過重要提案廿餘件下午二時即行閉幕禮
page 4	南華體育會南遊隊最近戰績
page 4	公開籃球賽今晚舉行壓軸戲
page 4	精武會友搏擊賽今晚共有九場舉行
page 4	澳門公青隊昨抵港今日對信修及中央比賽
page 4	英京銀價無變動
page 4	省法幣市價盤旋
page 4	八九金價昨微降
page 4	昨日廣州西紙市
page 4	滬外匯市情沉寂
page 4	港滬埠際滾球賽港方選手定九月四日赴滬在滬作埠際賽三場友誼賽六場定十四日決賽十六日離滬南返
page 5	省府首次會議議決九一實行禁賭設立禁賭委員會禁賭條例付審查
page 5	潮汕銀業公會請求潮汕大洋券與國幣平換痛陳人民損失舉出理由五點
page 5	提要桂軍注重梧州防務翁照垣部盡開梧州白崇禧昨到梧視察十九路軍恢復昨訊中央軍佈防西江情形
page 5	桂事轉趨嚴重中蔣令各將領刻日赴防對桂軍事分兩路指揮由胡宗南陳誠分任仍派譚啟秀等入桂翰旋並與蔡廷楷面商已來粵之桂空軍人員發表告桂空軍書
