page 1	張弛不定之日蘇關係
page 2	桂南戰況
page 2	晉南戰況
page 2	魯東南偽軍紛紛攜械投誠均改編完竣參加殺日
page 2	日方迭放謠言令人齒冷傳我林蔚將軍戰死林蔚現在前線殺日
page 2	美海軍當局表示不能放棄遠東將來菲律濱獨立之後美艦隊仍留駐於遠東
page 2	殷家匯日軍遭我奇襲
page 2	上海船塢公司發生工潮九百名工人罷工
page 2	朱友漁被選香港區副主教及昆明教區正主教
page 2	在瑞麗舉行中緬會議討論兩國一切問題
page 2	交通銀行職員中途被劫失款約三萬元
page 2	羅洞鄉民奮起殺日
page 2	川各地慶得甘霖
page 2	鄂慰勞團由桂返省
page 2	彭澤日軍一部陷我重圍我正加緊圍殲
page 2	日否認蘇滿邊界又復發生衝突
page 2	蘭州舉行生產展覽大會
page 2	土對國際形勢採取靜觀態度將繼續軍事上之準備俾隨時應付非常之變
page 2	日對開放長江仍謂在準備中
page 2	陳濟棠特任農林部長
page 2	滬美籍僑民調查財產損失將向日方要求賠償
page 2	楊杰在昆明為其姪女主婚
page 2	日人民反戰同盟在桂演劇
page 2	法日商約期滿生訂商約談判尚未開始
page 2	築市降冰雹
page 2	日機轟炸滇越路被我擊落兩架殘骸在廣西發現
page 2	昆明童軍慶祝童軍節在省黨部舉行
page 2	國府明令褒揚孫鴻哲
page 2	倫敦發出警報
page 2	德搜集全國廢用銅錫器皿
page 2	日下年度預算貴族院昨通過
page 2	楊虎通電討汪
page 2	日欲誘迫第三國承認汪偽政權
page 2	日將取銷外人在華權益
page 2	鄂北我軍克復洛陽店邕欽路常被我軍切斷晉南戰況仍烈我予日軍重創
page 3	蘇報自稱並非侵略
page 3	挪威恐懼戰爭擴大
page 3	日我爭奪的西山礦產民革社記者談虹
page 3	法上議院秘密會議
page 3	比報頒揚芬軍英勇
page 3	德外長與教皇商討辦法改善待遇奧布等教徒
page 3	蘇芬停戰後德外長新企圖促意與蘇訂立商約防蘇侵巴爾幹半島
page 3	麥唐納將到巴黎參加某項會議
page 3	東京法庭秘密審訊楊格
page 3	英日討論天津白銀問題將達到最後階段
page 3	澳總理演說澳以全力幫助同盟國集中一切力量爭取勝利
page 3	歐洲各地大風雨西線戰事停頓
page 3	金鎊價低跌日外貿受打擊
page 3	蘇芬兩軍根據和約開始撤離戰線對芬蘭所提防禦同盟計劃瑞挪兩國政府正加以研究
page 5	三廠昨晨繼續大火
page 5	中山各區日軍情形
page 5	東江南岸戰事無變化翟榮基談廣九路之交通
page 5	順德沙溪墟茶樓倒塌壓傷日拴及茶客日軍勒店東賠償
page 5	擾萬金沙
page 5	西江日艦艇擾萬金沙又砲轟頭溪圍馬房亦被擾犯
page 5	中山陷後三埠交通
page 5	各地戰事昨似沉寂
page 5	轟頭溪圍
page 5	禺南未受中山戰事影響縣政府照常辦公
page 5	兩龍日偽軍調駐九江河清
page 5	傷兵之友社開展工作徵求社友進行服務
page 5	寶安獎勵捕奸得力警員
page 5	鶯哥嘴日軍撤退大良城之近狀
page 5	私人通訊禁談軍秘四戰區司令部飭知
page 5	日軍在大　南頭登陸情形我軍爭奪小欖之激戰在小欖郊外肉搏日偽死傷慘重日偽大舉增援戰事又復劇烈
page 5	焚燒房屋乘機掠劫
page 5	轉向小欖方面進犯
page 5	我游擊戰略首次成功衝入石岐斬殺甚眾其後雖撤退已大收牽制之效三鄉日軍調石岐前山亦空虛灣仔形勢又略鬆惟昨有虛驚中山各區日軍情形與三埠交通
page 6	冒險往淪陷區辦貨
page 6	經營斯業人數大增
page 6	粵南及瓊崖兩大戰場我軍分途出擊先後告捷欽邕公路日軍運輸現又告中斷我衝入蘇墟包圍大塘進攻吳村高雷備戰並平糶囤糧抑平米價瓊島我軍紛碎日軍掃蕩計劃
page 6	我襲欽邕路三據點
page 6	大寺再展開爭奪戰
page 6	粵省府通令設立抗日復興林場本年春季以前每縣成立一所
page 6	寶安回籍義民昨已發給賑款
page 6	吳菊芳等提議嚴禁殺害女嬰惡習省府昨通令辦理違者以殺人論罪
page 6	瓊崖戰事轉入對峙
page 6	高雷方面抑平米價
page 6	惠陽縣府選舉財務委員
page 6	惠陽縣府舉辦漫畫展覽
page 6	日人經濟侵略之詭謀四邑資金流入淪陷區日多當局正籌商對策嚴防資日
page 7	華民司之布告
page 7	有關連之各行
page 7	逞兇鬧社導娘受傷
page 7	邀往茶樓強迫交款
page 7	三少年向導游孃勒索入社逞兇拳打導游娘茶樓交款計擒西裝客
page 7	幾種營業質疑
page 7	生果行受影響
page 7	意領返國渡假
page 7	少年從三樓跳下不傷一路人被壓亦幸無恙
page 7	太平洋會議各代表同情我國抗戰美人反日情緒激烈顏惠慶的返國昨抵港
page 7	西裝少年欣然接款
page 7	警探妙計化裝查究
page 7	三少年被捉將官裡
page 7	老翁失足跌傷
page 7	香港大酒店獲利六十餘萬定下月開股東年會
page 7	孔教學院丁祭
page 7	節省陽光法例已施行零售商店昨提早收市華民政務司公布規定收市時間違例者罰五十元再犯罰五百元
page 8	畢業學員僅數千人
page 8	港府督令繼續徵募
page 8	請各團體派員參加
page 8	改良東華三院之計劃李耀祥向督府陳述
page 8	少婦張麗英力證黃玉卿為其墮胎黃自謂業此已二十六年
page 8	兒童節將至港九籌備慶祝會場昨已選定
page 8	婦女習藝所擬設女子義學並計劃設救濟院
page 8	搜永和街煙窟查究鼠竊蹤跡
page 8	汽車失事傷人
page 8	粉嶺明日賽馬
page 8	鶴山商會舉辦邑僑匯兌
page 8	港督訓詞附錄
page 8	中山振難會再撥振款萬元威神父入中山施賑
page 8	華人機器會響應春禮勞軍學界昨開始募捐
page 8	純粹防空救護員本港現僅得數千名防空當局督促謝家寶繼續徵募謝氏定今晚演講籲請各界參加
page 10	今日甲組聯賽四場華軍三路出師南南加山迎香港雛鳳下山戰米軍光華整陣抗九龍
page 10	全港學運籌賑會昨開二次籌委職員
page 10	今日華大盃戰訊
page 10	九龍關新稅費
