page 2	讀西報發表孫文密函書後所謂華德俄聯盟如是
page 3	蔡成勳議下李廷玉長贛令
page 3	吳佩孚電招沈鴻英赴洛陽擬籌三十萬為沈開拔費沈已抵萍鄉一說吳因閩贛不靖擬畀沈贛南鎮守使著暫勿回桂
page 3	徐謙辭司法部長謂在滬鬻書傳道不投身漩渦
page 3	昨銀行界開會羅文幹提議發新債十兆八二實收利八厘分五月承募節前發一月聞贊者半數
page 3	財部日內撥參院經費十萬眾院十四萬
page 3	聞新債近改四期發行每次二兆半因總稅務司安格聯主張將價抬高傭金六厘預扣三月利實收為八二須閣議再定
page 3	新債十兆以俄賠款擔保有命令廿四日可下訊債票即出售實收九折利八厘
page 3	廿三日閣議議決海州開埠費由加稅內年撥二兆限祇五年即照會公使團
page 3	宣統十二月一日結婚聞祇派載濤等為籌備員
page 3	英使請在浦口設關外部函稅務處交通部核辦
page 3	法使詰問停付俄國賠款是何用意故新債擔保品尚有問題
page 3	聞隴海路督辦因賬款不明及存款未得部同意將免職以張祖廉護理
page 3	漢口銀行公會商會反對發行新債要將舊債補抽方允承募
page 3	張英華不願就財政討論委員會長已赴天津府院囑高淩霨勸回
page 3	黎元洪派程守　赴滬歡迎李烈鈞北上
page 3	昨旅京贛人赴府院請願撤蔡成勳罷李廷玉院派秘書代見
page 3	粵漢路潮因部認條件反覆致未解決
page 3	揚子鐵廠及漢口自來水電局京漢南段等工人宣言罷工
page 3	聞趙傑率匪攻陷澠池政府電吳佩孚馮玉祥嚴勦
page 3	安格聯對於千萬新債已允簽字但須以半數償到期外國小債
page 3	廿三日閣議馬敘倫教部次長未到前由鄧萃英代
page 3	傳保洛因閣事又齟齬曹錕覬覦副座聞已運動成熟國會開即選舉
page 3	閩李厚基向洛陽乞援吳佩孚擬派薩鎮冰長閩則海軍助李
page 3	通縣毅軍全開熱河由直軍填防
page 3	津傳舊德俄奧租界將抵押某國津人請省議會詰問中央
page 3	陸軍部部長索薪廿三日罷工
page 3	自淩　發表宣言反對停止護法對於孫中山勸議員北上一事表示不滿認為失節投降加以章太炎一派對於孫曹聯合尤多微詞因此民黨內部發生意見孫中山昨對黨員特發表宣言大致與前次宣言同意在表明態度始終一貫
page 3	北京電農商總長高淩霨二十三日入京就職安格聯贊成臨時庫券主張以半數用於外債
page 3	上海電孫中山派汪兆銘為代表二十三日與張作霖派遣來滬之代表吳某偕乘神丸船赴奉
page 3	周醒南因許軍入汀事來見粵當道
page 3	陳競存約葉舉同行返省
page 3	北江各縣請撥款辦善後
page 3	調梁鴻楷兩團赴肇慶
page 3	軍隊不宜駐於商人集合處所
page 3	李炳榮派兵衛省署
page 3	北海西訊
page 3	梅蘭芳來港消息
page 3	謀殺案
page 3	被控虧空案再押候
page 3	銀價
page 6	護法議員第三次宣言
page 6	護法議員在京組織辦公處
page 6	政府與安格聯接洽外債
page 6	黎黃陂與蒙議員談蒙事
page 6	青年會賣物場續記
page 6	鶴邑同鄉總工會成立
page 6	煙未納稅案
page 6	竊案
page 6	謝英伯到京後之言動
page 6	關餘訴訟案之解決方法
page 6	中醫生被匪打單
page 6	貨車苦力被控
page 6	被控在船上走私位
page 6	影畫誌
page 6	鴉片問題
page 6	長春日俄會議
page 6	近東問題
page 6	匪徒拒捕受槍傷
page 6	援川軍決意收束
page 7	熊略部軍之操練
page 7	市參事會長再次流產之情形
page 7	郵局通告
page 7	警察藉查賭敲詐
page 7	增城米業工潮近聞
page 7	洪部旋粵消息
page 7	旅京廣東潮汕籌賑會之進行
page 7	瑣聞一束
page 7	省署電查普寧虎紳惡蹟
page 7	賀縣貨船被劫之呼訴
page 7	溫樹德已往海豐賀壽
page 7	乳源游擊隊圍攻楊軍
page 7	陳席儒家廟秋祭情形
page 7	翁楊兩部合剿英德股匪
page 7	新編第四旅軍隊仍駐樂昌
page 7	韶關裁撤聯合巡查隊
page 7	請保障民團之知要
page 7	佛鎮游擊隊之稀少
page 7	恩平募兵自衛
page 7	實行補選香山縣長
