page 1	分割羅馬尼亞
page 2	長子日軍西犯又起　戰晉境偽警紛紛反正日甚恐慌豫北我軍攻襲沁陽迭　戰果
page 2	錢鴻業傷重逝世
page 2	鄂中我軍衝入無為鄂南　軍向日進擊
page 2	扶南附近日軍受創
page 2	蘇彝士運河航運大為興盛已成為埃及之主要出入港英法對該河管理亦能合作
page 2	中山日偽軍發生火併
page 2	　大　詹森尚留重慶可見美對遠東時局經已有密切之注意
page 2	日機六十三架分批犯川
page 2	陳嘉庚離渝赴滇
page 2	皖北我軍猛攻安慶外圍
page 2	美人阿爾葛特在滬又被警告限其三日內停止廣播
page 2	渝社會局嘉獎清華學生冒險奔救我飛行員勇敢過人義俠可風
page 2	粵省府舉行人事行政會議
page 2	美國成立防空部隊四隊配備極為精良
page 2	北平近郊游擊隊極活躍
page 2	美洲廿一個共和國正式簽訂基本盟約反抗極權國家勢力侵入美洲美洲內部團結鞏固自身安全
page 2	立國重要工業即將收為國營共一百五十個單位
page 2	英大使卡爾赴海參威消夏
page 2	日本繼續拘捕外僑英人憤激主張報復英輿論界主張再開放滇緬路有料日本此舉為參戰之預兆
page 3	馬爾幹上德蘇事霸
page 3	作戰三年消耗鉅大日本國內困窘一斑
page 3	奧舊王室人員相繼抵美
page 3	美國陸軍將大規模演習演習規模之大為和平時僅見
page 3	美艦十艘已返回夏威夷
page 3	鐵肺人史乃特慶祝三十壽辰
page 3	德機百餘架大舉炸擊英倫英機升空迎擊發生激戰德機被擊落者達十七架
page 3	羅斯福向國會解釋強迫軍事訓練案平時地方軍訓練水準甚低未足以應付嚴重國際局面
page 3	美國防委會主張將過齡軍艦賣於英國並主張美積極以物資援助英國
page 3	傳德向瑞士提出某項要求但瑞士當局否認此說只令勸國人團結禦侮
page 3	西葡兩國成立友好協定
page 3	紐約洋面燕梳又增加戰險費運往愛爾蘭貨物增加百分之五十
page 3	邱吉爾聲言決心作戰到底務求打倒納粹帝國美報評英力量尚強
page 3	羅斯福赴芝沙畢克灣視察防禦工事
page 3	傳美已向日解釋統制煤鐵目的並非係打擊日本之政策
page 3	蘇聯海軍日
page 3	德決與巴爾幹各國合作建築一防蘇壁壘羅願割讓若干土地於保匈企圖維持巴爾幹暫時和平
page 5	我一度衝入佛子　
page 5	九江日軍亦被攻襲
page 5	順德綠林多已受編
page 5	潮汕日軍進犯樟林展開激戰日兩路強渡北溪均被我痛挫韓江東岸劇戰我軍克復意溪惠來神泉私梟日艇發生海戰
page 5	澄海日軍突犯樟林
page 5	韓江東岸我克意溪
page 5	惠來神泉發生海戰
page 5	台屬沖蔞蓮花尾河面煤油船火警燒斃兩命損失約值二萬餘元
page 5	偽兵不堪壓迫相繼挾械逃走順德日警備隊新定防止辦法
page 5	日機飛襲肇慶
page 5	我機飛襲河口
page 5	海豐電告日艦進犯汕尾媽宮詳情我因戰略關係曾一度退守奮勇反攻殲日軍達三百餘汕尾各鄉被搶劫損失重大
page 5	日艦突來
page 5	進犯汕尾
page 5	遭我痛擊
page 5	我軍向增龍反攻補述寶安日軍揚言北犯寶係虛張聲勢伎倆
page 5	我軍反攻增龍
page 5	日軍無力北犯
page 5	死傷慘重
page 5	江會日軍之經濟侵略近竟組織華南銀行圖吸收我民眾金錢
page 5	江會我軍冒雨衝入佛子　攻日軍九江我游擊隊乘夜焚博愛站順德緣林多已受撫為國效力
page 6	順德團隊截擊日軍
page 6	日船在甘竹灘觸礁沉沒
page 6	花縣團隊襲高塘墟
page 6	廣東省府積極開化邊區猺民已頒發選送山排公費生辦法廿九年度暫定學生額三十名
page 6	蘆苞商業近呈冷淡狀態
page 6	粵幹部訓練團首期結業誌盛共一千六百餘人將分配各縣工作
page 6	韶槍決兩漢奸
page 6	奢侈品之停售桂省已實行
page 6	西江圍裡雜糧尚多水浸
page 6	台山推進農運工作各鄉　農會　本年組織完成切實推　八項　農運工作
page 7	西區劃分八段組織
page 7	日間再謁華人代表
page 7	訓練調遣權操警署
page 7	百餘婦孺已接通告定本週末疏散英人請願稟章已呈遞留菲婦孺亦向港請願
page 7	小販工商聯會昨開聯區會議通過接濟難童學校
page 7	舊國家醫院一部病房重開交東華醫院管理收容病人
page 7	留日同學會失業會員登記推定簡知難負責辦理
page 7	百餘婦孺本週疏散
page 7	業主減租准減差餉
page 7	留菲婦孺不願往澳
page 7	馬會闢養馬場已在上水投得公地四段
page 7	海外發現浮雷
page 7	大批菜蔬到港
page 7	諾爾頓抵星洲將由星洲來港履新
page 7	西區及深水埔警署令各商戶組織保衛團華商總會並未奉到正式通告主席將謁華人代表叩詢真相
page 8	獎金津貼均須呈報
page 8	瞞匿不報將受處分
page 8	老翁服毒自殺
page 8	香港仔兒工院暫停課因意籍教師奉令離港
page 8	灣仔山泥崩卸交通被阻數十分鐘
page 8	由一月一日迄今本港雨量共八十七寸一八八九年為百十九寸本年雨量不難創新紀錄
page 8	東安崇正聯賑會祗准難民領取賑米女青會為中山難民呼籲
page 8	騙洋酒犯入獄
page 8	東華院下月賣花
page 8	衛生局主席解答關于垃圾之質問貼近糧倉垃圾池僅有兩個明年決遷建他處免礙衛生
page 8	奉令制止
page 8	各項辦法
page 8	殷商何華生南渡
page 8	主席答覆
page 8	垃圾問題
page 8	鬻嘗產案判決管理人有權售賣
page 8	深圳河水犯濫日軍防禦工事被沖毀強拉鄉民百餘代為修築
page 8	迷路女童候領
page 8	關麗珍死矣今日在赤柱獄中行刑
page 8	戰時薪俸稅將開徵戰稅局飭商行填報僱員薪俸額有納稅義務瞞匿不報者將重罰
page 10	東方南征足球隊昨日大軍凱旋此行共賽廿一場十七場一和三敗
page 10	三角游泳對抗今夕第一次角逐七時半在南華泳場舉行
page 10	愛爾蘭杯小型球比賽章程公佈
page 10	華人三次水藝改期明晚舉行
page 10	乒乓消息兩則
page 10	民強體育會近訊
