page 2	我之聯省自治觀二
page 3	浙督盧永祥緩辦選舉電到京靳雲鵬大恐昨晚召集要人決議先去電解釋如無效內閣閣員總辭職
page 3	海軍部對曹錕請闢新口擬改為海軍軍港
page 3	歐美借款復活現正協商擔保
page 3	京政府電調奉黑十師以飽德山一旅為先鋒往援軍庫倫
page 3	徐世昌教促王士珍就蘇皖贛巡閱使任並許帶第九師前往
page 3	唐繼堯確由省偕同唐繼禹等出走蒙自顧品珍已於九日入城接任督軍葉荃楊天福均擁戴顧氏秩序已定聞唐因部下索餉被逼出走擬先赴海防乘輪往日本同行者為劉顯世及隨員七人姬妾六人由副官長李玉崑護送一說唐將赴粵京政府得報徐世昌靳雲鵬對顧品珍入滇甚抱樂觀吳笈孫主張任顧督滇又聞徐靳以滇省欠餉至九百萬收拾不易擬暫持冷靜熊度免蹈川事覆轍
page 3	庫倫陷落已證實陳毅退人叨林褚其祥所部為俄蒙匪內應高在田被　使署人員悉被俘俄蒙匪增至六千以後地為大本營恨琴男爵為總司令日人雅馬達為總參謀聞俄黨多謝米諾夫所部係謝潛
page 3	輸赴庫者京政府將令奉黑兩省出兵兩師往庫應援但京師傳聞仍有謂庫論失陷係交通方面消息府院尚未接電云
page 3	參陸處擬定桂省各鎮使名單林虎任桂平鎮守使韋榮昌任桂林鎮守使黃培桂任龍州鎮守使沈鴻英任百色鎮守使賁克昭柳州鎮守使
page 3	孫傳芳電告藍天蔚顏得利等十七名被擒王占元昨派員赴宜昌護解來省
page 3	陳光遠電請通緝張宗昌
page 3	靳雲鵬派員面商蘇督齊燮元請向浙督盧永祥疏通勿再主張緩辦選　
page 3	王占元電告利川縣已克　
page 3	天津同鄉謁徐世昌後歸語人云徐仍戀棧雖政令不行惟以詩酒自娛
page 3	曹錕因周自齊發餉與奉直兩軍頗不平等在摧倒周意
page 3	京政府對粵發行內債五百萬擬設法使其不克　
page 3	李厚基電京謝賞勳　
page 3	靳雲鵬因財政支絀屢失信用直系深不滿意
page 3	國務院電令陳毅張景惠加意保護庫倫叻林間駐居外僑並限期掃平蒙匪
page 3	浙秦贛鄂閩晉六省均緩辦選舉
page 3	黎元洪陳宦等電王占元保藍天　
page 3	曹錕電請開闢天津新口為北洋商港
page 3	徐世昌主張厲行軍民分治凡以督軍兼省長省份均補放省長惟靳雲鵬仍分電各督徵求同意
page 3	京政府探員報告徐樹錚在滬豐陽館匿居其妾蘋香隨侍聞有日人暗中保護
page 3	臧致平反對李厚基之傳聞
page 3	李烈鈞之援桂消息
page 3	郵政文件改價
page 3	關餘案重提
page 3	艦務處委定科員
page 3	海東輪改為廣東運艦
page 3	各縣將設護沙主任
page 3	外人收賣八厘公債票近聞
page 3	中行紙幣之交涉
page 3	援桂聲浪又略高
page 3	荼居行罷市三誌
page 3	飛機籌賑之餘聞
page 6	陳炳焜　　　河邊防總指揮
page 6	張作霖之治蒙計畫
page 6	撤廢軍約果　附加條件耶
page 6	張學濟被戕之原因
page 6	南華讌敘情形
page 6	摩托車又輾傷女童
page 6	迷妓案完結
page 6	書　頒獎
page 6	新律師兩名
page 6	木港商業談
page 6	顧維鈞夫人之交際
page 6	日兵所殺美武官之遺屍　運　
page 6	南華徵求隊出發
page 6	澳門要聞彙誌煙絲稅開抽之改期
page 6	店伴謀殺之駭聞
page 6	庫倫失陷與賑畿運動
page 6	樹膠起價
page 6	新船進水
page 6	上海日商會議
page 6	青島萬國分行停閉
page 6	名園之西人技擊比賽
page 6	銀價
page 6	河　　　粵十餘　
page 7	修志局因欠款停辦
page 7	提議咨請省長取締醫生案
page 7	選舉總統問題之經過情形三
page 7	寧路鬧事原因又一說
page 7	提議維持北江學費
page 7	春軍走私之敗露
page 7	軍府經費之指撥
page 7	高州軍隊庇賭
page 7	雷州匪患近誌
page 7	逆產撥允築路費
page 7	發行公債之辦法
page 7	汕頭電局全體反對領班之來電
page 7	廣州汽車事業之調查
page 7	撥款開修電桿
page 7	郵局通告
page 7	去年南寧之商況
page 7	查封莫楊產　之　　
page 7	省河印花稅之票式
page 7	東西江賑務之續辦
page 7	瑣聞一束
page 8	王孫末路
page 8	賀年趣語
page 8	風箏比賽大會
page 8	近時難得之愚孝
page 8	新疆之蘋果
page 8	清室　照腰牌之　元
page 9	黔人與劉顯世之不兩立
page 9	旅京滇人反對唐繼堯賣礦電
page 9	陸榮廷辨無押礦電
page 9	馮玉祥截留路款之聲明
page 9	張勳果辭職耶
page 9	張勳起用之經過
page 12	美銀團代表之酬應　
page 12	電話局又擬借款
page 12	又查封南興船奧
page 12	汕尾兵工廠實行擴張之佈置
page 12	粵路撞斃多命之餘波
page 12	寧陽火車風潮之別報
page 12	廉州發現重大逆倫案
page 12	省城
page 12	軍隊蹂躪
