page 1	西戰結束與南進開始
page 2	冀中我軍繼續克復河間Ｘ放毒氣我軍仍猛攻殘Ｘ潰退大曲堤一帶
page 2	牯嶺外僑行將撤退
page 2	一日晨鄂中大風Ｘ機被迫降落機中六人駕船逃遁盡被擊斃
page 2	Ｘ機狂炸甘肅平涼殘殺平民及騾馬
page 2	奉賢我游擊隊重創Ｘ軍南橋蕭橋為我收復
page 2	前方將士需用雨具希望後方援助
page 2	滬西越界築路地段租界當局與日偽糾紛
page 2	豫南鄂北我游擊隊奏捷克潢川商城固始等縣
page 2	晉南永濟Ｘ北竄晉中我迫近汾湯城郊雁北Ｘ軍空虛士兵潛逃
page 2	永濟殘Ｘ大部北竄
page 2	我軍迫近汾陽郊外
page 2	平遙Ｘ兵攜械來降
page 2	晉Ｘ反戰變裝潛逃
page 2	中矣我軍擊潰匪偽
page 2	我克獻縣東籐家僑
page 2	行政院議決呈請國府表揚鄒炳蔚改組察哈爾省政府
page 2	滬西區毒販三人被殺
page 2	我神勇空軍再度轟炸運城炸燬Ｘ機十一架
page 2	Ｘ火車一列觸我地雷炸毀
page 2	蘇拉簽訂商約
page 2	武漢附近我軍進襲南湖機場燒燬Ｘ機多架
page 2	贛北之Ｘ調整防務甚忙
page 2	英美當局將派員赴牯嶺與外僑商撤退事
page 2	我軍圍攻犯安定Ｘ現瓊州與安定間發生劇戰美艦奉令開海口調查情形
page 3	日本佔據海南島後菲島人士極感不安
page 3	英下院討論遠東問題天津租界與及珠江開放事件英方已先後對日方提出交涉
page 3	十三個韓國南士請纓上前線參戰他們是朝鮮民族的英勇女兒他們是中華民族的偉大子孫
page 3	朝鮮民族的熱血沸騰了
page 3	在西安會見了十三勇士
page 3	朝鮮義勇隊已組兩區隊
page 3	一位韓族女英雄鄭文珍
page 3	反日同盟奠定自由基石
page 3	參加祖國抗戰意義偉大
page 3	菲先鋒報評稱應靜聆蔣委長警告艾委長對局勢分皙極有見地海南島問題瞧予以密切注意
page 3	對英牒文日未答復
page 3	為應付西內戰英法保持聯繫但所取態度尚未有何決定
page 3	西國民軍禁止報復
page 3	政府軍堅守瑪德里
page 3	英下議院討論滇緬交通緬甸昆明定期空航事業中英兩業已訂立協定
page 3	德新建主力艦行下水禮命名俾斯麥號
page 3	英殖民大臣訪外次談巴事
page 3	法人民捐款援助西國
page 3	意艦數艘中止赴美巡行
page 3	橫貫大西洋空運定三月間成立
page 3	日方決定繼續封鎖珠江何時開放未定
page 3	法駁斥東亞新秩序致日照會全文東亞新秩序違背九國公約法國尊重各項原因礙雖承認
page 3	法德兩國開始商務談判
page 3	美參議員建議擴充國防空軍
page 3	對海南島事件英法密切聯絡關於日軍進攻海南島理由日外務省已強詞答覆英美
page 4	答冼律師
page 4	實誣我耳
page 4	反對此問
page 4	鴻翔公司大減價
page 4	推銷國貨之消息
page 4	　官運亨通自盜疑案續審徐堅否認盜竊公函但自承曾賄賂侍役託查所失函件質
page 5	中山情報
page 5	分散寄碇
page 5	猛轟古勞
page 5	海口方面
page 5	Ｘ沿西江北岸撤退詳情沿途搶掠糧食陳村勒流被佔再窺大良九江Ｘ酋已更易河清Ｘ似亦準備續撤
page 5	Ｘ分兩路後撤
page 5	Ｘ犯陳村勒流
page 5	犯樟木頭Ｘ軍昨全部向莞城撤退附近各鄉多遭焚劫Ｘ機炸深圳之死傷
page 5	九江之Ｘ易將
page 5	三水之Ｘ局部撤迫偷渡青歧不逞
page 5	被迫侵華之東北偽軍在新造反正與Ｘ激戰事後被Ｘ繳械移往虎門看管以杉村部填防
page 5	Ｘ修各鐵路線我游擊隊之破壞
page 5	廣州近郊游擊隊夜襲河南Ｘ營市內劫匪猖獗
page 5	我空軍活躍後Ｘ艦畏我轟炸改用潛艇活動Ｘ再佔河清十三晨向我古勞炮轟
page 6	軍官之新任命繆培南與李福林
page 6	Ｘ機昨炸深圳情形另詳本報記者之實地調查
page 6	大瀝鄉人談我軍英勇馬房一役殺Ｘ逾萬七十餘輛車載Ｘ屍運往焚化廣州市民避Ｘ虐待逃往各鄉
page 6	江門穀米市儈逐日飛漲
page 6	新開民眾慰勞有功戰士
page 6	財廳派員調查新會稅收
page 6	容桂繅女工響應一元還債每日工資撥出十分之一五
page 6	本月十三日Ｘ機在廣九沿路肆虐東莞縣行署之情報
page 7	一美艦赴海口調查海南島現狀
page 7	史模列特抵港
page 7	英參加美博展港府助二千元
page 7	賑聯會決自辦難民習藝所昨否決歸併工業社提案組織章程即席修正通過
page 7	婦女會賣物會今日下午開幕
page 7	港大古玉展覽吳湖帆將參加
page 7	東華醫院新總理昨選出各獲者將由該院去函聘任周兆五氏報告中醫存廢問題
page 7	山頂纜車減價
page 7	衛生局昨日會議主席解答防癆問題俟確知該症宗數始定防範計劃將來或委派專員負責辦理一切
page 8	Ｘ機飛炸深圳長途汽車中彈死傷三人
page 8	海賊截劫貨艇槍傷夥伴一人
page 8	中青救護團擴大服務範圍
page 8	各線巴士延長行車時間利便各界人士購年貨
page 8	黃紹雄昨飛渝
page 8	春風得意馬蹄疾大賽馬定廿五日開始是年各種新馬增加二百餘匹打比賽尼惠禮有冠軍希望
page 11	菲律濱足球隊昨晨乘輪抵港一行十六人暨隨軍球迷多人
page 11	賑難杯排球聯賽定十八日開戰香港中國新聞記者公會主辦之
page 11	歡迎迓菲律濱球友二李惠堂
page 11	埠際足球賽期近港隊再度練習今午五時在海軍球場舉行
