page 1	盪動中的之奧國政局
page 2	我晉中各部隊分佈敵人後方
page 2	皖北大戰即將展開我向渦河某據點挺進廿七晨敵由上窯偷渡被我全部殲滅淮南之敵到處遭我軍襲擊大起恐慌
page 2	某軍事專家談敵無力打通津浦線戰區展長敵兵力漸見衰疲削弱我避硬抗而用智取敵軍心惶慄
page 2	佔據懷遠之敵每日焚燒搶掠
page 2	慘無人道滬人頭直相漸露恐怖黨誘殺收容所難民將屍指臂分送抗日份子
page 2	預料津浦南段將展開新局面
page 2	偽軍向我投誠敵人大起恐慌
page 2	敵軍傷亡甚重陸續調遣增援
page 2	張治中報告抗戰形勢敵人出兵已達一百四十萬人我國長期抗戰決無悲觀之理
page 2	蕪湖正面之敵犯石硊鎮被我痛擊敵在青弋江左岸佈置防禦工事敵在舊縣鎮企圖登陸亦被痛擊
page 2	敵軍破壞津市電話交通
page 2	視察西北歸漢外記者卡爾遜談華北近況華北大部縣份仍在我軍手中我方軍事政治中樞在五台山
page 2	踞滬敵人兩種不法行動武裝警察闖入法領事館聲勢洶洶投函恫嚇外國新聞業家微爾斯氏
page 2	晉戰已至嚴重關頭敵我在臨汾附近激戰臨汾有我精銳部隊雄據天險昨晨我軍得報戰事已有轉機
page 3	公訴狀中主要人物
page 3	各該被告所犯罪名
page 3	白崇禧在漢演講抗戰軍事吾人傷亡未達一萬萬戰事尚未至絕望理由
page 3	倫敦方面報告日機尾追英郵機案香港日領事奉令道歉但日海軍當局謂對此事絕無所聞只謂怪機飛經日本海軍站則有其事
page 3	新任衛生署長顏福慶談衛生工作擬就各省防疫計劃呈政院核示
page 3	巴爾幹協商各國決定不容他國干預內政且期望與地中海沿岸各國發展良好關係與合作政策
page 3	敵準備在滬實施郵件檢查
page 3	日駐滬總領事日委日高充任白鳥敏夫抵滬研究 一般情勢
page 3	日人傳謂俄兵闖入滿境俄當局極力否認
page 3	日政界多主張設亞洲事務省
page 3	病已痊愈日皇將返東京
page 3	政黨激烈反對之下日全國動員案勢將修改貴族院對該案亦頗持反對態度議會會期將滿該案有擱置之虞
page 3	新運會設難民詢問處
page 3	褒揚熊希齡
page 3	蔣委員長對英記者發表談話吾國貨幣準備率極高不受戰事影響國人對國民政府均能真誠加以擁護
page 3	北平偽中行月內發行鈔票作為華北法幣
page 3	政院議決鄧錫侯任川康綏靖主任
page 3	敵機連日擾閩福漳廈甌四處傷亡達百餘人
page 3	謀殺列寧蘇聯空前大黨獄今日軍事庭公開承審被控人犯廿一名多特洛資基派罪名為謀叛賣國甘為敵國驅使
page 4	南華會昨歡宴哥靈登主席羅種　致歡迎詞輔政司更美亦有到場
page 4	籃球賽委會昨議決各要案比賽時間提前半小時委員到場主持男子賽
page 4	潘世安技不凡沙巴都氏再領教
page 4	公開網球賽昨日九場成績
page 4	嶺東對記者隊今日作戰如杯比賽
page 4	奧門足球界光榮傳一比一戰和哥靈登上半場開戰三分鍾澳陰即失利譚江柏輸糧連過數關保持不敗
page 5	市商根絕仇貨工作
page 5	積極根絕仇貨來源
page 5	黨部擬將兩會合併
page 5	女壯丁不准外宿實施軍事管理集營訓練同時籌組各區少年團
page 5	各縣統委會呈報成立續誌
page 5	鐵路員工調整與救濟不服指揮之議處失業者分別安置
page 5	敵圖破壞我金融外匯圖以高價收買我白銀我方國有白銀之運動決令各縣市普遍宣傳喚起民眾鞏固金融外匯
page 5	桂省府繼續訓練候用縣長
page 5	戰時各工廠不得任意停工
page 5	敵將大熊昨率艦竄金門
page 5	國防公債開始發行昨電各縣籌組分會各縣市攤銷額日間決定設保管委會定委員九人
page 5	昨日敵機兩次衝市區不逞又在從化粵路投彈
page 5	聯席會議通過戰時出版物檢查法訂定不得刊載之標準
page 5	勸募救債會今日行閉會禮
page 5	增厚對日經濟絕交力量黨部擬將兩會合併改組根絕仇貨會辦理之經過行商多請與絕交會合辦市黨部擬先行調查實情擬定整個辦法明令歸併
page 6	商人態度仍存觀望
page 6	課長解釋此案原因
page 6	申報展限廳令停止
page 6	體念商情變更廠令
page 6	檢查賑簿問題別訊
page 6	分日傳召討論一切
page 6	收入稅款數目統計
page 6	滯納營稅商准免罰
page 6	唐家灣視察記肆石岐的一瞥
page 6	又聞破獲偽藥
page 6	市區各鄉保聯設處辦公
page 6	一日三餐減為一餐潮梅米荒亟待救濟潮汕商界領袖擬具辦法籲請市府聯合各縣縣長聯呈最高當局請求維持
page 6	廣汕兩方均力請免洋米稅
page 6	張發奎返始興餘聞籌建中山公園體育場民教館
page 6	江門北街堤壩縣府計劃展築
page 6	縣長出巡十區
page 6	耕寮大火傷人
page 6	老翁焙火焚斃四區三角塘梁仕錦
page 6	各鄉天花蔓延
page 6	潘村之謀殺案
page 6	敵機首次過境
page 6	撈獲炸斃屍首
page 6	營業稅案之最近趨勢似未易即得解決
page 7	返國殺敵
page 7	組織系統
page 7	第一中隊
page 7	第二中隊
page 7	第三中隊
page 7	報告事項
page 7	救債分會十次常務會議否決抽彩購公債獻議兩週間銷債三萬餘元
page 7	梁定慧談
page 7	棋賽籌款
page 7	謝捐雨具
page 7	燈火管制下十里外已不見香港西報記者曾乘機淩空視察認照此成績足以掩護本港
page 7	史氏原文
page 7	管制開始
page 7	海面船舶
page 7	暹羅僑胞返國殺敵義勇隊第二隊已抵港總領隊陳豹隊員共一百一十九人各界募捐大批藥物用品亦將運歸
page 8	華人代表為眾聲援
page 8	痘症傳染勢將加劇
page 8	社會經濟遭受打擊
page 8	英艦肯特號重修竣工日間出塢離英來港諾貝爾將移駐該艦
page 8	南京一位外籍朋友函述敵軍屠城慘狀民房及政府機關悉被焚燬無辜百姓竟為敵射擊目標
page 8	鎢價近又回漲
page 8	潮汕米荒嚴重僑港汕嘉兩商會一致籲請豁免米稅昨舉林子豐林翊球為代表將聯同潮汕代表晉省請願
page 8	反對加租幾致興訟
page 8	二房東竟乘機活動
page 8	機器壓斃工人
page 8	濤聲畫社遷址
page 8	製紅丸案詳臬
page 8	業主濫加屋租政府亟宜予以制裁業主加租不遂每迫住客他遷若取放任政策居民將無寧日
page 10	九龍關出入口新稅費
page 10	衛生局會議紀
page 10	警探搜查煙窟
page 10	救傷隊防毒班昨日起分組考試
page 10	囚犯病死研究
page 10	旅日華僑歸國
page 10	飛剪機到港期
page 10	偽幣案再押候
page 10	去週痘症統計
page 10	星軍港開幕禮成各英艦赴各地觀光航空母艦鷹號下月返港現駐本港英艦共有九艘
page 11	氣候變化
page 11	地理環境
page 11	幣制情形
page 11	對外交通
page 11	市內交通
page 11	商業繁盛
page 11	工廠驟增
page 11	農產豐富
page 11	農民困苦
page 11	重慶印象記向有四川的上海之譽現已成政治工業商業中心
