page 1	歐洲新均勢與日本
page 2	猛攻朱陳功虧一簣退回原陣
page 2	敵圖東竄我卒奪得優勝地勢
page 2	韓莊克復對未來大戰極有關
page 2	敵無法防備我游擊採用焦土政策焚燒沿鐵路之村莊難民無家可歸強詞奪理稱游擊隊曰社會公敵
page 2	敵在南京兵力配備
page 2	敵千餘人開往餘杭
page 2	蕪湖宣城敵受重創
page 2	揚州敵軍厭戰自殺
page 2	　縣之敵防我夜襲
page 2	敵偷渡淮河不得逞
page 2	濟寧血戰張莊黃莊失而復得
page 2	戴傳賢赴康致祭班禪昨由重慶飛抵成都
page 2	最近一旬來各戰場戰況
page 2	一津浦路正面
page 2	廊房日機場被游擊隊焚燬敵將廊房警察局長槍決
page 2	公務人員加倍工作時間增至十小時以上
page 2	二晉省方面
page 2	三江南方面
page 2	敵調晉駐軍增援魯南我軍乘機反攻平陸鄉寧先後克復風陵渡敵陷包圍中
page 2	我軍某部繞攻敵側臨沂我軍亦向敵反攻拉鋸肉搏我擊斃敵尉官二名棗莊敵圖東竄經截擊不得逞
page 3	德元首希特勒悔訂反共公約中日戰後日本弱點盡露用日對俄政策完全失敗
page 3	政治部長陳誠在漢招待外報記者陳部長縱談日本軍民反戰情況郭沫若廳長縷述我民族之團結
page 3	所獲結果恰得其反
page 3	表示反對軍閥黷武
page 3	最近國內政治情形
page 3	黃種人不欺侮中國
page 3	參政會確是普遍的
page 3	一百五十名參政員
page 3	容易增強抗戰力量
page 3	熱烈保衛祖國事蹟
page 3	全中華民族的解放
page 3	日讀賣新聞造謠謂外蒙侵內蒙蘇聯消息報已加否認扣留日機係警告日本
page 3	日政潮極緊張近衛聲言留任文相定今日訪西園寺公請示消弭國內政潮辦法
page 3	暹外長談暹日條約無秘密條文暹與英關係較與日深切
page 3	行政院例會紀
page 3	菲律濱北部又發現怪潛艇在該處測量水度
page 3	意艦訪問日本
page 3	西國叛軍猛攻多都薩城
page 3	美匯率已穩定
page 3	羅京宣佈戒嚴
page 3	汪副總裁演講節約刻苦及提高生活在戰時振興工業可以救濟失業希望全國人民能協助政府努力
page 3	閩海敵艦調回台灣演習鎮壓台灣反戰運動
page 3	滬租界法庭研究副總董斃命案定星期五再研訊
page 3	駁輪誤撞汽輪溺斃日兵五名船公司道歉長谷川諒解
page 3	偽大道市府發生大舞弊案何嘉獻等四人被扣留
page 3	魯南二次大會戰即將展開
page 3	英意協定成功張伯倫主張與德談判一部閣員以為談判必無結果不贊成法代辦訪問意外相進行締法意協定
page 4	昨日網球戰績今日小徐小林再碰頭
page 4	菲律濱籃球隊將到港約港勁旅作籌款賽
page 4	英美匯兌趨漲
page 4	南華會男子徵求隊冠軍 揭曉
page 4	優界足球義賽改下星期四舉行
page 4	廣州金融市情
page 4	八九金價報跌
page 4	籃球籌賑賽第三戰50-32中國隊大勝鐘聲下半場鐘聲力戰僅負一分
page 5	敵機十六架昨兩次擾各地在廣九粵漢兩路投彈
page 5	廣州行商聯請登記特稅存貨
page 5	視察八步礦區
page 5	視察梧區縣政
page 5	各界發起紀念空軍之建築地址擬在二沙頭中流公園
page 5	嚴密救護組織粵飭劃分六大救護區
page 5	桂省軍民擊落敵機軍委會獎二千元
page 5	協辦合作事業
page 5	民團幹校結業
page 5	移壽筵費勞軍
page 5	石印業反對增加營稅負擔
page 5	海員工友決定認購國防公債辦法
page 5	鹽船運商貸款辦陸運問題
page 5	敵艦前日騷擾大澳
page 5	在韶憲兵擊落敵機得獎
page 5	廣州大不北被炸災區難民之善後要聞注意公共衛生之銷毒救濟無家可歸之難民
page 5	敵圖放棄高瀾島增厚三灶兵力整個佔據三灶壯丁多被捕殺並放火焚燒各山林
page 6	湘米大量運粵
page 6	分四區賣平米
page 6	糧食節約運動
page 6	菲記者戰地訪問團對敵機炸平民區之憤慨
page 6	從戰地歸來的感想
page 6	粵市各界擴大慰勞空軍運動
page 6	廣梧線輪渡已一律改夜航
page 6	敵炸花縣傷斃十餘人機槍掃射南海民船
page 6	南海警隊槍斃兩匪
page 6	瓊崖防護團積極訓練
page 6	匪夥截劫渡客
page 6	切實革除惡習
page 6	西南各界祝捷
page 6	東圃各界巡行
page 6	粵省救濟民食要聞近誌
page 7	團長黃錫欽
page 7	團員之姓名
page 7	責任之重大
page 7	滬航空郵件爆炸與宋子文北飛之關係居港某政要昨對記者談
page 7	英軍用機失事降落時撞傷機身
page 7	前我國外交部長陳友仁昨由歐抵港擁護祖國抗戰並主張振興工業陳返國欲效棉薄暫時行止未定
page 7	政治意見
page 7	書面談話
page 7	目下情勢
page 7	昭示於世
page 7	荷屬棉蘭僑胞回國救護國昨抵港一行廿人攜救護車三輛藥物四噸紅十字會駐港辦事處代電漢請示
page 8	雨衣捐款又收七千
page 8	銅鑼灣段開游藝會
page 8	防空演講燃燒彈及毒氣彈防禦法
page 8	華人代表羅旭和談濫加屋租政府必取締財政司水務新提案定廿二日開會討論
page 8	德軍事專家助我抗戰一行七人已啟程來華
page 8	僑胞長期捐輸購債
page 8	僑胞賑品大批運省
page 8	兒童節捐款昨匯出
page 8	敵機昨又轟炸廣九路塘尾站路軌被炸傷上下行客車均遲到
page 8	大埔至粉嶺將有摩托火車行駛九龍巴士公司決將巴士撤銷該段交通改由九廣路局辦理
page 8	美國籌辦環遊世界空航
page 8	澳江輪准夜航
page 8	立法局今會議
page 8	兒童游樂場管委會年會紀麥基利哥仍任正會長
page 8	黃哀鴻畫展會今日下午一時開幕
page 8	東院新總理已足法定人數
page 8	東華醫院救濟難民定期賣花籌款銅鑼灣段游藝會定期舉行雨衣捐款昨又收七千餘元
page 10	珠石經紀賭敗行騙四間金舖捐失萬餘元被告認罪處徒刑兩年
page 10	高級法庭開審刑案被控索賄之更練失蹤保款充公並出票嚴緝歸案藏毒犯多名分別判處徒刑
page 11	日本對華作戰兵力之推算
