page 1	三屆參政會議之收穫
page 2	國民參會第三屆會議閉幕蔣議長休會詞全文一本屆會議精誠團結抗戰必勝信心增加抗戰二期開始成敗所關全國更應努力
page 2	國內國外
page 2	民族前途
page 2	切合實際
page 2	克Ｘ致勝
page 2	參加政治
page 2	牯嶺外僑離牯赴潯
page 2	世界青年大會閉幕後組國際理事會首次會議在紐約舉行尹葆宇代表我國出席
page 2	行政院會議通過李漢魂兼粵建設廳長何彤兼任民政廳長
page 2	Ｘ在滬英租界橫施暴行
page 2	Ｘ在開封收買民間金屬
page 2	江海關一月貿易統計入超白九十餘萬
page 2	黑暗之廣州武裝盜匪橫行被搶者多外僑
page 2	Ｘ兵猛犯沛豐沛縣長馮子意率自衛隊抗戰
page 2	昨日滬西又發生鋤奸案死者李金海及偽警一名華探劉長鴻亦被誤擊斃
page 2	Ｘ欲藉口鋤奸事件侵奪上海工部局權力Ｘ高級官佐在出雲艦舉行重要會議高決取有效步驟對付租界反日份子
page 2	英下院通過國防預算
page 2	Ｘ乘舊曆年關誘騙難民返廈難民不受其騙
page 2	海南島我軍擊落Ｘ機二架
page 2	我軍克復寶安南頭西江情勢弛緩Ｘ我隔江對峙海南島Ｘ進犯內地均被擊退
page 3	日政府將向國會提議禁發表統計報告資料藉以保持日本之軍事秘密
page 3	寒假期中一週來時事概要
page 3	軍事方面
page 3	三次參政會閉幕
page 3	比利時新閣成立
page 3	英艦喬治五世行下水禮英皇親自主持
page 3	星督訪問暹京得當地朝野熱烈歡迎足見英暹友誼關係密切
page 3	張伯倫在議院答復各方質問國聯無力維持世界和平故英國不能不另採別法
page 3	英援華會繼續募捐
page 3	美眾院辯論關島設防法案
page 3	外交方面
page 3	鋤奸運動
page 3	英法美之密切合作
page 3	瑞援華會派員來華協助救護工作
page 3	對日人在華走私英國決予反對
page 3	英荷兩國考慮合作防衛遠東
page 3	紅衣主教會議定期下月開會
page 3	巴爾幹四國決定承認西國民軍
page 3	蘇聯漁業問題
page 3	日機轟炸九龍邊境案日願賠償損失日總領岡崎謂為飛行員誤會已準備向英方作懇切之道歉
page 4	徐堅入獄六月
page 4	英賑難會會議賣物會將開幕
page 4	捐金購債彙誌
page 4	九龍關新稅費
page 4	蘭莉夫人返港
page 4	我駐西貢領事請嚴防水客走運私貨當地政府檢查極嚴正當商旅大受影響
page 5	東路
page 5	西路
page 5	李漢魂訂定戰時治粵計劃注重救濟難民
page 5	施政計劃
page 5	愛國鄉民焚燬Ｘ彈藥殺身成仁焚毀五十餘箱斃Ｘ四人李源等七人作壯烈犧牲Ｘ遷怒鄉民槍殺廿餘名
page 5	救濟難民
page 5	北路
page 5	廣州市郊Ｘ軍調動甚忙傷兵由北路運返統計共有千餘名
page 5	余漢謀赴前線訓勉所屬抗議偽軍殺Ｘ來歸定當予以厚獎
page 5	九江偽自警隊無法編成墟內情形紊亂市民紛紛離境
page 5	痛述廣州最近狀況
page 5	臘盡春初之一週間粵省東西北三路戰訊錄要Ｘ擄寶安商民強迫組偽政府犯青岐失利又圖犯西江南岸北路之Ｘ屢犯神岡均遭重創
page 6	激烈戰況
page 6	越南華僑青年組團回國服務
page 6	贛南潯鄔事變與潮梅商務之關係自衛團逐官踞城筠門嶺交通斷絕
page 6	暴Ｘ連日竄擾莞屬大朗大沙損失奇重我團隊夜襲莞城Ｘ　
page 6	嶺南師管區司令伍蕃昨被免職遺缺由陳文充任
page 6	以百對千
page 6	斬Ｘ無算
page 6	軍民合作
page 6	台山當局決定救　米辦法
page 6	張我東下月接長東莞
page 6	戰區動員會派員視察西江南路昨已巡抵台山
page 6	順德縣長調查抗戰死傷團隊請當局獎勵以慰忠魂
page 6	西江旱塘之我軍戰績百餘稅警戰勝Ｘ軍千人
page 7	Ｘ機肆虐
page 7	狂炸深圳
page 7	續炸羅湖
page 7	趕辦善後
page 7	僑團慰問
page 7	落彈地點
page 7	外報抨擊
page 7	死傷調查
page 7	深圳已成坵墟難民遷回粉嶺各救護隊同時撤退警察局長誓死守土
page 7	春季馬票僅馬會及鐘聲社舉辦
page 7	Ｘ機再來
page 7	Ｘ機狂炸深圳羅湖英政府已提抗議是役互傷平民百餘印警一名遭難Ｘ機兩架昨日又來偵察但未投彈
page 8	法國　　改　態度
page 8	日本強佔海南原因
page 8	對日不應再事讓步
page 8	國貨展覽
page 8	本港各婦女團體積極籌備紀念三八英美印婦女界均答允參加宋慶齡何香凝等擔任演講
page 8	放影新人道籌賑羅湖難民
page 8	將赴美國謁羅斯福
page 8	英后輪將到港
page 8	小童慘膏虎吻
page 8	粵僑務處通告國人避難菲島辦法須向我領館填具申請保證書壯丁不能享受避難人之待遇
page 8	關餘抵押公債今日開始付息
page 8	八人書畫展覽
page 8	糖商長期義捐一月份得國幣五千元
page 8	重汽油將增稅每加倫徵收三角
page 8	運銀出口疑案押候下月再審
page 8	南頭已無Ｘ蹤
page 8	少年被刺重傷
page 8	聯美巨機飛港昨由三藩市啟程
page 8	廣州盜匪橫行西報記者遇刺
page 8	本報之派送員一律大加訓練
page 8	年宵節約捐金商會昨又收到約百元
page 8	國醫救護隊隨難民退紛嶺
page 8	香港中學辦美展
page 8	洋務工會辦義學
page 8	法議員標門抵港抨擊日本背約侵海南認法應改變態度援助我國抗戰彼已獻議政府准軍火由越運華
page 10	毀壞鐵道專家
page 10	偷竊團破壞隊
page 10	東南抗戰的腹地閩西在復活中博平嶺山脈區穿行記
page 10	滬法租界發生暗殺案屠振鵠藻傀儡被殺屠為偽地方法院長高係偽警局書記
page 10	一屠振鵠
page 10	三高鴻藻
page 10	保定北平附近遊擊隊的威力玄日軍車輛每月出軌卅次四年之內可使日本坍台
page 11	梵恩斯豪語如不能壓倒勃琪決從此拋棄網拍
page 11	鑰智籃球隊今日出師征澳
page 11	振難杯排球賽培英南大爭霸今午四時會師於保羅場
page 11	光華光中校運會舉行頒獎典禮
page 11	公開網球賽參加者極踴躍單打六一人雙打二七對
page 11	光華征澳奏凱旋
page 11	港菲埠際足球賽客軍三戰皆北第一仗比四第二戰三比五壓軸三比四復遭挫於港聯
