page 1	歐局與國聯
page 2	晉南戰況劇烈
page 2	粵北日軍潰退
page 2	蔣委員長電唁吳氏家屬中央日報著論贊揚吳氏人格
page 2	贛江日軍施放毒氣
page 2	滬輔幣極缺乏各團體多自印行額票
page 2	胡適將有演講
page 2	甘地要求英政府宣布印度政策
page 2	本年上半年日機轟炸統計平民傷亡共達四萬人炸毀房屋四萬六千間
page 2	桂二次臨參大會昨日開幕會期預定兩週
page 2	中蘇首班航機昨抵蘭州
page 2	綏當局嚴禁
page 2	桂省府電各校力持鎮定
page 2	英封鎖德出口貨運日免被截留英國此舉吾人認為殊屬遺憾
page 2	比首相聲言比國不容侵略
page 2	加拿大海軍準備全體動員
page 2	青省施政情形
page 2	滬各銀行仍辦放款
page 2	滬市食糧價格暴漲每石四十五元
page 2	中正大學決開辦三學院明年秋季招生
page 2	我旅外僑胞紛紛被迫返國
page 2	暹羅革命黨人十八名被處決
page 2	英有武裝軍人約一百五十萬
page 2	英當局否認英兵奪偽警槍
page 2	桂我軍反攻欽縣日軍企圖向福州進擾晉南安運方面連日激戰甚烈粵北犯日軍分路向軍田敗退
page 3	蘇軍準備大舉總攻柏三姆港蘇軍艦派隊在兩面登陸芬軍堅守柏三姆內防線
page 3	從湘北前線歸來四
page 3	芬蘭溜冰部隊作戰甚有成效
page 3	芬蘭空軍襲擊蘇空軍根據地蘇聯飛機六十架被炸燬芬蘭境內戰事繼續開展
page 3	挪瑞丹三外長會商對蘇步驟瑞典實行局部軍事動員強化芬蘭邊境防禦工事
page 3	美願聯同發電抗議蘇聯侵略國聯倘不強硬對付蘇聯鳥拉圭即將退出國聯會
page 3	英皇在前線檢閱軍隊
page 3	德軍突向法軍襲擊數次在剌探法軍陣勢但結果均被擊退
page 3	日美重訂商約問題日未向美提及美艦隊集中于太平洋日認非係向日本威脅
page 3	英出產軍需子彈增加一倍
page 3	開戰以來英艦損失十二萬五千餘噸較上次大戰為少
page 3	英眾議院定期舉行秘密會議
page 3	意退出國聯即將發生效力
page 3	意郵機遇險下墜死傷者多人
page 3	滬商會決定審查上布以別於外國出產者避免政府限制運入
page 3	駐蘇大使楊杰並未辭職日方做謠不確
page 3	美國黃金輸入增加
page 3	對芬蘭偽人民政府德政府將不承認德國或將強迫蘇芬和解意反蘇運動擴大到美蘭
page 5	江會偽軍共五千餘
page 5	放出進攻三埠空氣
page 5	江會諸傀儡最近動態偽綏靖軍司令被削權偽維持會員互相傾軋李縣長務滋赴戰地視察
page 5	順德我團隊兩襲容桂偽軍
page 5	派機六架飛新鶴路
page 5	我軍又向木塱襲擊
page 5	向岐關路翠微掃射
page 5	張之英之郵電
page 5	華僑團體回國服務嚴密保護防不良份子借名活動訂定請領証明書辦法
page 5	公路破壞後台開航業發展
page 5	粵閩邊境詔饒間之劇戰
page 5	中山嚴禁拒用殘舊國幣
page 5	廣九路我軍收復觀瀾龍華準備反攻日軍侵梅林之騷擾寶安傀儡近月更動將強捕鄉民編偽軍
page 5	三埠官民會商平抑物價
page 5	台山禁煙促進會昨成立
page 5	番禺縣長黃蘭友昨接事
page 5	日正規軍南移中江會偽軍再增又揚言犯三埠前晚我軍夜襲木塱昨晨日機狂炸報復又向中山翠微掃射省府嘉獎中山抗戰得力人員
page 7	金錫儀昨離港飛英官紳數十人到機場送行金氏謂本港應徵所得稅
page 7	鹿角酒店舖位改建九層大廈
page 7	秘魯政府禁華人入境港秘貿易將受打擊華同總會議決請中央當局交涉
page 7	上海仇殺案犯汪某在港被捕解由法庭審訊研究應否引渡
page 7	上海街大火餘聞警察嚴查起火原因是次共死居民五十三名為本港第二次最大火災
page 7	兒童節贈旗捐款用途
page 7	灣仔自衛團昨日募捐成績
page 7	謀殺案犯引渡返港審訊
page 7	西區自衛團
page 7	立法局今日會議討論明年政費預算案港督提請財委會加撥政費卅餘萬
page 8	治本大計
page 8	淘金工業
page 8	五個總社
page 8	婦女方面
page 8	中央旅行社舉辦澳門旅行
page 8	粵宣慰員出國
page 8	英國捐助
page 8	控舞女欠款案官判被告得直
page 8	強中學校籌辦漫畫展覽會
page 8	無法送遞之電報
page 8	公開排球決賽週來保羅白戰南華南兩支長勝軍對壘劇戰可期
page 8	采芝齋鼎乒乓賽參加者十七隊
page 8	小型球友誼賽記者今日戰東方
page 8	羅旭和昨晚廣播中國工業合作社概況該社每月可製價值四百萬之貨品推廣其範圍中國不難成工業國家
