page 1	非常時中之思想與言論
page 2	洋商保險公會增加兵險價目
page 2	日軍迫宋獨立宋已婉詞拒絕
page 2	憂傷國事過度九七老人抱病
page 2	要人將集首都實行共赴國難
page 2	日軍越界演習我方再提交涉
page 2	匯山碼頭日軍星夜搬運軍實
page 2	日本朝野人士切盼與蔣交涉
page 2	華北日居留民要求強硬對華
page 2	秦德純談華北人心安定綏東形勢似較緊張佈置嚴密匪亦難逞
page 2	整理粵金融公債今日正式發行
page 2	唐海安呈請辭職昨經獻策部批准遺缺由唐萱暫代
page 2	田港被殺案懸賞五千緝兇
page 2	各地日艦調動駐漢共有五艘
page 2	張學良否認被刺謠言西安近況絕對安靜顯為奸人故意造謠
page 2	粵民廳整飭吏治公告博訪賢才
page 2	達賴轉世地方尚未明瞭壇禪回藏當可宣佈
page 2	冀察稽查總處未收私貨輕稅李青選抵滬談話此問題已成過去
page 2	重光葵晤松室今井探詢華北情勢並分訪英美兩大使
page 2	中日局勢嚴重我國對日提反條件要求撤退日海陸軍日陸軍三師團定週內出發來華日運送艦十餘艘一律升火待發滬市洋商保險公會增加兵險價目宋哲元不允攷慮日要求華北形勢同時緊張
page 3	國際貨幣戰爭中各國金融變動紛起
page 3	小協約國代表反對削弱國聯盟約
page 3	討論但澤市報告書
page 3	西班牙撤回備忘錄
page 3	所得稅事務處正式成立公佈所得稅征收條例從今日起征收各類所得
page 3	叛軍進攻馬德勒西政府準備遷都
page 3	宋子良飛京謁孔報告粵省財政請示今後辦理方針
page 3	西班牙叛軍可歌可泣之戰史堅守炮台七十日苦戰不屈援軍開到解圍但犧牲極巨
page 3	立院兩委會審竣九種公約可予批准計有七項
page 3	內外公債總計五億七千餘萬國人平均所負債額為十二元人八角八分
page 3	中政會昨通過平青兩公債案平市債額三百萬元青市債額六百萬元
page 3	英國富翁遺產達三千六百餘萬鎊
page 3	小林躋造昨赴台灣履新
page 3	隴西剿匪勝利廿七克復渭源
page 3	冀察厲行禁煙
page 3	華中運動會雙十在湘舉行請中央長官蒞湘指導
page 3	亞國代表宣言願放棄國聯權利亞皇已甘受屈辱耶
page 4	輪船到港即日北上
page 4	各團體之聯合歡迎
page 4	各方代表選手親屬
page 4	雷豫社球隊征澳
page 4	南華體育會遊藝部辦汽車班教授駕駛方法及機械修理學額共三十名學費五十元
page 4	紅星社籃球隊渡海比賽勝德明成績三十二比十七
page 4	南華第十四屆陸運下月舉行競賽項目增加項運動及足球賽遠即開始報名二十止截下月一日開幕
page 4	假座思豪茶會歡迎
page 4	即午離港原輪返滬
page 4	英京銀價轉趨縮
page 4	我出席世運選手今晨抵港體協會即開歡迎會地點改在思豪酒店時好九時半滬選手乘原輪十一時離港返滬
page 5	四路國擴編與最近分防之昨訊依照甲種編制擴編待軍委會核准實行
page 5	何應欽來粵與建設國防之進行粵行營昨奉何電搜集粵省建防券宗粵路警備司令奉令完成粵路空防
page 5	淩士芬返省談話北海中野命案調查結果圓滿昨呈外部報告
page 5	閩粵兩方駐軍會勦埔永邊匪之急進
page 5	閩粵部隊會師搜剿
page 5	永埔邊界搆築工事
page 5	顧翊群批評英美法經濟聯盟全世界經濟應有好轉申鈔港匯漲因關季節
page 5	河南小港焚屋百餘間西郊游泳場慶祝中秋折橋墜水者二三十人
page 5	汕廣志炸彈案昨訊尚未調查竣事雙方無從談判
page 6	各區公署及縣府組織變更已確定署內設二科每月經費二千至三千縣府各局一律改科公安局或　留
page 6	宋子良飛京謁孔
page 6	李宗仁託麥煥章為桂駐京代表
page 6	廣州電話改隸與設經理制近訊
page 6	中央四六師負責粵北綏靖
page 6	許廷杰派員先赴順德接縣事
page 6	請變更禁雀牌令禁賭會批示不准
page 6	王仁康談粵路將增開車次
page 6	廣州市影院商討論應付征戲餉
page 6	總部通令所屬對外貿易用國幣由今日起實行
page 6	黃濤自奉委為一五七師長後
page 6	廣州地方法院首廣檢察官黃秩庸
page 6	中央陸軍大學第十五期
page 6	昨卅日為廢曆中秋節
page 6	建設廳自改組廣州潮汕瓊岸三港務局後
page 6	總部解釋賠償警隊服裝疑難通令各區綏署遵照
page 6	礦商請撤鎢統制贛南礦工亦聯合力爭
page 7	抵步情形
page 7	教育意見
page 7	鄒氏豐采
page 7	登岸渡海
page 7	教育使命
page 7	准行途徑
page 7	蕭氏談話
page 7	考察經過
page 7	大學會議
page 7	鄒氏政見
page 7	西國內戰
page 7	治疾經過
page 7	團體歡迎
page 7	陳季良率三艦北返海容中山楚同昨晨過港應瑞艦定今日離港出海
page 7	九廣火車更訂行車時間表
page 7	九龍關佈告
page 7	鄒氏答詞
page 7	致歡迎詞
page 7	中山大學校長鄒魯由歐歸國昨日抵港省港各團體代表齊集碼頭歡迎發表書面談話詳述歐遊之經過願改善教育基礎促進世界和平昨赴七團體歡迎大會今晨晉省
page 8	各團體候選人應混合推選僑民選舉總所昨已電復本港
page 8	張瀾洲談話
page 8	瓊崖錫出口頗多詹菊似之談話
page 8	三十三名癲漢昨由港解往廣州
page 8	大批英軍將過境
page 8	陳小姐能歌善舞
page 8	醬料商會募款購機
page 8	蕭佛成昨啟程赴暹此老胸中常有詩
page 10	女藝人江秀華出國
page 10	討贍養費案押候
page 10	發薪款中途被搶
page 10	拜神求福反成災
page 10	犯罪三款判監九月
page 10	食隔夜雞中毒
page 10	賣報童子被人刺傷
page 10	廁所內發現死嬰
page 10	兩婦打架一受傷
page 10	振成校友會消息
page 10	五男子被控組非法會案候訊
page 10	華僑中學組旅行團
page 11	東莞警隊圍搜蟀獵賭徒拒捕互有死傷
page 11	順德等五縣人士籌劃獻機祝壽
page 11	中山疏河會擬增籌款項
page 11	五顯沖喪戶之火警
page 11	銅鼓匪氛有復熾訊
page 11	潮安煙絲公會又籲請撤銷土菸統制改照部定稅率征稅
page 11	縣中新校雙十開幕
page 11	孔明燈燬農居五間
page 11	商會電請李委回防
page 11	台山鄉人爭海利之鬥毆
page 11	鄉民反對抽收穀佣
page 11	開始執行禁賭條例
page 11	孀婦被姪刺殺慘案
page 11	圍捕賀豐擊斃一匪
page 11	西江匪氛復熾航商請求切實護航西江各輪渡近又接到匪黨打單函多起
page 14	剿匪工作
page 14	三股赤匪
page 14	一網打盡
page 14	　中型報紙
page 14	報紙本身
page 14	武漢社會
page 14	武漢新聞業近況滬漢航空線開闢後武漢報紙漸有起色
page 14	堅壁清野
page 14	食糧缺乏
page 14	晚報
page 14	通訊社
page 14	外字報紙
page 14	發行
page 14	編排內容
page 14	機關團體
page 14	小型　紙
page 14	印茶侵入西藏後康茶一蹶不振成木過高幾瀕破產
page 14	赤匪竄甘企圖合股無異自投陷阱予國庫以集中圍剿之良機短期內不難將匪一網打盡西北剿匪總部之報告
page 15	德國殖民地問題
