page 2	我對於何東先生回港的感想
page 3	眾議院調停後又再決裂年關未領歲費
page 3	洛陽軍事計劃定三月內平定廣東
page 3	有百餘議員將聯函高淩霨謂請撤眾院警衛函係背簽
page 3	國會改選令已發略謂國會已於十年十月滿期應即改選定四月十四日初選五月十四日複選
page 3	張作霖對東南各省決援助對奉直和議暫觀望榆關喜峰奉軍暫不撤退
page 3	援川軍已攻過隆昌內江側面進抵資州距成都約四百里熊克武但懋辛集中簡陽力圖防禦
page 3	老洋人陷棗陽旋向平市桐
page 3	柏逃竄
page 3	蕭耀南辭廿五師長職由陳嘉謨陞任
page 3	齊燮元電郵士琦索膠濟站之無線電台欲拆卸運寧鄭謝絕
page 3	趙恒惕以所編土匪在省迭生劫殺案飭部嚴辦
page 3	鄒振鵬廿九日克洪江蔡鉅猷向黔陽逃蔡軍掠蔡行李後各自散去蔡隻身而逃現已失蹤
page 3	皖軍第三旅奉令開拔赴皖南第五旅團亦移向浙邊
page 3	傳駐汕海軍乘楊樹莊赴寧擬獨立旋因謀洩未果
page 3	周蔭人在延平設百貨捐局延平建甌邵武長汀運省商貨因此極為停滯
page 3	孫傳芳因本境不靖不敢攻浙
page 3	吳威部第六旅已由仙霞嶺退守永春
page 3	二日閣員在高淩霨宅會議
page 3	決助政府黨議員下屆當選
page 3	大北大東海線登陸權期限已滿英使及丹代辦請展期京政府未同意
page 3	京財政部通令各機關自本月起實徵官俸所得稅
page 3	荷使函外部稱吳淞德和水線公司係私人產業照約應還
page 3	豫郵局呈部請速電吳佩孚張福來勿再截留郵用車騾
page 3	二日王克敏赴洛報告財政困難情形
page 3	胡清瑞之孫陳調和談
page 3	再誌曲同豐抵粵後之行蹤
page 3	湘滇軍發生暗潮續紀
page 3	關餘問題之西訊
page 3	西報評孫文爭關餘
page 3	繪時事畫者宜慎
page 3	形似太平之江門新年
